best_book,result
파친코 1,"['파친코 1', '[세트] 파친코 1~2 세트 - 전2권']"
파친코 2,"['파친코 2', '[세트] 파친코 1~2 세트 - 전2권']"
2022 제13회 젊은작가상 수상작품집,[]
가불 선진국,['가불 선진국']
불편한 편의점 (40만부 기념 벚꽃 에디션),['불편한 편의점 (40만부 기념 벚꽃 에디션)']
물고기는 존재하지 않는다,"[""Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life (Paperback)"", '물고기는 존재하지 않는다']"
아무도 흔들 수 없는 나라,"['아무도 흔들 수 없는 나라', '아무도 흔들 수 없는 나라']"
143층 나무 집,[]
꽃샘바람에 흔들린다면 너는 꽃,[]
얼굴만으론 좋아할 수 없어요 3,[]
운명을 바꾸는 부동산 투자 수업 : 기초편,"['운명을 바꾸는 부동산 투자 수업 2권 세트 - 기초편, 실전편', '운명을 바꾸는 부동산 투자 수업 (기초편)']"
지리의 힘 2,"['영어의 힘 + 지리의 힘 세트 - 전2권', '지리의 힘 + 땅과 집값의 경제학 세트 - 전2권']"
3월의 라이온 16,[]
여름이 온다,"['여름이 온다', '한국양서발굴연구소 선정 2019 여름방학 초등 3학년 추천세트 + 플라밍고 컵홀더']"
그 해 우리는 포토 에세이,[]
이어령의 마지막 수업,"['이어령의 마지막 수업', '이어령의 마지막 수업', '이어령의 마지막 수업 이어령과 김지수의 라스트 인터뷰']"
원피스 101,"['원피스 1-97 + 원티드 + 옐로 +블루+ 그린 총101권       실사진첨부 =싸다구책방', '원피스 1-101권 세트 (97,99-101권 ㅅㅐ책/ 실사진 첨부/ 개인소장용/ 상품설명 참조)^^코믹갤러리']"
웰씽킹 WEALTHINKING (10만 부 기념 한정판 골드 에디션),['웰씽킹 WEALTHINKING (10만 부 기념 한정판 골드 에디션) ']
운명을 바꾸는 부동산 투자 수업 : 실전편,"['운명을 바꾸는 부동산 투자 수업 2권 세트 - 기초편, 실전편']"
도원암귀 4,[]
그림들,"['이중섭 1916-1956 편지와 그림들', '살아남은 그림들', '세상 모든 화가들의 그림 이야기', '귀여운 동물들의 숨은그림찾기', '야, 그림 속으로 들어가보자!', '그림으로 보는 그리스 로마 신화 3 : 신들의 사랑 이야기', '홀리스 우즈의 그림들', '조선이 낳은 그림 천재들', 'Highlights 집중력 쑥쑥 숨은그림찾기 1', '꽃들에게 희망을', '그림으로 들어간 사람들', '명화들이 말해주는 그림 속 드레스 이야기', '그림 속에는 뚱보들이 산다', '이상한 수학책', '그림들의 혼잣말', '세상에서 가장 행복한 100층 버스', '그림과 문장들', '태양을 훔친 화가 빈센트 반 고흐', '조선의 그림 수집가들', '내면의 그림', 'Highlights 집중력 쑥쑥 숨은그림찾기 4', 'Highlights 집중력 쑥쑥 숨은그림찾기 2', '북극에서 남극까지 역사 문화 자연이 한눈에 쏙 들어오는 아주아주 놀라운 세계그림지도', '그림에 붙잡힌 사람들 2', 'Highlights 집중력 쑥쑥 숨은그림찾기 3']"
