title,link,guid,pubDate,description,source
[날씨] 남부지방부터 봄비…오후에 전국 확대 - 매일경제,https://www.mk.co.kr/news/society/view/2022/03/284549/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1357048653')])","Tue, 29 Mar 2022 11:00:01 GMT","<ol><li><a href=""https://www.mk.co.kr/news/society/view/2022/03/284549/"" target=""_blank"">[날씨] 남부지방부터 봄비…오후에 전국 확대</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""https://news.sbs.co.kr/news/endPage.do?news_id=N1006694148"" target=""_blank"">[날씨] 전국에 '봄비'…5mm 안팎 약한 비</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SBS 뉴스</font></li><li><a href=""https://www.yna.co.kr/view/MYH20220329020100038"" target=""_blank"">[날씨] 내일 오후부터 전국 비…10도 안팎 큰 일교차</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font></li><li><a href=""https://www.ytn.co.kr/_ln/0108_202203291308290339"" target=""_blank"">[날씨] 포근한 날씨에 봄꽃 활짝...내일∼모레 전국 비</a>&nbsp;&nbsp;<font color=""#6f6f6f"">YTN</font></li><li><a href=""https://www.ajunews.com/view/20220329190436517"" target=""_blank"">[내일 날씨] 전국에 촉촉한 봄비…우산 챙기세요</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아주경제</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pOMW91SEJSRXNYQ3hVNDBxM1V5Z0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
[날씨] 제주 벚꽃 만개‥오후부터 봄비 촉촉 - MBC뉴스,https://imnews.imbc.com/replay/2022/nwdesk/article/6354502_35744.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIyL253ZGVzay9hcnRpY2xlLzYzNTQ1MDJfMzU3NDQuaHRtbNIBRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIyL253ZGVzay9hcnRpY2xlLzYzNTQ1MDJfMzU3NDUuaHRtbA')])","Tue, 29 Mar 2022 11:56:33 GMT","<a href=""https://imnews.imbc.com/replay/2022/nwdesk/article/6354502_35744.html"" target=""_blank"">[날씨] 제주 벚꽃 만개‥오후부터 봄비 촉촉</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MBC뉴스</font>","OrderedDict([('@url', 'https://imnews.imbc.com'), ('#text', 'MBC뉴스')])"
세계의 날씨(3월29일) - 매일경제,https://www.mk.co.kr/news/society/view/2022/03/283248/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvc29jaWV0eS92aWV3LzIwMjIvMDMvMjgzMjQ4L9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL3NvY2lldHkvdmlldy1hbXAvMjAyMi8wMy8yODMyNDgv')])","Tue, 29 Mar 2022 06:00:53 GMT","<a href=""https://www.mk.co.kr/news/society/view/2022/03/283248/"" target=""_blank"">세계의 날씨(3월29일)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
[북한날씨] 맑다가 오후부터 흐려져…함북 해상에 강풍주의보 - 매일경제,https://www.mk.co.kr/news/politics/view/2022/03/280881/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiN2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvcG9saXRpY3Mvdmlldy8yMDIyLzAzLzI4MDg4MS_SATlodHRwczovL20ubWsuY28ua3IvbmV3cy9wb2xpdGljcy92aWV3LWFtcC8yMDIyLzAzLzI4MDg4MS8')])","Mon, 28 Mar 2022 22:08:46 GMT","<a href=""https://www.mk.co.kr/news/politics/view/2022/03/280881/"" target=""_blank"">[북한날씨] 맑다가 오후부터 흐려져…함북 해상에 강풍주의보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
[내일날씨] 낮에 비 대부분 그쳐 … 최고기온 10∼21도 - 세이프타임즈,http://www.safetimes.co.kr/news/articleView.html?idxno=109255,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPWh0dHA6Ly93d3cuc2FmZXRpbWVzLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xMDkyNTXSAUBodHRwOi8vd3d3LnNhZmV0aW1lcy5jby5rci9uZXdzL2FtcEFydGljbGVWaWV3Lmh0bWw_aWR4bm89MTA5MjU1')])","Fri, 25 Mar 2022 04:35:03 GMT","<a href=""http://www.safetimes.co.kr/news/articleView.html?idxno=109255"" target=""_blank"">[내일날씨] 낮에 비 대부분 그쳐 … 최고기온 10∼21도</a>&nbsp;&nbsp;<font color=""#6f6f6f"">세이프타임즈</font>","OrderedDict([('@url', 'http://www.safetimes.co.kr'), ('#text', '세이프타임즈')])"
[날씨] 내일 오후부터 전국 비 조금…큰 일교차 유의 - 연합뉴스,https://www.yna.co.kr/view/MYH20220329022200038?section=video/all,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQWh0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L01ZSDIwMjIwMzI5MDIyMjAwMDM4P3NlY3Rpb249dmlkZW8vYWxs0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9NWUgyMDIyMDMyOTAyMjIwMDAzOA')])","Tue, 29 Mar 2022 12:34:17 GMT","<a href=""https://www.yna.co.kr/view/MYH20220329022200038?section=video/all"" target=""_blank"">[날씨] 내일 오후부터 전국 비 조금…큰 일교차 유의</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>","OrderedDict([('@url', 'https://www.yna.co.kr'), ('#text', '연합뉴스')])"
세계의 날씨(3월28일) - 매일경제,https://www.mk.co.kr/news/society/view/2022/03/279235/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvc29jaWV0eS92aWV3LzIwMjIvMDMvMjc5MjM1L9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL3NvY2lldHkvdmlldy1hbXAvMjAyMi8wMy8yNzkyMzUv')])","Mon, 28 Mar 2022 06:00:53 GMT","<a href=""https://www.mk.co.kr/news/society/view/2022/03/279235/"" target=""_blank"">세계의 날씨(3월28일)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
[날씨] 내일 오후 차츰 전국 비…큰 일교차 유의 - 연합뉴스,https://www.yna.co.kr/view/MYH20220329017200038?section=video/all,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQWh0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L01ZSDIwMjIwMzI5MDE3MjAwMDM4P3NlY3Rpb249dmlkZW8vYWxs0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9NWUgyMDIyMDMyOTAxNzIwMDAzOA')])","Tue, 29 Mar 2022 08:51:22 GMT","<a href=""https://www.yna.co.kr/view/MYH20220329017200038?section=video/all"" target=""_blank"">[날씨] 내일 오후 차츰 전국 비…큰 일교차 유의</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>","OrderedDict([('@url', 'https://www.yna.co.kr'), ('#text', '연합뉴스')])"
[날씨톡톡] 더할 나위 없이 좋은 봄날…큰 일교차 주의 - 연합뉴스,https://www.yna.co.kr/view/MYH20220329007700038?section=video/all,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQWh0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L01ZSDIwMjIwMzI5MDA3NzAwMDM4P3NlY3Rpb249dmlkZW8vYWxs0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9NWUgyMDIyMDMyOTAwNzcwMDAzOA')])","Tue, 29 Mar 2022 02:26:21 GMT","<a href=""https://www.yna.co.kr/view/MYH20220329007700038?section=video/all"" target=""_blank"">[날씨톡톡] 더할 나위 없이 좋은 봄날…큰 일교차 주의</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>","OrderedDict([('@url', 'https://www.yna.co.kr'), ('#text', '연합뉴스')])"
[날씨] 3월 29일(화) < GOODTVNEWS < 기사본문 - 데일리굿뉴스,https://www.goodnews1.com/news/articleView.html?idxno=406487,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPGh0dHBzOi8vd3d3Lmdvb2RuZXdzMS5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTQwNjQ4N9IBAA')])","Tue, 29 Mar 2022 13:22:09 GMT","<a href=""https://www.goodnews1.com/news/articleView.html?idxno=406487"" target=""_blank"">[날씨] 3월 29일(화) < GOODTVNEWS < 기사본문</a>&nbsp;&nbsp;<font color=""#6f6f6f"">데일리굿뉴스</font>","OrderedDict([('@url', 'https://www.goodnews1.com'), ('#text', '데일리굿뉴스')])"
[날씨] 아침 쌀쌀 낮 포근…주말 서울 벚꽃 활짝 - JTBC,https://news.jtbc.joins.com/html/815/NB12052815.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNGh0dHBzOi8vbmV3cy5qdGJjLmpvaW5zLmNvbS9odG1sLzgxNS9OQjEyMDUyODE1Lmh0bWzSAQA')])","Mon, 28 Mar 2022 23:28:00 GMT","<a href=""https://news.jtbc.joins.com/html/815/NB12052815.html"" target=""_blank"">[날씨] 아침 쌀쌀 낮 포근…주말 서울 벚꽃 활짝</a>&nbsp;&nbsp;<font color=""#6f6f6f"">JTBC</font>","OrderedDict([('@url', 'https://news.jtbc.joins.com'), ('#text', 'JTBC')])"
