title,link,guid,pubDate,description,source
"소프라노 이해원, 첫 CCM 음원으로 뮤직 플랫폼 메인 장식 | 방송 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220329n21373?mid=n1101,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjIxMzczP21pZD1uMTEwMdIBAA')])","Tue, 29 Mar 2022 04:59:00 GMT","<a href=""https://news.nate.com/view/20220329n21373?mid=n1101"" target=""_blank"">소프라노 이해원, 첫 CCM 음원으로 뮤직 플랫폼 메인 장식 | 방송 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"CJ푸드빌 더플레이스, 셰프 박스 단체 예약 주문 페이지 오픈 - 네이트 뉴스",https://news.nate.com/view/20220329n04998?mid=n0100,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjA0OTk4P21pZD1uMDEwMNIBAA')])","Mon, 28 Mar 2022 23:25:00 GMT","<a href=""https://news.nate.com/view/20220329n04998?mid=n0100"" target=""_blank"">CJ푸드빌 더플레이스, 셰프 박스 단체 예약 주문 페이지 오픈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"""피해자는 증발되지 않는다""…'공기살인' 결연한 메인포스터 | 영화 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220329n04465?mid=e1300,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjA0NDY1P21pZD1lMTMwMNIBAA')])","Mon, 28 Mar 2022 23:04:00 GMT","<a href=""https://news.nate.com/view/20220329n04465?mid=e1300"" target=""_blank"">""피해자는 증발되지 않는다""…'공기살인' 결연한 메인포스터 | 영화 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"'사내맞선' 김민규 설인아, 감초 넘어선 명품 서브커플 [TV와치] | 연예가화제 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220329n12037,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjEyMDM30gEA')])","Tue, 29 Mar 2022 01:36:00 GMT","<a href=""https://news.nate.com/view/20220329n12037"" target=""_blank"">'사내맞선' 김민규 설인아, 감초 넘어선 명품 서브커플 [TV와치] | 연예가화제 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"경북대 연구팀, 플렉시블 디스플레이 구현 나노 액정 구조 공정법 개발 : 네이트 뉴스 - 네이트 뉴스",https://news.nate.com/view/20220328n24987?mid=n0600,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI4bjI0OTg3P21pZD1uMDYwMNIBAA')])","Mon, 28 Mar 2022 05:42:00 GMT","<a href=""https://news.nate.com/view/20220328n24987?mid=n0600"" target=""_blank"">경북대 연구팀, 플렉시블 디스플레이 구현 나노 액정 구조 공정법 개발 : 네이트 뉴스</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"스트레이 키즈, 美 빌보드 메인 차트 빌보드 200 1위 등극 | 연예가화제 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220329n11600?mid=e1100,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjExNjAwP21pZD1lMTEwMNIBAA')])","Tue, 29 Mar 2022 01:30:00 GMT","<a href=""https://news.nate.com/view/20220329n11600?mid=e1100"" target=""_blank"">스트레이 키즈, 美 빌보드 메인 차트 빌보드 200 1위 등극 | 연예가화제 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"""'1호선 패륜아' 영상보고 손 덜덜…당한 노인은 내 아버지였다""[영상] - 네이트 뉴스",https://news.nate.com/view/20220329n39331,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjM5MzMx0gEA')])","Tue, 29 Mar 2022 12:40:00 GMT","<a href=""https://news.nate.com/view/20220329n39331"" target=""_blank"">""'1호선 패륜아' 영상보고 손 덜덜…당한 노인은 내 아버지였다""[영상]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
세븐틴 영화 메인 예고편 공개 | 네이트 연예 - 네이트 뉴스,https://news.nate.com/view/20220328n35764?mid=e1300,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI4bjM1NzY0P21pZD1lMTMwMNIBAA')])","Mon, 28 Mar 2022 09:10:00 GMT","<a href=""https://news.nate.com/view/20220328n35764?mid=e1300"" target=""_blank"">세븐틴 영화 메인 예고편 공개 | 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"한음저협-국내 음원 스트리밍社, 우크라이나 음악 홍보 캠페인 실시 | 네이트 뉴스 - 네이트 뉴스",https://news.nate.com/view/20220329n07079?mid=e1100,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjA3MDc5P21pZD1lMTEwMNIBAA')])","Tue, 29 Mar 2022 00:19:00 GMT","<a href=""https://news.nate.com/view/20220329n07079?mid=e1100"" target=""_blank"">한음저협-국내 음원 스트리밍社, 우크라이나 음악 홍보 캠페인 실시 | 네이트 뉴스</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
마포구청사 초록 물결의 실내정원으로 대변신 - 네이트 뉴스,https://news.nate.com/view/20220329n03601,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjAzNjAx0gEA')])","Mon, 28 Mar 2022 22:15:00 GMT","<a href=""https://news.nate.com/view/20220329n03601"" target=""_blank"">마포구청사 초록 물결의 실내정원으로 대변신</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
