title,link,guid,pubDate,description,source
"'두 번째 남편' 오승아, 범죄 발각되자 도망…한기웅 집에 잠입(종합) - 조선비즈 - 조선비즈",https://biz.chosun.com/entertainment/tv/2022/03/29/HOR5YCVWMQZVJVOY63JI7PTSAA/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1309898041')])","Tue, 29 Mar 2022 11:02:00 GMT","<ol><li><a href=""https://biz.chosun.com/entertainment/tv/2022/03/29/HOR5YCVWMQZVJVOY63JI7PTSAA/"" target=""_blank"">'두 번째 남편' 오승아, 범죄 발각되자 도망…한기웅 집에 잠입(종합) - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font></li><li><a href=""https://www.gukjenews.com/news/articleView.html?idxno=2436251"" target=""_blank"">드라마 '두 번째 남편' 오승아 출생 비밀 알아챘다...김동균 ""내가 친부""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">국제뉴스</font></li><li><a href=""https://imnews.imbc.com/news/2022/enter/article/6354497_35708.html"" target=""_blank"">‘두 번째 남편’ 오승아, 살인 용의자로 체포 직전 도주→정성모에 버림받고 분노</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MBC뉴스</font></li><li><a href=""https://www.xportsnews.com/article/1554559"" target=""_blank"">엄현경, 오승아 범죄 영상 공개→경찰 피해 도망 (두 번째 남편)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">엑스포츠뉴스</font></li><li><a href=""https://m.news1.kr/articles/?4630100"" target=""_blank"">'두 번째 남편' 정성모, 지수원에 ""살아생전 이혼은 없어"" 경고</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k1NnMzd0JCSGxudmZBcjNvdHRpZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://biz.chosun.com'), ('#text', '조선비즈')])"
"'두 번째 남편' 엄현경X오승아, 허리 포옹 할 정도로 찐친이네 [TEN★] - 텐아시아",https://tenasia.hankyung.com/tv-drama/article/2022031731154,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHBzOi8vdGVuYXNpYS5oYW5reXVuZy5jb20vdHYtZHJhbWEvYXJ0aWNsZS8yMDIyMDMxNzMxMTU00gE3aHR0cHM6Ly90ZW5hc2lhLmhhbmt5dW5nLmNvbS90di1kcmFtYS9hbXAvMjAyMjAzMTczMTE1NA')])","Thu, 17 Mar 2022 07:00:00 GMT","<a href=""https://tenasia.hankyung.com/tv-drama/article/2022031731154"" target=""_blank"">'두 번째 남편' 엄현경X오승아, 허리 포옹 할 정도로 찐친이네 [TEN★]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">텐아시아</font>","OrderedDict([('@url', 'https://tenasia.hankyung.com'), ('#text', '텐아시아')])"
"[패션엔] [그 옷 어디꺼] '두번째 남편' 엄현경, 귀여운 테일러드 U넥 베스트 어디꺼? - 패션엔",https://m.fashionn.com/board/read.php?table=style&number=40513,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPmh0dHBzOi8vbS5mYXNoaW9ubi5jb20vYm9hcmQvcmVhZC5waHA_dGFibGU9c3R5bGUmbnVtYmVyPTQwNTEz0gEA')])","Thu, 17 Mar 2022 07:00:00 GMT","<a href=""https://m.fashionn.com/board/read.php?table=style&number=40513"" target=""_blank"">[패션엔] [그 옷 어디꺼] '두번째 남편' 엄현경, 귀여운 테일러드 U넥 베스트 어디꺼?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">패션엔</font>","OrderedDict([('@url', 'https://m.fashionn.com'), ('#text', '패션엔')])"
"'두 번째 남편' 엄현경, 오승아 살인 증거 영상 폭로했다[ 밤TView] | 방송 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220328n38545?mid=n1101,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI4bjM4NTQ1P21pZD1uMTEwMdIBAA')])","Mon, 28 Mar 2022 10:46:00 GMT","<a href=""https://news.nate.com/view/20220328n38545?mid=n1101"" target=""_blank"">'두 번째 남편' 엄현경, 오승아 살인 증거 영상 폭로했다[ 밤TView] | 방송 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"'두번째 남편' 차서원, SNS 사칭에 도움 요청···“팬들에게 따로 DM 보내기도” - 세계일보",http://m.segye.com/view/20220321515167,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiJmh0dHA6Ly9tLnNlZ3llLmNvbS92aWV3LzIwMjIwMzIxNTE1MTY30gEA')])","Mon, 21 Mar 2022 08:39:49 GMT","<a href=""http://m.segye.com/view/20220321515167"" target=""_blank"">'두번째 남편' 차서원, SNS 사칭에 도움 요청···“팬들에게 따로 DM 보내기도”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">세계일보</font>","OrderedDict([('@url', 'http://m.segye.com'), ('#text', '세계일보')])"
"`두 번째 남편`, 베이징 동계올림픽으로 2주 결방 - 매일경제",https://www.mk.co.kr/star/broadcasting-service/view/2022/02/103637/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQ2h0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvYnJvYWRjYXN0aW5nLXNlcnZpY2Uvdmlldy8yMDIyLzAyLzEwMzYzNy_SAUVodHRwczovL20ubWsuY28ua3Ivc3Rhci9icm9hZGNhc3Rpbmctc2VydmljZS92aWV3LWFtcC8yMDIyLzAyLzEwMzYzNy8')])","Fri, 04 Feb 2022 08:00:00 GMT","<a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/02/103637/"" target=""_blank"">`두 번째 남편`, 베이징 동계올림픽으로 2주 결방</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"‘두번째남편’ 후속 ‘비밀의 집’, 서하준·이영은→이승연 메인포스터 - 싱글리스트",http://www.slist.kr/news/articleView.html?idxno=339536,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHA6Ly93d3cuc2xpc3Qua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTMzOTUzNtIBOWh0dHA6Ly93d3cuc2xpc3Qua3IvbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTMzOTUzNg')])","Fri, 18 Mar 2022 01:15:31 GMT","<a href=""http://www.slist.kr/news/articleView.html?idxno=339536"" target=""_blank"">‘두번째남편’ 후속 ‘비밀의 집’, 서하준·이영은→이승연 메인포스터</a>&nbsp;&nbsp;<font color=""#6f6f6f"">싱글리스트</font>","OrderedDict([('@url', 'http://www.slist.kr'), ('#text', '싱글리스트')])"
MBC 일일드라마 '두 번째 남편' “엇갈린 운명과 복수! 엄현경·차서원·오승아·한기웅·지수원 출연” - 한국강사신문,http://www.lecturernews.com/news/articleView.html?idxno=80901,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiELKVdyHN0X1rWccDOj5cz58qMwgEKioIACIQkF4Jm6xhClUZU7ZNv-etUCoUCAoiEJBeCZusYQpVGVO2Tb_nrVAw-4PlBg')])","Tue, 16 Nov 2021 08:00:00 GMT","<a href=""http://www.lecturernews.com/news/articleView.html?idxno=80901"" target=""_blank"">MBC 일일드라마 '두 번째 남편' “엇갈린 운명과 복수! 엄현경·차서원·오승아·한기웅·지수원 출연”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국강사신문</font>","OrderedDict([('@url', 'http://www.lecturernews.com'), ('#text', '한국강사신문')])"
'두 번째 남편' 몇부작? 줄거리·인물관계도·재방송 시간까지 - 금강일보,http://www.ggilbo.com/news/articleView.html?idxno=871768,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOGh0dHA6Ly93d3cuZ2dpbGJvLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODcxNzY40gE7aHR0cDovL3d3dy5nZ2lsYm8uY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz04NzE3Njg')])","Tue, 05 Oct 2021 07:00:00 GMT","<a href=""http://www.ggilbo.com/news/articleView.html?idxno=871768"" target=""_blank"">'두 번째 남편' 몇부작? 줄거리·인물관계도·재방송 시간까지</a>&nbsp;&nbsp;<font color=""#6f6f6f"">금강일보</font>","OrderedDict([('@url', 'http://www.ggilbo.com'), ('#text', '금강일보')])"
'두 번째 남편' 시청률 10% 돌파…30회 연장 방송 확정까지 '겹경사' - 이투데이,https://www.etoday.co.kr/news/view/2094542,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEBsenBt5HZYUP7t_4sLzvLgqGQgEKhAIACoHCAowsuLcCjDz7M4BMJT9iwc')])","Fri, 07 Jan 2022 08:00:00 GMT","<a href=""https://www.etoday.co.kr/news/view/2094542"" target=""_blank"">'두 번째 남편' 시청률 10% 돌파…30회 연장 방송 확정까지 '겹경사'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이투데이</font>","OrderedDict([('@url', 'https://www.etoday.co.kr'), ('#text', '이투데이')])"
"한담희, '두 번째 남편' 합류…인물관계도 흥미진진 [공식입장] - MBC뉴스",https://imnews.imbc.com/news/2022/enter/article/6344463_35708.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQmh0dHBzOi8vaW1uZXdzLmltYmMuY29tL25ld3MvMjAyMi9lbnRlci9hcnRpY2xlLzYzNDQ0NjNfMzU3MDguaHRtbNIBQmh0dHBzOi8vaW1uZXdzLmltYmMuY29tL25ld3MvMjAyMi9lbnRlci9hcnRpY2xlLzYzNDQ0NjNfMzU3MDkuaHRtbA')])","Thu, 24 Feb 2022 08:00:00 GMT","<a href=""https://imnews.imbc.com/news/2022/enter/article/6344463_35708.html"" target=""_blank"">한담희, '두 번째 남편' 합류…인물관계도 흥미진진 [공식입장]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MBC뉴스</font>","OrderedDict([('@url', 'https://imnews.imbc.com'), ('#text', 'MBC뉴스')])"
