title,link,guid,pubDate,description,source
"[종합]`옥문아` 박지영 ""주연→조연으로 세대교체, 힘들었다""→""PD남편과 다시 태어나도 결혼"" - 매일경제",https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284707/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1359170652')])","Tue, 29 Mar 2022 15:15:07 GMT","<ol><li><a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284707/"" target=""_blank"">[종합]`옥문아` 박지영 ""주연→조연으로 세대교체, 힘들었다""→""PD남편과 다시 태어나도 결혼""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""https://www.gukjenews.com/news/articleView.html?idxno=2436363"" target=""_blank"">'옥문아' 박지영, PD출신 남편 프로필·나이 화제... 왜?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">국제뉴스</font></li><li><a href=""https://www.chosun.com/entertainments/entertain_photo/2022/03/29/LZ2TZXEY462TRHLEOAHBL4BSOE/"" target=""_blank"">박지영 “PD 출신 남편과 27살에 결혼… 큐 사인 주고받다가 눈 맞았다” - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""https://www.fnnews.com/news/202203292001309522"" target=""_blank"">박지영 ""큐 사인 주고받다 PD출신 남편과 눈맞아""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">파이낸셜뉴스</font></li><li><a href=""https://www.sisamagazine.co.kr/news/articleView.html?idxno=436901"" target=""_blank"">배우 박지영 '옥문아' 출연 ""PD출신 남편과...""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">시사매거진</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pjbUkySUJSRUFFLWFmQWJia3RpZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"박지영, ‘옷소매 붉은 끝동’에서 뜻밖의(?) NG 낸 이유는? (‘옥문아’) - 텐아시아",https://tenasia.hankyung.com/tv/article/2022032848404,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNWh0dHBzOi8vdGVuYXNpYS5oYW5reXVuZy5jb20vdHYvYXJ0aWNsZS8yMDIyMDMyODQ4NDA00gE3aHR0cHM6Ly90ZW5hc2lhLmhhbmt5dW5nLmNvbS90di1kcmFtYS9hbXAvMjAyMjAzMjg0ODQwNA')])","Mon, 28 Mar 2022 01:10:00 GMT","<a href=""https://tenasia.hankyung.com/tv/article/2022032848404"" target=""_blank"">박지영, ‘옷소매 붉은 끝동’에서 뜻밖의(?) NG 낸 이유는? (‘옥문아’)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">텐아시아</font>","OrderedDict([('@url', 'https://tenasia.hankyung.com'), ('#text', '텐아시아')])"
"[특허뉴스] [사이언스] UNIST 박지영 교수팀, '비만형 당뇨' 잡을 유전물질 찾았다 - 특허뉴스",http://www.e-patentnews.com/8249,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiIGh0dHA6Ly93d3cuZS1wYXRlbnRuZXdzLmNvbS84MjQ50gEA')])","Mon, 07 Mar 2022 08:00:00 GMT","<a href=""http://www.e-patentnews.com/8249"" target=""_blank"">[특허뉴스] [사이언스] UNIST 박지영 교수팀, '비만형 당뇨' 잡을 유전물질 찾았다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">특허뉴스</font>","OrderedDict([('@url', 'http://www.e-patentnews.com'), ('#text', '특허뉴스')])"
"′볼빅골프웨어′ 위비스, 박민지·박지영·최운정 등 2022 시즌 후원 계약 - 스포츠W",https://m.sportsw.kr/news/newsview.php?ncode=1065575848674796,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPWh0dHBzOi8vbS5zcG9ydHN3LmtyL25ld3MvbmV3c3ZpZXcucGhwP25jb2RlPTEwNjU1NzU4NDg2NzQ3OTbSATlodHRwczovL20uc3BvcnRzdy5rci9uZXdzL2FtcC5odG1sP25jb2RlPTEwNjU1NzU4NDg2NzQ3OTY')])","Thu, 17 Mar 2022 07:00:00 GMT","<a href=""https://m.sportsw.kr/news/newsview.php?ncode=1065575848674796"" target=""_blank"">′볼빅골프웨어′ 위비스, 박민지·박지영·최운정 등 2022 시즌 후원 계약</a>&nbsp;&nbsp;<font color=""#6f6f6f"">스포츠W</font>","OrderedDict([('@url', 'https://m.sportsw.kr'), ('#text', '스포츠W')])"
"'아직 최선' 박지영, 썸&쌈 달콤한 해피엔딩 - MSN.com",https://www.msn.com/ko-kr/entertainment/news/%EC%95%84%EC%A7%81-%EC%B5%9C%EC%84%A0-%EB%B0%95%EC%A7%80%EC%98%81-%EC%8D%B8-%EC%8C%88-%EB%8B%AC%EC%BD%A4%ED%95%9C-%ED%95%B4%ED%94%BC%EC%97%94%EB%94%A9/ar-AAVw44A,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMizgFodHRwczovL3d3dy5tc24uY29tL2tvLWtyL2VudGVydGFpbm1lbnQvbmV3cy8lRUMlOTUlODQlRUMlQTclODEtJUVDJUI1JTlDJUVDJTg0JUEwLSVFQiVCMCU5NSVFQyVBNyU4MCVFQyU5OCU4MS0lRUMlOEQlQjgtJUVDJThDJTg4LSVFQiU4QiVBQyVFQyVCRCVBNCVFRCU5NSU5Qy0lRUQlOTUlQjQlRUQlOTQlQkMlRUMlOTclOTQlRUIlOTQlQTkvYXItQUFWdzQ0QdIBAA')])","Sat, 26 Mar 2022 03:30:00 GMT","<a href=""https://www.msn.com/ko-kr/entertainment/news/%EC%95%84%EC%A7%81-%EC%B5%9C%EC%84%A0-%EB%B0%95%EC%A7%80%EC%98%81-%EC%8D%B8-%EC%8C%88-%EB%8B%AC%EC%BD%A4%ED%95%9C-%ED%95%B4%ED%94%BC%EC%97%94%EB%94%A9/ar-AAVw44A"" target=""_blank"">'아직 최선' 박지영, 썸&쌈 달콤한 해피엔딩</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN.com</font>","OrderedDict([('@url', 'https://www.msn.com'), ('#text', 'MSN.com')])"
"오정세, 현 소속사 프레인TPC와 재계약 - 매일경제",https://www.mk.co.kr/star/hot-issues/view/2022/03/281232/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvaG90LWlzc3Vlcy92aWV3LzIwMjIvMDMvMjgxMjMyL9IBO2h0dHBzOi8vbS5tay5jby5rci9zdGFyL2hvdC1pc3N1ZXMvdmlldy1hbXAvMjAyMi8wMy8yODEyMzIv')])","Tue, 29 Mar 2022 00:24:04 GMT","<a href=""https://www.mk.co.kr/star/hot-issues/view/2022/03/281232/"" target=""_blank"">오정세, 현 소속사 프레인TPC와 재계약</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
삼성 “상당히 놀랍다” 감탄…중국 '이것' 대체 뭐길래 - 헤럴드경제,http://biz.heraldcorp.com/view.php?ud=20220328000915,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNGh0dHA6Ly9iaXouaGVyYWxkY29ycC5jb20vdmlldy5waHA_dWQ9MjAyMjAzMjgwMDA5MTXSAQA')])","Mon, 28 Mar 2022 06:36:30 GMT","<a href=""http://biz.heraldcorp.com/view.php?ud=20220328000915"" target=""_blank"">삼성 “상당히 놀랍다” 감탄…중국 '이것' 대체 뭐길래</a>&nbsp;&nbsp;<font color=""#6f6f6f"">헤럴드경제</font>","OrderedDict([('@url', 'http://biz.heraldcorp.com'), ('#text', '헤럴드경제')])"
115일만의 정치권 반응에 '장애인 출근길 시위' 멈추지만… - 한겨레,https://www.hani.co.kr/arti/society/society_general/1036717.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQGh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9zb2NpZXR5L3NvY2lldHlfZ2VuZXJhbC8xMDM2NzE3Lmh0bWzSAQA')])","Tue, 29 Mar 2022 08:10:29 GMT","<a href=""https://www.hani.co.kr/arti/society/society_general/1036717.html"" target=""_blank"">115일만의 정치권 반응에 '장애인 출근길 시위' 멈추지만…</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
뮤지컬 '리지'에 함께한 배우들[엑's HD포토] - MSN.com,https://www.msn.com/ko-kr/entertainment/news/%EB%AE%A4%EC%A7%80%EC%BB%AC-%EB%A6%AC%EC%A7%80-%EC%97%90-%ED%95%A8%EA%BB%98%ED%95%9C-%EB%B0%B0%EC%9A%B0%EB%93%A4-%EC%97%91-s-hd%ED%8F%AC%ED%86%A0/ar-AAVCiZm,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiyQFodHRwczovL3d3dy5tc24uY29tL2tvLWtyL2VudGVydGFpbm1lbnQvbmV3cy8lRUIlQUUlQTQlRUMlQTclODAlRUMlQkIlQUMtJUVCJUE2JUFDJUVDJUE3JTgwLSVFQyU5NyU5MC0lRUQlOTUlQTglRUElQkIlOTglRUQlOTUlOUMtJUVCJUIwJUIwJUVDJTlBJUIwJUVCJTkzJUE0LSVFQyU5NyU5MS1zLWhkJUVEJThGJUFDJUVEJTg2JUEwL2FyLUFBVkNpWm3SAQA')])","Tue, 29 Mar 2022 08:07:58 GMT","<a href=""https://www.msn.com/ko-kr/entertainment/news/%EB%AE%A4%EC%A7%80%EC%BB%AC-%EB%A6%AC%EC%A7%80-%EC%97%90-%ED%95%A8%EA%BB%98%ED%95%9C-%EB%B0%B0%EC%9A%B0%EB%93%A4-%EC%97%91-s-hd%ED%8F%AC%ED%86%A0/ar-AAVCiZm"" target=""_blank"">뮤지컬 '리지'에 함께한 배우들[엑's HD포토]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN.com</font>","OrderedDict([('@url', 'https://www.msn.com'), ('#text', 'MSN.com')])"
전성민-김려원-김수연-이영미 '네 배우들의 하모니'[엑's HD포토] - 엑스포츠뉴스,https://www.xportsnews.com/article/1554451,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEF2F-O7oyWpH_zqu_XGta4MqGAgEKg8IACoHCAowvJrNATCb-iYw9d-gAw')])","Tue, 29 Mar 2022 07:28:07 GMT","<a href=""https://www.xportsnews.com/article/1554451"" target=""_blank"">전성민-김려원-김수연-이영미 '네 배우들의 하모니'[엑's HD포토]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">엑스포츠뉴스</font>","OrderedDict([('@url', 'https://www.xportsnews.com'), ('#text', '엑스포츠뉴스')])"
여은-김려원 '하트가 아니라 돈'[엑's HD포토] - 엑스포츠뉴스,https://www.xportsnews.com/article/1554516,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEAaqvgX_pPnMKr9Dv67kxwcqGAgEKg8IACoHCAowvJrNATCb-iYw9d-gAw')])","Tue, 29 Mar 2022 08:27:29 GMT","<a href=""https://www.xportsnews.com/article/1554516"" target=""_blank"">여은-김려원 '하트가 아니라 돈'[엑's HD포토]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">엑스포츠뉴스</font>","OrderedDict([('@url', 'https://www.xportsnews.com'), ('#text', '엑스포츠뉴스')])"
