title,link,guid,pubDate,description,source
'ConsMa 2022 제12회 세계CM의 날 및 제6회 세계CM경진대회' 개최 - 국토일보,https://www.ikld.kr/news/articleView.html?idxno=251247,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3LmlrbGQua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTI1MTI0N9IBAA')])","Tue, 29 Mar 2022 04:57:46 GMT","<a href=""https://www.ikld.kr/news/articleView.html?idxno=251247"" target=""_blank"">'ConsMa 2022 제12회 세계CM의 날 및 제6회 세계CM경진대회' 개최</a>&nbsp;&nbsp;<font color=""#6f6f6f"">국토일보</font>","OrderedDict([('@url', 'https://www.ikld.kr'), ('#text', '국토일보')])"
'튀김 대신 찜'…식탁물가 급등에 세계 식문화도 바뀐다 - 매일경제,https://www.mk.co.kr/news/world/view/2022/03/282432/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNGh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvd29ybGQvdmlldy8yMDIyLzAzLzI4MjQzMi_SATZodHRwczovL20ubWsuY28ua3IvbmV3cy93b3JsZC92aWV3LWFtcC8yMDIyLzAzLzI4MjQzMi8')])","Tue, 29 Mar 2022 03:31:41 GMT","<a href=""https://www.mk.co.kr/news/world/view/2022/03/282432/"" target=""_blank"">'튀김 대신 찜'…식탁물가 급등에 세계 식문화도 바뀐다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"세계 킥복싱챔피언, 러 침공 방어하다 사망…코치 ""복수해 줄게"" - 매일경제",https://www.mk.co.kr/news/world/view/2022/03/284561/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEIheogvRBaGvndQLIPKboHEqGQgEKhAIACoHCAow2t-aCDDArqABMI6L7AU')])","Tue, 29 Mar 2022 11:11:41 GMT","<a href=""https://www.mk.co.kr/news/world/view/2022/03/284561/"" target=""_blank"">세계 킥복싱챔피언, 러 침공 방어하다 사망…코치 ""복수해 줄게""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
[사설] 세계 100대 지식기업에 오른 삼성·LG·현대차의 혁신역량 - 매일경제,https://www.mk.co.kr/opinion/editorial/view/2022/03/284695/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHBzOi8vd3d3Lm1rLmNvLmtyL29waW5pb24vZWRpdG9yaWFsL3ZpZXcvMjAyMi8wMy8yODQ2OTUv0gE9aHR0cHM6Ly9tLm1rLmNvLmtyL29waW5pb24vZWRpdG9yaWFsL3ZpZXctYW1wLzIwMjIvMDMvMjg0Njk1Lw')])","Tue, 29 Mar 2022 15:03:02 GMT","<a href=""https://www.mk.co.kr/opinion/editorial/view/2022/03/284695/"" target=""_blank"">[사설] 세계 100대 지식기업에 오른 삼성·LG·현대차의 혁신역량</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
말이산고분군 세계유산 등재기원 플로깅 행사 - 경남일보,http://www.gnnews.co.kr/news/articleView.html?idxno=497075,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOmh0dHA6Ly93d3cuZ25uZXdzLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz00OTcwNzXSAQA')])","Tue, 29 Mar 2022 09:47:00 GMT","<a href=""http://www.gnnews.co.kr/news/articleView.html?idxno=497075"" target=""_blank"">말이산고분군 세계유산 등재기원 플로깅 행사</a>&nbsp;&nbsp;<font color=""#6f6f6f"">경남일보</font>","OrderedDict([('@url', 'http://www.gnnews.co.kr'), ('#text', '경남일보')])"
“월드옥타는 탐험가들의 모임”… 제23차 세계대표자대회 개막 - 월드코리안뉴스,http://www.worldkorean.net/news/articleView.html?idxno=43396,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEHSYwIVZaa43Z1a7UyvdC5UqGQgEKhAIACoHCAow0ZGZCzDhm7EDMPmX0wY')])","Tue, 29 Mar 2022 11:25:00 GMT","<a href=""http://www.worldkorean.net/news/articleView.html?idxno=43396"" target=""_blank"">“월드옥타는 탐험가들의 모임”… 제23차 세계대표자대회 개막</a>&nbsp;&nbsp;<font color=""#6f6f6f"">월드코리안뉴스</font>","OrderedDict([('@url', 'http://www.worldkorean.net'), ('#text', '월드코리안뉴스')])"
세계 최대 모바일 전시회가 보여준 미래는… - 매일경제,https://www.mk.co.kr/news/culture/view/2022/03/283400/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvY3VsdHVyZS92aWV3LzIwMjIvMDMvMjgzNDAwL9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL2N1bHR1cmUvdmlldy1hbXAvMjAyMi8wMy8yODM0MDAv')])","Tue, 29 Mar 2022 06:21:31 GMT","<a href=""https://www.mk.co.kr/news/culture/view/2022/03/283400/"" target=""_blank"">세계 최대 모바일 전시회가 보여준 미래는…</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
우크라 전쟁 틈타…세계 극우세력 준동 발판 다지나 - 한겨레,https://www.hani.co.kr/arti/international/international_general/1036617.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiTGh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9pbnRlcm5hdGlvbmFsL2ludGVybmF0aW9uYWxfZ2VuZXJhbC8xMDM2NjE3Lmh0bWzSAQA')])","Mon, 28 Mar 2022 19:59:33 GMT","<a href=""https://www.hani.co.kr/arti/international/international_general/1036617.html"" target=""_blank"">우크라 전쟁 틈타…세계 극우세력 준동 발판 다지나</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
"고진영, 9주 연속 세계 1위, 코다와 격차 벌려…‘신인’ 안나린, 20계단 상승 - 게임동아",https://www.donga.com/news/Sports/article/all/20220329/112580039/1,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQmh0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1Nwb3J0cy9hcnRpY2xlL2FsbC8yMDIyMDMyOS8xMTI1ODAwMzkvMdIBN2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL2FtcC9hbGwvMjAyMjAzMjkvMTEyNTgwMDM5LzE')])","Mon, 28 Mar 2022 22:50:00 GMT","<a href=""https://www.donga.com/news/Sports/article/all/20220329/112580039/1"" target=""_blank"">고진영, 9주 연속 세계 1위, 코다와 격차 벌려…‘신인’ 안나린, 20계단 상승</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font>","OrderedDict([('@url', 'https://www.donga.com'), ('#text', '게임동아')])"
세계은행 “우크라 전쟁 여파로 세계 12개국 연쇄 디폴트 위험” - 조선비즈 - 조선비즈,https://biz.chosun.com/international/international_economy/2022/03/29/T4BDLAA26VBV7OP6LQH6GKCLZ4/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiYWh0dHBzOi8vYml6LmNob3N1bi5jb20vaW50ZXJuYXRpb25hbC9pbnRlcm5hdGlvbmFsX2Vjb25vbXkvMjAyMi8wMy8yOS9UNEJETEFBMjZWQlY3T1A2TFFINkdLQ0xaNC_SAXBodHRwczovL2Jpei5jaG9zdW4uY29tL2ludGVybmF0aW9uYWwvaW50ZXJuYXRpb25hbF9lY29ub215LzIwMjIvMDMvMjkvVDRCRExBQTI2VkJWN09QNkxRSDZHS0NMWjQvP291dHB1dFR5cGU9YW1w')])","Tue, 29 Mar 2022 05:37:00 GMT","<a href=""https://biz.chosun.com/international/international_economy/2022/03/29/T4BDLAA26VBV7OP6LQH6GKCLZ4/"" target=""_blank"">세계은행 “우크라 전쟁 여파로 세계 12개국 연쇄 디폴트 위험” - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font>","OrderedDict([('@url', 'https://biz.chosun.com'), ('#text', '조선비즈')])"
