title,link,guid,pubDate,description,source
“핑크퐁·아기상어와 노래 불러요” - 부산제일경제,http://www.busaneconomy.com/news/articleView.html?idxno=275599,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiECGor6D1paSj_GcDP-TZLIgqGQgEKhAIACoHCAowyICnCzCwi78DMKD-kQc')])","Tue, 15 Mar 2022 07:46:03 GMT","<a href=""http://www.busaneconomy.com/news/articleView.html?idxno=275599"" target=""_blank"">“핑크퐁·아기상어와 노래 불러요”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">부산제일경제</font>","OrderedDict([('@url', 'http://www.busaneconomy.com'), ('#text', '부산제일경제')])"
[#신상이오] 대상 집으로ON '핑크퐁 아기상어 앙팡칼슘우유' 출시 外 KGC인삼공사 - 천지일보,http://www.newscj.com/news/articleView.html?idxno=959366,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEHvvKphpkfX6sAKd45TIGAEqGAgEKg8IACoHCAow3bSRAjCjoC4w2IyTAg')])","Mon, 14 Mar 2022 12:05:16 GMT","<a href=""http://www.newscj.com/news/articleView.html?idxno=959366"" target=""_blank"">[#신상이오] 대상 집으로ON '핑크퐁 아기상어 앙팡칼슘우유' 출시 外 KGC인삼공사</a>&nbsp;&nbsp;<font color=""#6f6f6f"">천지일보</font>","OrderedDict([('@url', 'http://www.newscj.com'), ('#text', '천지일보')])"
"전세계가 들썩들썩 '아기상어' 15초의 마법…""1천억 뷰 꿈꿔요"" - 연합뉴스",https://www.yna.co.kr/view/AKR20220213051800005,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjIwMjEzMDUxODAwMDA10gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIyMDIxMzA1MTgwMDAwNQ')])","Mon, 14 Feb 2022 08:00:00 GMT","<a href=""https://www.yna.co.kr/view/AKR20220213051800005"" target=""_blank"">전세계가 들썩들썩 '아기상어' 15초의 마법…""1천억 뷰 꿈꿔요""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>","OrderedDict([('@url', 'https://www.yna.co.kr'), ('#text', '연합뉴스')])"
"대상 집으로0N, '핑크퐁 아기상어 앙팡칼슘우유' 출시 - 뉴시스",https://newsis.com/view/?id=NISX20220314_0001791720,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMTRfMDAwMTc5MTcyMNIBAA')])","Mon, 14 Mar 2022 00:45:38 GMT","<a href=""https://newsis.com/view/?id=NISX20220314_0001791720"" target=""_blank"">대상 집으로0N, '핑크퐁 아기상어 앙팡칼슘우유' 출시</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
"""아기상어, 뚜루루"" 시위 해산시키려 틀었더니…뜻밖의 반응 - 머니투데이",https://news.mt.co.kr/mtview.php?no=2022021509331273149,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiN2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjIwMjE1MDkzMzEyNzMxNDnSAQA')])","Tue, 15 Feb 2022 08:00:00 GMT","<a href=""https://news.mt.co.kr/mtview.php?no=2022021509331273149"" target=""_blank"">""아기상어, 뚜루루"" 시위 해산시키려 틀었더니…뜻밖의 반응</a>&nbsp;&nbsp;<font color=""#6f6f6f"">머니투데이</font>","OrderedDict([('@url', 'https://news.mt.co.kr'), ('#text', '머니투데이')])"
핑크퐁·아기상어와 함께 부르는 '대선 캠페인송' - 한겨레,https://www.hani.co.kr/arti/culture/culture_general/1031411.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQGh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9jdWx0dXJlL2N1bHR1cmVfZ2VuZXJhbC8xMDMxNDExLmh0bWzSAQA')])","Wed, 16 Feb 2022 08:00:00 GMT","<a href=""https://www.hani.co.kr/arti/culture/culture_general/1031411.html"" target=""_blank"">핑크퐁·아기상어와 함께 부르는 '대선 캠페인송'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
"핑크퐁 아기상어 손잡은 ‘아기싱어’, 오늘(12일) 메인 테마송 발매 - 싱글리스트",http://www.slist.kr/news/articleView.html?idxno=337900,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHA6Ly93d3cuc2xpc3Qua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTMzNzkwMNIBOWh0dHA6Ly93d3cuc2xpc3Qua3IvbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTMzNzkwMA')])","Sat, 12 Mar 2022 00:11:33 GMT","<a href=""http://www.slist.kr/news/articleView.html?idxno=337900"" target=""_blank"">핑크퐁 아기상어 손잡은 ‘아기싱어’, 오늘(12일) 메인 테마송 발매</a>&nbsp;&nbsp;<font color=""#6f6f6f"">싱글리스트</font>","OrderedDict([('@url', 'http://www.slist.kr'), ('#text', '싱글리스트')])"
'이게 아닌데;' 시위대 해산하라고 아기상어 틀었더니… - JTBC,https://news.jtbc.joins.com/html/776/NB12046776.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNGh0dHBzOi8vbmV3cy5qdGJjLmpvaW5zLmNvbS9odG1sLzc3Ni9OQjEyMDQ2Nzc2Lmh0bWzSAQA')])","Mon, 14 Feb 2022 08:00:00 GMT","<a href=""https://news.jtbc.joins.com/html/776/NB12046776.html"" target=""_blank"">'이게 아닌데;' 시위대 해산하라고 아기상어 틀었더니…</a>&nbsp;&nbsp;<font color=""#6f6f6f"">JTBC</font>","OrderedDict([('@url', 'https://news.jtbc.joins.com'), ('#text', 'JTBC')])"
"대상 집으로ON, '핑크퐁 아기상어 치즈볼' 출시 - 이코노믹리뷰",http://www.econovill.com/news/articleView.html?idxno=567138,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHA6Ly93d3cuZWNvbm92aWxsLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NTY3MTM40gEA')])","Wed, 02 Mar 2022 08:00:00 GMT","<a href=""http://www.econovill.com/news/articleView.html?idxno=567138"" target=""_blank"">대상 집으로ON, '핑크퐁 아기상어 치즈볼' 출시</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이코노믹리뷰</font>","OrderedDict([('@url', 'http://www.econovill.com'), ('#text', '이코노믹리뷰')])"
"'아기상어' 부르는 '아기싱어'...더핑크퐁컴퍼니, KBS와 맞손 - 테크M",https://www.techm.kr/news/articleView.html?idxno=94516,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEISVy06XDIDekeTQHAhcmrwqGQgEKhAIACoHCAowxbqcCzDRxLQDMNL04wY')])","Thu, 24 Feb 2022 08:00:00 GMT","<a href=""https://www.techm.kr/news/articleView.html?idxno=94516"" target=""_blank"">'아기상어' 부르는 '아기싱어'...더핑크퐁컴퍼니, KBS와 맞손</a>&nbsp;&nbsp;<font color=""#6f6f6f"">테크M</font>","OrderedDict([('@url', 'https://www.techm.kr'), ('#text', '테크M')])"
