title,link,guid,pubDate,description,source
"`사내맞선` 안효섭, 김세정 집 일촉즉발 탈출 "" 정식으로 인사하고 싶어"" - 매일경제",https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284666/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1314458124')])","Tue, 29 Mar 2022 14:08:29 GMT","<ol><li><a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284666/"" target=""_blank"">`사내맞선` 안효섭, 김세정 집 일촉즉발 탈출 "" 정식으로 인사하고 싶어""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""http://www.entermedia.co.kr/news/articleView.html?idxno=28731"" target=""_blank"">예능보다 웃긴 ‘사내맞선’, 안효섭·김세정·김민규·설인아 인생캐 획득</a>&nbsp;&nbsp;<font color=""#6f6f6f"">EnterMedia</font></li><li><a href=""https://biz.chosun.com/entertainment/tv/2022/03/29/MRQQCAZ2P2UYSGSZTDSLJZJNBA/"" target=""_blank"">'사내맞선' 안효섭, 이덕화에 ""만나는 여자친구 곧 소개시켜드리겠다"" - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font></li><li><a href=""http://www.munhwa.com/news/view.html?no=20220329MW074249451526"" target=""_blank"">안효섭·김세정 주연 '사내맞선', 11.6%로 자체최고시청률</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화일보</font></li><li><a href=""https://www.hankyung.com/entertainment/article/202203298501H"" target=""_blank"">'사내맞선' 김세정 옷장에 숨은 안효섭…왜?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lNbE9UeUJCRnRDQlpYNUhjbC1TZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"남주혁·송강·안효섭, 20대 대표 배우 성공적 세대교체 [MK이슈] - 매일경제",https://www.mk.co.kr/star/hot-issues/view/2022/03/270997/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvaG90LWlzc3Vlcy92aWV3LzIwMjIvMDMvMjcwOTk3L9IBO2h0dHBzOi8vbS5tay5jby5rci9zdGFyL2hvdC1pc3N1ZXMvdmlldy1hbXAvMjAyMi8wMy8yNzA5OTcv')])","Thu, 24 Mar 2022 23:01:03 GMT","<a href=""https://www.mk.co.kr/star/hot-issues/view/2022/03/270997/"" target=""_blank"">남주혁·송강·안효섭, 20대 대표 배우 성공적 세대교체 [MK이슈]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"'사내맞선' 안효섭, JYP 연습생 과거 재조명…캐나다에서 길거리 캐스팅 | 연예가화제 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220330n01056?mid=n0100,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzMwbjAxMDU2P21pZD1uMDEwMNIBAA')])","Tue, 29 Mar 2022 17:07:00 GMT","<a href=""https://news.nate.com/view/20220330n01056?mid=n0100"" target=""_blank"">'사내맞선' 안효섭, JYP 연습생 과거 재조명…캐나다에서 길거리 캐스팅 | 연예가화제 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"안효섭, 시조새 아니라 고양이상이었네…훈훈 비주얼에 김세정도 감탄 [TEN★] - 한국경제",https://www.hankyung.com/entertainment/article/2022032866924,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPGh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lbnRlcnRhaW5tZW50L2FydGljbGUvMjAyMjAzMjg2NjkyNNIBL2h0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9uZXdzL2FtcC8yMDIyMDMyODY2OTI0')])","Mon, 28 Mar 2022 09:30:00 GMT","<a href=""https://www.hankyung.com/entertainment/article/2022032866924"" target=""_blank"">안효섭, 시조새 아니라 고양이상이었네…훈훈 비주얼에 김세정도 감탄 [TEN★]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font>","OrderedDict([('@url', 'https://www.hankyung.com'), ('#text', '한국경제')])"
김세정 부모 피해 옷장 들어가는 안효섭…가능해? :: 공감언론 뉴시스통신사 :: - 뉴시스,https://newsis.com/view/?id=NISX20220329_0001811703,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMjlfMDAwMTgxMTcwM9IBAA')])","Tue, 29 Mar 2022 02:44:17 GMT","<a href=""https://newsis.com/view/?id=NISX20220329_0001811703"" target=""_blank"">김세정 부모 피해 옷장 들어가는 안효섭…가능해? :: 공감언론 뉴시스통신사 ::</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
연애 시작하더니 꽁냥꽁냥 김세정·안효섭… '사내맞선' - 뉴시스,https://newsis.com/view/?id=NISX20220328_0001810515,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMjhfMDAwMTgxMDUxNdIBAA')])","Mon, 28 Mar 2022 06:57:49 GMT","<a href=""https://newsis.com/view/?id=NISX20220328_0001810515"" target=""_blank"">연애 시작하더니 꽁냥꽁냥 김세정·안효섭… '사내맞선'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
"'사내맞선' 이덕화, 김세정에 ""안효섭과 만나지 말라"" 경고 [RE:TV] - 뉴스1",https://www.news1.kr/articles/?4631474,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiJmh0dHBzOi8vd3d3Lm5ld3MxLmtyL2FydGljbGVzLz80NjMxNDc00gEqaHR0cHM6Ly93d3cubmV3czEua3IvYW1wL2FydGljbGVzLz80NjMxNDc0')])","Tue, 29 Mar 2022 19:50:00 GMT","<a href=""https://www.news1.kr/articles/?4631474"" target=""_blank"">'사내맞선' 이덕화, 김세정에 ""안효섭과 만나지 말라"" 경고 [RE:TV]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font>","OrderedDict([('@url', 'https://www.news1.kr'), ('#text', '뉴스1')])"
"'사내맞선' 안효섭·김세정, 비밀연애 '자체 최고 시청률 경신' - 뉴스토마토",http://www.newstomato.com/ReadNews.aspx?no=1113986&inflow=G,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHA6Ly93d3cubmV3c3RvbWF0by5jb20vUmVhZE5ld3MuYXNweD9ubz0xMTEzOTg2JmluZmxvdz1H0gEA')])","Mon, 28 Mar 2022 23:19:00 GMT","<a href=""http://www.newstomato.com/ReadNews.aspx?no=1113986&inflow=G"" target=""_blank"">'사내맞선' 안효섭·김세정, 비밀연애 '자체 최고 시청률 경신'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스토마토</font>","OrderedDict([('@url', 'http://www.newstomato.com'), ('#text', '뉴스토마토')])"
"키스값은 키스로… 안효섭 김세정, '진짜 연애' 시작 - 뉴시스",https://newsis.com/view/?id=NISX20220323_0001803737,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMjNfMDAwMTgwMzczN9IBAA')])","Wed, 23 Mar 2022 00:25:13 GMT","<a href=""https://newsis.com/view/?id=NISX20220323_0001803737"" target=""_blank"">키스값은 키스로… 안효섭 김세정, '진짜 연애' 시작</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
'사내맞선' 안효섭·김세정→김민규·설인아 커플도 뜨겁게 선 넘었다 - 아시아투데이,https://www.asiatoday.co.kr/view.php?key=20220325010014833,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOmh0dHBzOi8vd3d3LmFzaWF0b2RheS5jby5rci92aWV3LnBocD9rZXk9MjAyMjAzMjUwMTAwMTQ4MzPSAQA')])","Fri, 25 Mar 2022 15:00:00 GMT","<a href=""https://www.asiatoday.co.kr/view.php?key=20220325010014833"" target=""_blank"">'사내맞선' 안효섭·김세정→김민규·설인아 커플도 뜨겁게 선 넘었다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아시아투데이</font>","OrderedDict([('@url', 'https://www.asiatoday.co.kr'), ('#text', '아시아투데이')])"
"배우 안효섭, '아이멜리' 전속모델 발탁 - 코스인코리아닷컴",https://cosinkorea.com/mobile/article.html?no=43164,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vY29zaW5rb3JlYS5jb20vbW9iaWxlL2FydGljbGUuaHRtbD9ubz00MzE2NNIBAA')])","Mon, 28 Feb 2022 08:00:00 GMT","<a href=""https://cosinkorea.com/mobile/article.html?no=43164"" target=""_blank"">배우 안효섭, '아이멜리' 전속모델 발탁</a>&nbsp;&nbsp;<font color=""#6f6f6f"">코스인코리아닷컴</font>","OrderedDict([('@url', 'https://cosinkorea.com'), ('#text', '코스인코리아닷컴')])"
