title,link,guid,pubDate,description,source
"[스경연예연구소]‘빌보드 200 1위’ 스트레이 키즈, BTS 이을 글로벌 그룹 예고 - 스포츠경향",https://sports.khan.co.kr/sports/sk_index.html?art_id=202203291238003&sec_id=540301,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1318040773')])","Tue, 29 Mar 2022 03:38:00 GMT","<ol><li><a href=""https://sports.khan.co.kr/sports/sk_index.html?art_id=202203291238003&sec_id=540301"" target=""_blank"">[스경연예연구소]‘빌보드 200 1위’ 스트레이 키즈, BTS 이을 글로벌 그룹 예고</a>&nbsp;&nbsp;<font color=""#6f6f6f"">스포츠경향</font></li><li><a href=""http://www.koreaes.com/news/articleView.html?idxno=361578"" target=""_blank"">스트레이 키즈, 美 빌보드 메인 차트 '빌보드 200' 1위</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국연예스포츠신문</font></li><li><a href=""https://www.gukjenews.com/news/articleView.html?idxno=2435736"" target=""_blank"">스트레이키즈 빌보드, 최초 진입과 동시에 1위</a>&nbsp;&nbsp;<font color=""#6f6f6f"">국제뉴스</font></li><li><a href=""http://www.sporbiz.co.kr/news/articleView.html?idxno=614253"" target=""_blank"">스트레이 키즈, 'ODDINARY'로 '빌보드 200' 1위</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한스경제</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pGNmI3MEJCRi1BNXVlSjRmbFV5Z0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://sports.khan.co.kr'), ('#text', '스포츠경향')])"
"넷마블 디지털휴먼 '리나', 연예기획사 써브라임과 전속계약 - 오피니언뉴스",http://www.opinionnews.co.kr/news/articleView.html?idxno=64798,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPmh0dHA6Ly93d3cub3Bpbmlvbm5ld3MuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTY0Nzk40gFBaHR0cDovL3d3dy5vcGluaW9ubmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NjQ3OTg')])","Tue, 29 Mar 2022 02:46:03 GMT","<a href=""http://www.opinionnews.co.kr/news/articleView.html?idxno=64798"" target=""_blank"">넷마블 디지털휴먼 '리나', 연예기획사 써브라임과 전속계약</a>&nbsp;&nbsp;<font color=""#6f6f6f"">오피니언뉴스</font>","OrderedDict([('@url', 'http://www.opinionnews.co.kr'), ('#text', '오피니언뉴스')])"
"[스브수다] 반듯한 임시완, '똘끼'가 잘 어울릴 줄이야 - SBS연예뉴스",https://ent.sbs.co.kr/news/article.do?article_id=E10010247643,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEJdX8NQY3wB0dJfb-45ReBMqGQgEKhAIACoHCAowhrf5CjD01fECMODxmwY')])","Tue, 29 Mar 2022 08:24:00 GMT","<a href=""https://ent.sbs.co.kr/news/article.do?article_id=E10010247643"" target=""_blank"">[스브수다] 반듯한 임시완, '똘끼'가 잘 어울릴 줄이야</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SBS연예뉴스</font>","OrderedDict([('@url', 'https://ent.sbs.co.kr'), ('#text', 'SBS연예뉴스')])"
제28회 대한민국 연예예술시상식 화려한 막 예고 - 경인매일신문,http://www.kmaeil.com/news/articleView.html?idxno=342681,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOGh0dHA6Ly93d3cua21hZWlsLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MzQyNjgx0gEA')])","Thu, 24 Mar 2022 04:13:01 GMT","<a href=""http://www.kmaeil.com/news/articleView.html?idxno=342681"" target=""_blank"">제28회 대한민국 연예예술시상식 화려한 막 예고</a>&nbsp;&nbsp;<font color=""#6f6f6f"">경인매일신문</font>","OrderedDict([('@url', 'http://www.kmaeil.com'), ('#text', '경인매일신문')])"
"붐, 내달 9일 비연예인과 결혼…""많이 떨리네요"" - 뉴시스",https://newsis.com/view/?id=NISX20220310_0001788395,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMTBfMDAwMTc4ODM5NdIBAA')])","Thu, 10 Mar 2022 08:00:00 GMT","<a href=""https://newsis.com/view/?id=NISX20220310_0001788395"" target=""_blank"">붐, 내달 9일 비연예인과 결혼…""많이 떨리네요""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
"오스카는 불발, 흥행은 순항…'스펜서', 7만 돌파 - SBS연예뉴스",https://ent.sbs.co.kr/news/article.do?article_id=E10010247650,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEDgV4A6hPeeLolQrkLBXw3AqGQgEKhAIACoHCAowhrf5CjD01fECMOHvmwY')])","Tue, 29 Mar 2022 09:20:00 GMT","<a href=""https://ent.sbs.co.kr/news/article.do?article_id=E10010247650"" target=""_blank"">오스카는 불발, 흥행은 순항…'스펜서', 7만 돌파</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SBS연예뉴스</font>","OrderedDict([('@url', 'https://ent.sbs.co.kr'), ('#text', 'SBS연예뉴스')])"
"엑소 수호, ‘내달 4일’…미니 앨범 ‘Grey Suit’ 발매 - 뉴스포스트",http://www.newspost.kr/news/articleView.html?idxno=97824,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOGh0dHA6Ly93d3cubmV3c3Bvc3Qua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTk3ODI00gE7aHR0cDovL3d3dy5uZXdzcG9zdC5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89OTc4MjQ')])","Tue, 29 Mar 2022 08:41:39 GMT","<a href=""http://www.newspost.kr/news/articleView.html?idxno=97824"" target=""_blank"">엑소 수호, ‘내달 4일’…미니 앨범 ‘Grey Suit’ 발매</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스포스트</font>","OrderedDict([('@url', 'http://www.newspost.kr'), ('#text', '뉴스포스트')])"
"[연예] '라디오스타' 장동민, 4개월 만에 속전속 결혼에 골인 - 서울시정일보",https://www.msnews.co.kr/news/articleView.html?idxno=419154,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHBzOi8vd3d3Lm1zbmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDE5MTU00gEA')])","Tue, 29 Mar 2022 07:54:40 GMT","<a href=""https://www.msnews.co.kr/news/articleView.html?idxno=419154"" target=""_blank"">[연예] '라디오스타' 장동민, 4개월 만에 속전속 결혼에 골인</a>&nbsp;&nbsp;<font color=""#6f6f6f"">서울시정일보</font>","OrderedDict([('@url', 'https://www.msnews.co.kr'), ('#text', '서울시정일보')])"
"김태리 화보, 봄의 여신으로 변신 '청순미 발산' - 시사매거진",http://www.sisamagazine.co.kr/news/articleView.html?idxno=436845,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQGh0dHA6Ly93d3cuc2lzYW1hZ2F6aW5lLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz00MzY4NDXSAUNodHRwOi8vd3d3LnNpc2FtYWdhemluZS5jby5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NDM2ODQ1')])","Tue, 29 Mar 2022 08:46:09 GMT","<a href=""http://www.sisamagazine.co.kr/news/articleView.html?idxno=436845"" target=""_blank"">김태리 화보, 봄의 여신으로 변신 '청순미 발산'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">시사매거진</font>","OrderedDict([('@url', 'http://www.sisamagazine.co.kr'), ('#text', '시사매거진')])"
"김지석X하석진X이현이, '수상한 이웃'포스터 공개 - 뉴스포스트",https://www.newspost.kr/news/articleView.html?idxno=97791,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOWh0dHBzOi8vd3d3Lm5ld3Nwb3N0LmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz05Nzc5MdIBAA')])","Mon, 28 Mar 2022 23:50:03 GMT","<a href=""https://www.newspost.kr/news/articleView.html?idxno=97791"" target=""_blank"">김지석X하석진X이현이, '수상한 이웃'포스터 공개</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스포스트</font>","OrderedDict([('@url', 'https://www.newspost.kr'), ('#text', '뉴스포스트')])"
"별똥별 캐릭터티저, 이성경♥김영대 설렘 로맨스 예고 - 시사매거진",http://www.sisamagazine.co.kr/news/articleView.html?idxno=436840,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQGh0dHA6Ly93d3cuc2lzYW1hZ2F6aW5lLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz00MzY4NDDSAUNodHRwOi8vd3d3LnNpc2FtYWdhemluZS5jby5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NDM2ODQw')])","Tue, 29 Mar 2022 08:24:24 GMT","<a href=""http://www.sisamagazine.co.kr/news/articleView.html?idxno=436840"" target=""_blank"">별똥별 캐릭터티저, 이성경♥김영대 설렘 로맨스 예고</a>&nbsp;&nbsp;<font color=""#6f6f6f"">시사매거진</font>","OrderedDict([('@url', 'http://www.sisamagazine.co.kr'), ('#text', '시사매거진')])"
