title,link,guid,pubDate,description,source
[오늘의 운세] 3월 30일 수요일 (음력 2월 28일 壬午) - 조선일보 - The Chosunilbo,https://www.chosun.com/national/national_general/2022/03/29/6RQ7UE22A5FBNEJ4DL2BTWQX2U/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '830400096')])","Tue, 29 Mar 2022 08:00:00 GMT","<ol><li><a href=""https://www.chosun.com/national/national_general/2022/03/29/6RQ7UE22A5FBNEJ4DL2BTWQX2U/"" target=""_blank"">[오늘의 운세] 3월 30일 수요일 (음력 2월 28일 壬午) - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""https://m.hankookilbo.com/News/Read/A2022032809240003828"" target=""_blank"">[백운산 오늘의 운세] 2022년 3월 29일</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국일보</font></li><li><a href=""https://www.edaily.co.kr/news/read?newsId=01098806632268568&mediaCodeNo=257"" target=""_blank"">[카드뉴스] 2022년 3월 30일 오늘의 운세</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이데일리</font></li><li><a href=""https://newsis.com/view/?id=NISX20220328_0001810833"" target=""_blank"">녹유의 '오늘의 운세' 2022년 3월 30일 수요일(음력 2월 26일 임오)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font></li><li><a href=""http://news.imaeil.com/page/view/2022032410281824654"" target=""_blank"">[더사주 오늘의 띠별 운세]<3월 29일 화요일(음력 2월27일)></a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일신문</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pnelB1TEF4R1pQaXgwVU9DR1lDZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
오늘의 우크라이나는 내일의 대만?…대만 정보당국 “현 총통 임기내 침공 없을 것” - 향이네 h2.khan.co.kr,https://www.khan.co.kr/world/china/article/202203291631011,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOmh0dHBzOi8vd3d3LmtoYW4uY28ua3Ivd29ybGQvY2hpbmEvYXJ0aWNsZS8yMDIyMDMyOTE2MzEwMTHSAQA')])","Tue, 29 Mar 2022 07:31:00 GMT","<a href=""https://www.khan.co.kr/world/china/article/202203291631011"" target=""_blank"">오늘의 우크라이나는 내일의 대만?…대만 정보당국 “현 총통 임기내 침공 없을 것”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">향이네 h2.khan.co.kr</font>","OrderedDict([('@url', 'https://www.khan.co.kr'), ('#text', '향이네 h2.khan.co.kr')])"
[북한 어제와 오늘] 6·25 발발前 굶주리는 北인민 살렸던 '영웅' - 데일리NK,https://www.dailynk.com/%EB%B6%81%ED%95%9C-%EC%96%B4%EC%A0%9C%EC%99%80-%EC%98%A4%EB%8A%98-6%C2%B725-%EB%B0%9C%EB%B0%9C%E5%89%8D-%EA%B5%B6%EC%A3%BC%EB%A6%AC%EB%8A%94-%E5%8C%97%EC%9D%B8%EB%AF%BC-%EC%82%B4%EB%A0%B8%EB%8D%98/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMi3QFodHRwczovL3d3dy5kYWlseW5rLmNvbS8lRUIlQjYlODElRUQlOTUlOUMtJUVDJTk2JUI0JUVDJUEwJTlDJUVDJTk5JTgwLSVFQyU5OCVBNCVFQiU4QSU5OC02JUMyJUI3MjUtJUVCJUIwJTlDJUVCJUIwJTlDJUU1JTg5JThELSVFQSVCNSVCNiVFQyVBMyVCQyVFQiVBNiVBQyVFQiU4QSU5NC0lRTUlOEMlOTclRUMlOUQlQjglRUIlQUYlQkMtJUVDJTgyJUI0JUVCJUEwJUI4JUVCJThEJTk4L9IBAA')])","Tue, 29 Mar 2022 11:47:53 GMT","<a href=""https://www.dailynk.com/%EB%B6%81%ED%95%9C-%EC%96%B4%EC%A0%9C%EC%99%80-%EC%98%A4%EB%8A%98-6%C2%B725-%EB%B0%9C%EB%B0%9C%E5%89%8D-%EA%B5%B6%EC%A3%BC%EB%A6%AC%EB%8A%94-%E5%8C%97%EC%9D%B8%EB%AF%BC-%EC%82%B4%EB%A0%B8%EB%8D%98/"" target=""_blank"">[북한 어제와 오늘] 6·25 발발前 굶주리는 北인민 살렸던 '영웅'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">데일리NK</font>","OrderedDict([('@url', 'https://www.dailynk.com'), ('#text', '데일리NK')])"
오늘의 증시 일정 (3월 30일) - 매일경제,https://www.mk.co.kr/news/stock/view/2022/03/284358/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEPSrYSjZxXZ-B0gZUTWg8AsqGQgEKhAIACoHCAow2t-aCDDArqABMKOPxwY')])","Tue, 29 Mar 2022 08:53:49 GMT","<a href=""https://www.mk.co.kr/news/stock/view/2022/03/284358/"" target=""_blank"">오늘의 증시 일정 (3월 30일)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
[오늘의 경제지표] 러-우크라 협상 기대감·유가 하락...국내외 증시 반등 - YTN,https://www.ytn.co.kr/_ln/0102_202203291306413680,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwMl8yMDIyMDMyOTEzMDY0MTM2ODDSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDJfMjAyMjAzMjkxMzA2NDEzNjgw')])","Tue, 29 Mar 2022 04:06:00 GMT","<a href=""https://www.ytn.co.kr/_ln/0102_202203291306413680"" target=""_blank"">[오늘의 경제지표] 러-우크라 협상 기대감·유가 하락...국내외 증시 반등</a>&nbsp;&nbsp;<font color=""#6f6f6f"">YTN</font>","OrderedDict([('@url', 'https://www.ytn.co.kr'), ('#text', 'YTN')])"
"""오늘은 좋은 소식 있다""…우크라 키이우에 무슨 일이 [러, 우크라 침공] - 매일경제",https://www.mk.co.kr/news/world/view/2022/03/280920/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNGh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvd29ybGQvdmlldy8yMDIyLzAzLzI4MDkyMC_SATZodHRwczovL20ubWsuY28ua3IvbmV3cy93b3JsZC92aWV3LWFtcC8yMDIyLzAzLzI4MDkyMC8')])","Mon, 28 Mar 2022 22:46:33 GMT","<a href=""https://www.mk.co.kr/news/world/view/2022/03/280920/"" target=""_blank"">""오늘은 좋은 소식 있다""…우크라 키이우에 무슨 일이 [러, 우크라 침공]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"남윤수, ‘오늘의 웹툰’ 남자 주인공...김세정과 호흡[공식] - 매일경제",https://www.mk.co.kr/star/broadcasting-service/view/2022/03/281675/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQ2h0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvYnJvYWRjYXN0aW5nLXNlcnZpY2Uvdmlldy8yMDIyLzAzLzI4MTY3NS_SAUVodHRwczovL20ubWsuY28ua3Ivc3Rhci9icm9hZGNhc3Rpbmctc2VydmljZS92aWV3LWFtcC8yMDIyLzAzLzI4MTY3NS8')])","Tue, 29 Mar 2022 01:25:34 GMT","<a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/281675/"" target=""_blank"">남윤수, ‘오늘의 웹툰’ 남자 주인공...김세정과 호흡[공식]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"[알립니다] 오늘 오후 3시, '헬스조선 라이브' 골다공증 편 - 헬스조선",https://m.health.chosun.com/svc/news_view.html?contid=2022032900934,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQ2h0dHBzOi8vbS5oZWFsdGguY2hvc3VuLmNvbS9zdmMvbmV3c192aWV3Lmh0bWw_Y29udGlkPTIwMjIwMzI5MDA5MzTSAQA')])","Tue, 29 Mar 2022 01:19:00 GMT","<a href=""https://m.health.chosun.com/svc/news_view.html?contid=2022032900934"" target=""_blank"">[알립니다] 오늘 오후 3시, '헬스조선 라이브' 골다공증 편</a>&nbsp;&nbsp;<font color=""#6f6f6f"">헬스조선</font>","OrderedDict([('@url', 'https://m.health.chosun.com'), ('#text', '헬스조선')])"
"[오늘의 날씨]오후부터 전국 비소식, 일교차 최대 20도 내외, 미세먼지 좋음 - Queen",http://www.queen.co.kr/news/articleView.html?idxno=374181,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEEZo3SMYvgwoykON17LKcb8qGQgEKhAIACoHCAowx9XdCjD4gtQBMKqUqQY')])","Tue, 29 Mar 2022 15:05:00 GMT","<a href=""http://www.queen.co.kr/news/articleView.html?idxno=374181"" target=""_blank"">[오늘의 날씨]오후부터 전국 비소식, 일교차 최대 20도 내외, 미세먼지 좋음</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Queen</font>","OrderedDict([('@url', 'http://www.queen.co.kr'), ('#text', 'Queen')])"
싱가포르 오늘부터 야외서 마스크 '선택'…상당수 그대로 착용(종합) - 매일경제,https://www.mk.co.kr/news/world/view/2022/03/284281/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNGh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvd29ybGQvdmlldy8yMDIyLzAzLzI4NDI4MS_SATZodHRwczovL20ubWsuY28ua3IvbmV3cy93b3JsZC92aWV3LWFtcC8yMDIyLzAzLzI4NDI4MS8')])","Tue, 29 Mar 2022 08:38:50 GMT","<a href=""https://www.mk.co.kr/news/world/view/2022/03/284281/"" target=""_blank"">싱가포르 오늘부터 야외서 마스크 '선택'…상당수 그대로 착용(종합)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
[오늘의 MBN] 詩를 쓰며 한가롭게 사는 자연인 - 매일경제,https://www.mk.co.kr/news/culture/view/2022/03/284688/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEFkINmkqeaANInGyt5LSoz0qGQgEKhAIACoHCAow2t-aCDDArqABMKWPxwY')])","Tue, 29 Mar 2022 15:01:02 GMT","<a href=""https://www.mk.co.kr/news/culture/view/2022/03/284688/"" target=""_blank"">[오늘의 MBN] 詩를 쓰며 한가롭게 사는 자연인</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
