title,link,guid,pubDate,description,source
러시아의 우크라이나 침공 최신 뉴스에 촉각 - 연합뉴스,https://www.yna.co.kr/view/PYH20220228024500013,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L1BZSDIwMjIwMjI4MDI0NTAwMDEz0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9QWUgyMDIyMDIyODAyNDUwMDAxMw')])","Mon, 28 Feb 2022 08:00:00 GMT","<a href=""https://www.yna.co.kr/view/PYH20220228024500013"" target=""_blank"">러시아의 우크라이나 침공 최신 뉴스에 촉각</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>","OrderedDict([('@url', 'https://www.yna.co.kr'), ('#text', '연합뉴스')])"
"항공 화물 포워딩 시장 전망, 가격 전략, 업계 최신 뉴스, 최고의 회사 분석 및 지역 전망 2028 - 크립토프레소 Cryptopresso",https://cryptopresso.com/%EC%86%8C%EC%8B%9D/%ED%95%AD%EA%B3%B5-%ED%99%94%EB%AC%BC-%ED%8F%AC%EC%9B%8C%EB%94%A9-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EA%B0%80%EA%B2%A9-%EC%A0%84%EB%9E%B5-%EC%97%85%EA%B3%84-%EC%B5%9C%EC%8B%A0-%EB%89%B4%EC%8A%A4/304067/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMi-gFodHRwczovL2NyeXB0b3ByZXNzby5jb20vJUVDJTg2JThDJUVDJThCJTlELyVFRCU5NSVBRCVFQSVCMyVCNS0lRUQlOTklOTQlRUIlQUMlQkMtJUVEJThGJUFDJUVDJTlCJThDJUVCJTk0JUE5LSVFQyU4QiU5QyVFQyU5RSVBNS0lRUMlQTAlODQlRUIlQTclOUQtJUVBJUIwJTgwJUVBJUIyJUE5LSVFQyVBMCU4NCVFQiU5RSVCNS0lRUMlOTclODUlRUElQjMlODQtJUVDJUI1JTlDJUVDJThCJUEwLSVFQiU4OSVCNCVFQyU4QSVBNC8zMDQwNjcv0gEA')])","Tue, 29 Mar 2022 12:27:44 GMT","<a href=""https://cryptopresso.com/%EC%86%8C%EC%8B%9D/%ED%95%AD%EA%B3%B5-%ED%99%94%EB%AC%BC-%ED%8F%AC%EC%9B%8C%EB%94%A9-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EA%B0%80%EA%B2%A9-%EC%A0%84%EB%9E%B5-%EC%97%85%EA%B3%84-%EC%B5%9C%EC%8B%A0-%EB%89%B4%EC%8A%A4/304067/"" target=""_blank"">항공 화물 포워딩 시장 전망, 가격 전략, 업계 최신 뉴스, 최고의 회사 분석 및 지역 전망 2028</a>&nbsp;&nbsp;<font color=""#6f6f6f"">크립토프레소 Cryptopresso</font>","OrderedDict([('@url', 'https://cryptopresso.com'), ('#text', '크립토프레소 Cryptopresso')])"
"자동화 테스트 소프트웨어 시장 전망, 가격 전략, 업계 최신 뉴스, 최고의 회사 분석 및 지역 전망 2028 - 크립토프레소 Cryptopresso",https://cryptopresso.com/%EC%86%8C%EC%8B%9D/%EC%9E%90%EB%8F%99%ED%99%94-%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EA%B0%80%EA%B2%A9-%EC%A0%84%EB%9E%B5-%EC%97%85%EA%B3%84/304082/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMi-AFodHRwczovL2NyeXB0b3ByZXNzby5jb20vJUVDJTg2JThDJUVDJThCJTlELyVFQyU5RSU5MCVFQiU4RiU5OSVFRCU5OSU5NC0lRUQlODUlOEMlRUMlOEElQTQlRUQlOEElQjgtJUVDJTg2JThDJUVEJTk0JTg0JUVEJThBJUI4JUVDJTlCJUE4JUVDJTk2JUI0LSVFQyU4QiU5QyVFQyU5RSVBNS0lRUMlQTAlODQlRUIlQTclOUQtJUVBJUIwJTgwJUVBJUIyJUE5LSVFQyVBMCU4NCVFQiU5RSVCNS0lRUMlOTclODUlRUElQjMlODQvMzA0MDgyL9IBAA')])","Tue, 29 Mar 2022 12:37:05 GMT","<a href=""https://cryptopresso.com/%EC%86%8C%EC%8B%9D/%EC%9E%90%EB%8F%99%ED%99%94-%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EA%B0%80%EA%B2%A9-%EC%A0%84%EB%9E%B5-%EC%97%85%EA%B3%84/304082/"" target=""_blank"">자동화 테스트 소프트웨어 시장 전망, 가격 전략, 업계 최신 뉴스, 최고의 회사 분석 및 지역 전망 2028</a>&nbsp;&nbsp;<font color=""#6f6f6f"">크립토프레소 Cryptopresso</font>","OrderedDict([('@url', 'https://cryptopresso.com'), ('#text', '크립토프레소 Cryptopresso')])"
'우연히 봄'→'봄이오는 날'...뮤직카우서 '제2의 벚꽃연금' 노리는 곡은? - YTN star,https://star.ytn.co.kr/_sn/0117_202203291039035211,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiMmh0dHBzOi8vc3Rhci55dG4uY28ua3IvX3NuLzAxMTdfMjAyMjAzMjkxMDM5MDM1MjEx0gEA')])","Tue, 29 Mar 2022 01:39:00 GMT","<a href=""https://star.ytn.co.kr/_sn/0117_202203291039035211"" target=""_blank"">'우연히 봄'→'봄이오는 날'...뮤직카우서 '제2의 벚꽃연금' 노리는 곡은?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">YTN star</font>","OrderedDict([('@url', 'https://star.ytn.co.kr'), ('#text', 'YTN star')])"
"진행성 핵상 마비 시장 전망, 가격 전략, 업계 최신 뉴스, 최고의 회사 분석 및 지역 전망 2028 - 크립토프레소 Cryptopresso",https://cryptopresso.com/%EC%86%8C%EC%8B%9D/%EC%A7%84%ED%96%89%EC%84%B1-%ED%95%B5%EC%83%81-%EB%A7%88%EB%B9%84-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EA%B0%80%EA%B2%A9-%EC%A0%84%EB%9E%B5-%EC%97%85%EA%B3%84-%EC%B5%9C%EC%8B%A0-%EB%89%B4%EC%8A%A4/298840/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMi-gFodHRwczovL2NyeXB0b3ByZXNzby5jb20vJUVDJTg2JThDJUVDJThCJTlELyVFQyVBNyU4NCVFRCU5NiU4OSVFQyU4NCVCMS0lRUQlOTUlQjUlRUMlODMlODEtJUVCJUE3JTg4JUVCJUI5JTg0LSVFQyU4QiU5QyVFQyU5RSVBNS0lRUMlQTAlODQlRUIlQTclOUQtJUVBJUIwJTgwJUVBJUIyJUE5LSVFQyVBMCU4NCVFQiU5RSVCNS0lRUMlOTclODUlRUElQjMlODQtJUVDJUI1JTlDJUVDJThCJUEwLSVFQiU4OSVCNCVFQyU4QSVBNC8yOTg4NDAv0gEA')])","Mon, 28 Mar 2022 11:00:30 GMT","<a href=""https://cryptopresso.com/%EC%86%8C%EC%8B%9D/%EC%A7%84%ED%96%89%EC%84%B1-%ED%95%B5%EC%83%81-%EB%A7%88%EB%B9%84-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EA%B0%80%EA%B2%A9-%EC%A0%84%EB%9E%B5-%EC%97%85%EA%B3%84-%EC%B5%9C%EC%8B%A0-%EB%89%B4%EC%8A%A4/298840/"" target=""_blank"">진행성 핵상 마비 시장 전망, 가격 전략, 업계 최신 뉴스, 최고의 회사 분석 및 지역 전망 2028</a>&nbsp;&nbsp;<font color=""#6f6f6f"">크립토프레소 Cryptopresso</font>","OrderedDict([('@url', 'https://cryptopresso.com'), ('#text', '크립토프레소 Cryptopresso')])"
"오라클, 최신 업데이트 포함된 '자바18' 발표 - IT Daily",http://www.itdaily.kr/news/articleView.html?idxno=207237,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOGh0dHA6Ly93d3cuaXRkYWlseS5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MjA3MjM30gEA')])","Tue, 29 Mar 2022 08:37:15 GMT","<a href=""http://www.itdaily.kr/news/articleView.html?idxno=207237"" target=""_blank"">오라클, 최신 업데이트 포함된 '자바18' 발표</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IT Daily</font>","OrderedDict([('@url', 'http://www.itdaily.kr'), ('#text', 'IT Daily')])"
"최성환 SK네트웍스 사업총괄, 이변없이 사내이사 선임 - 이코노믹리뷰",http://www.econovill.com/news/articleView.html?idxno=570366,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHA6Ly93d3cuZWNvbm92aWxsLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NTcwMzY20gEA')])","Tue, 29 Mar 2022 10:01:52 GMT","<a href=""http://www.econovill.com/news/articleView.html?idxno=570366"" target=""_blank"">최성환 SK네트웍스 사업총괄, 이변없이 사내이사 선임</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이코노믹리뷰</font>","OrderedDict([('@url', 'http://www.econovill.com'), ('#text', '이코노믹리뷰')])"
"종영 앞둔 ‘스물다섯 스물하나’ 김태리, 촬영 비하인드 사진 공개 - YTN star",https://star.ytn.co.kr/_sn/0117_202203290907153643,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiMmh0dHBzOi8vc3Rhci55dG4uY28ua3IvX3NuLzAxMTdfMjAyMjAzMjkwOTA3MTUzNjQz0gFDaHR0cHM6Ly9tLnl0bi5jby5rci9uZXdzX3ZpZXcuYW1wLnBocD9wYXJhbT0wMTE3XzIwMjIwMzI5MDkwNzE1MzY0Mw')])","Tue, 29 Mar 2022 00:07:00 GMT","<a href=""https://star.ytn.co.kr/_sn/0117_202203290907153643"" target=""_blank"">종영 앞둔 ‘스물다섯 스물하나’ 김태리, 촬영 비하인드 사진 공개</a>&nbsp;&nbsp;<font color=""#6f6f6f"">YTN star</font>","OrderedDict([('@url', 'https://star.ytn.co.kr'), ('#text', 'YTN star')])"
"카메라 핸들 시장 전망, 가격 전략, 업계 최신 뉴스, 최고의 회사 분석 및 지역 전망 2028 - 1인방송국 (주) 코난방송 CIBS",https://icibs.org/news/1117199/%EC%B9%B4%EB%A9%94%EB%9D%BC-%ED%95%B8%EB%93%A4-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EA%B0%80%EA%B2%A9-%EC%A0%84%EB%9E%B5-%EC%97%85%EA%B3%84-%EC%B5%9C%EC%8B%A0-%EB%89%B4%EC%8A%A4-%EC%B5%9C/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMi3QFodHRwczovL2ljaWJzLm9yZy9uZXdzLzExMTcxOTkvJUVDJUI5JUI0JUVCJUE5JTk0JUVCJTlEJUJDLSVFRCU5NSVCOCVFQiU5MyVBNC0lRUMlOEIlOUMlRUMlOUUlQTUtJUVDJUEwJTg0JUVCJUE3JTlELSVFQSVCMCU4MCVFQSVCMiVBOS0lRUMlQTAlODQlRUIlOUUlQjUtJUVDJTk3JTg1JUVBJUIzJTg0LSVFQyVCNSU5QyVFQyU4QiVBMC0lRUIlODklQjQlRUMlOEElQTQtJUVDJUI1JTlDL9IBAA')])","Tue, 29 Mar 2022 12:33:32 GMT","<a href=""https://icibs.org/news/1117199/%EC%B9%B4%EB%A9%94%EB%9D%BC-%ED%95%B8%EB%93%A4-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EA%B0%80%EA%B2%A9-%EC%A0%84%EB%9E%B5-%EC%97%85%EA%B3%84-%EC%B5%9C%EC%8B%A0-%EB%89%B4%EC%8A%A4-%EC%B5%9C/"" target=""_blank"">카메라 핸들 시장 전망, 가격 전략, 업계 최신 뉴스, 최고의 회사 분석 및 지역 전망 2028</a>&nbsp;&nbsp;<font color=""#6f6f6f"">1인방송국 (주) 코난방송 CIBS</font>","OrderedDict([('@url', 'https://icibs.org'), ('#text', '1인방송국 (주) 코난방송 CIBS')])"
[뉴스줌인] 최신 영화 200% 즐길 수 있는 '돌비 시네마'란? - IT동아,https://it.donga.com/101836/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiHGh0dHBzOi8vaXQuZG9uZ2EuY29tLzEwMTgzNi_SAQA')])","Wed, 02 Mar 2022 08:00:00 GMT","<a href=""https://it.donga.com/101836/"" target=""_blank"">[뉴스줌인] 최신 영화 200% 즐길 수 있는 '돌비 시네마'란?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IT동아</font>","OrderedDict([('@url', 'https://it.donga.com'), ('#text', 'IT동아')])"
