title,link,guid,pubDate,description,source
"비트코인 판 흔든 테라, 누구? < IT/스타트업 < IT/게임 < 기사본문 - 이코노믹리뷰",http://www.econovill.com/news/articleView.html?idxno=570294,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHA6Ly93d3cuZWNvbm92aWxsLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NTcwMjk00gEA')])","Tue, 29 Mar 2022 02:15:44 GMT","<a href=""http://www.econovill.com/news/articleView.html?idxno=570294"" target=""_blank"">비트코인 판 흔든 테라, 누구? < IT/스타트업 < IT/게임 < 기사본문</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이코노믹리뷰</font>","OrderedDict([('@url', 'http://www.econovill.com'), ('#text', '이코노믹리뷰')])"
"윤호중의 서울시장 판 키우기? ""송영길만 대안 아냐...거물 몇 명 더 있어"" - 한국일보",https://www.hankookilbo.com/News/Read/A2022032914020002030,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEErTKonKeA005ERLmP7RSPoqGQgEKhAIACoHCAow5vj6CjDa1PICMJav1QU')])","Tue, 29 Mar 2022 07:00:00 GMT","<a href=""https://www.hankookilbo.com/News/Read/A2022032914020002030"" target=""_blank"">윤호중의 서울시장 판 키우기? ""송영길만 대안 아냐...거물 몇 명 더 있어""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국일보</font>","OrderedDict([('@url', 'https://www.hankookilbo.com'), ('#text', '한국일보')])"
"‘판페라 개척’ 오지윤 명창, 내달 7일 ‘삶의 소리’ 콘서트 - 게임동아",https://www.donga.com/news/Culture/article/all/20220329/112585522/1,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQ2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL0N1bHR1cmUvYXJ0aWNsZS9hbGwvMjAyMjAzMjkvMTEyNTg1NTIyLzHSATdodHRwczovL3d3dy5kb25nYS5jb20vbmV3cy9hbXAvYWxsLzIwMjIwMzI5LzExMjU4NTUyMi8x')])","Tue, 29 Mar 2022 02:30:00 GMT","<a href=""https://www.donga.com/news/Culture/article/all/20220329/112585522/1"" target=""_blank"">‘판페라 개척’ 오지윤 명창, 내달 7일 ‘삶의 소리’ 콘서트</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font>","OrderedDict([('@url', 'https://www.donga.com'), ('#text', '게임동아')])"
"'맨유 선배' 판 할의 충고 ""텐 하흐, 맨유 가지마!"" - 조선일보 - The Chosunilbo",https://www.chosun.com/sports/sports_photo/2022/03/28/HIT4OV3CPWQ34GJ5HCJLVDB3ZU/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiUWh0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BvcnRzL3Nwb3J0c19waG90by8yMDIyLzAzLzI4L0hJVDRPVjNDUFdRMzRHSjVIQ0pMVkRCM1pVL9IBYGh0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BvcnRzL3Nwb3J0c19waG90by8yMDIyLzAzLzI4L0hJVDRPVjNDUFdRMzRHSjVIQ0pMVkRCM1pVLz9vdXRwdXRUeXBlPWFtcA')])","Mon, 28 Mar 2022 14:18:00 GMT","<a href=""https://www.chosun.com/sports/sports_photo/2022/03/28/HIT4OV3CPWQ34GJ5HCJLVDB3ZU/"" target=""_blank"">'맨유 선배' 판 할의 충고 ""텐 하흐, 맨유 가지마!"" - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"경북도, 울진 산불피해 농가돕기 판촉진 - 한국농어민신문",http://www.agrinet.co.kr/news/articleView.html?idxno=308197,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHA6Ly93d3cuYWdyaW5ldC5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MzA4MTk30gEA')])","Tue, 29 Mar 2022 09:37:43 GMT","<a href=""http://www.agrinet.co.kr/news/articleView.html?idxno=308197"" target=""_blank"">경북도, 울진 산불피해 농가돕기 판촉진</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국농어민신문</font>","OrderedDict([('@url', 'http://www.agrinet.co.kr'), ('#text', '한국농어민신문')])"
"뉴스 스트리밍 CNN+ 런칭, ‘뉴스판 오징어게임’ 나올까 - 미디어오늘",http://www.mediatoday.co.kr/news/articleView.html?idxno=303211,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiENCuv48wdF_fcN12rC7-csAqGQgEKhAIACoHCAowp4_cCjDBrM0BMOGCtQM')])","Tue, 29 Mar 2022 04:54:11 GMT","<a href=""http://www.mediatoday.co.kr/news/articleView.html?idxno=303211"" target=""_blank"">뉴스 스트리밍 CNN+ 런칭, ‘뉴스판 오징어게임’ 나올까</a>&nbsp;&nbsp;<font color=""#6f6f6f"">미디어오늘</font>","OrderedDict([('@url', 'http://www.mediatoday.co.kr'), ('#text', '미디어오늘')])"
'머리 감으면 흰 머리 염색'…식약처 제동에도 결국 판 커졌다 - 한국경제,https://www.hankyung.com/economy/article/202203298766g,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiECEntHZGZLC5SnLL_8YiwRMqGQgEKhAIACoHCAow0__cCjDUitABMMveiQI')])","Tue, 29 Mar 2022 12:00:01 GMT","<a href=""https://www.hankyung.com/economy/article/202203298766g"" target=""_blank"">'머리 감으면 흰 머리 염색'…식약처 제동에도 결국 판 커졌다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font>","OrderedDict([('@url', 'https://www.hankyung.com'), ('#text', '한국경제')])"
반 다이크에게 일침 가한 판 할 “전술은 감독이 결정한다” - Goal.com,https://www.goal.com/kr/%EB%89%B4%EC%8A%A4/%E1%84%87%E1%85%A1%E1%86%AB-%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3%E1%84%8B%E1%85%A6%E1%84%80%E1%85%A6-%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%8E%E1%85%B5%E1%86%B7-%E1%84%80%E1%85%A1%E1%84%92%E1%85%A1%E1%86%AB-%E1%84%91%E1%85%A1%E1%86%AB-%E1%84%92%E1%85%A1%E1%86%AF-%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B3%E1%86%AB-%E1%84%80%E1%85%A1%E1%86%B7%E1%84%83%E1%85%A9%E1%86%A8%E1%84%8B%E1%85%B5/blt511bf04ecb608958,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMi7QNodHRwczovL3d3dy5nb2FsLmNvbS9rci8lRUIlODklQjQlRUMlOEElQTQvJUUxJTg0JTg3JUUxJTg1JUExJUUxJTg2JUFCLSVFMSU4NCU4MyVFMSU4NSVBMSVFMSU4NCU4QiVFMSU4NSVCNSVFMSU4NCU4RiVFMSU4NSVCMyVFMSU4NCU4QiVFMSU4NSVBNiVFMSU4NCU4MCVFMSU4NSVBNi0lRTElODQlOEIlRTElODUlQjUlRTElODYlQUYlRTElODQlOEUlRTElODUlQjUlRTElODYlQjctJUUxJTg0JTgwJUUxJTg1JUExJUUxJTg0JTkyJUUxJTg1JUExJUUxJTg2JUFCLSVFMSU4NCU5MSVFMSU4NSVBMSVFMSU4NiVBQi0lRTElODQlOTIlRTElODUlQTElRTElODYlQUYtJUUxJTg0JThDJUUxJTg1JUE1JUUxJTg2JUFCJUUxJTg0JTg5JUUxJTg1JUFFJUUxJTg2JUFGJUUxJTg0JThCJUUxJTg1JUIzJUUxJTg2JUFCLSVFMSU4NCU4MCVFMSU4NSVBMSVFMSU4NiVCNyVFMSU4NCU4MyVFMSU4NSVBOSVFMSU4NiVBOCVFMSU4NCU4QiVFMSU4NSVCNS9ibHQ1MTFiZjA0ZWNiNjA4OTU40gHxA2h0dHBzOi8vd3d3LmdvYWwuY29tL2tyL2FtcC8lRUIlODklQjQlRUMlOEElQTQvJUUxJTg0JTg3JUUxJTg1JUExJUUxJTg2JUFCLSVFMSU4NCU4MyVFMSU4NSVBMSVFMSU4NCU4QiVFMSU4NSVCNSVFMSU4NCU4RiVFMSU4NSVCMyVFMSU4NCU4QiVFMSU4NSVBNiVFMSU4NCU4MCVFMSU4NSVBNi0lRTElODQlOEIlRTElODUlQjUlRTElODYlQUYlRTElODQlOEUlRTElODUlQjUlRTElODYlQjctJUUxJTg0JTgwJUUxJTg1JUExJUUxJTg0JTkyJUUxJTg1JUExJUUxJTg2JUFCLSVFMSU4NCU5MSVFMSU4NSVBMSVFMSU4NiVBQi0lRTElODQlOTIlRTElODUlQTElRTElODYlQUYtJUUxJTg0JThDJUUxJTg1JUE1JUUxJTg2JUFCJUUxJTg0JTg5JUUxJTg1JUFFJUUxJTg2JUFGJUUxJTg0JThCJUUxJTg1JUIzJUUxJTg2JUFCLSVFMSU4NCU4MCVFMSU4NSVBMSVFMSU4NiVCNyVFMSU4NCU4MyVFMSU4NSVBOSVFMSU4NiVBOCVFMSU4NCU4QiVFMSU4NSVCNS9ibHQ1MTFiZjA0ZWNiNjA4OTU4')])","Mon, 28 Mar 2022 16:26:28 GMT","<a href=""https://www.goal.com/kr/%EB%89%B4%EC%8A%A4/%E1%84%87%E1%85%A1%E1%86%AB-%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3%E1%84%8B%E1%85%A6%E1%84%80%E1%85%A6-%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%8E%E1%85%B5%E1%86%B7-%E1%84%80%E1%85%A1%E1%84%92%E1%85%A1%E1%86%AB-%E1%84%91%E1%85%A1%E1%86%AB-%E1%84%92%E1%85%A1%E1%86%AF-%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B3%E1%86%AB-%E1%84%80%E1%85%A1%E1%86%B7%E1%84%83%E1%85%A9%E1%86%A8%E1%84%8B%E1%85%B5/blt511bf04ecb608958"" target=""_blank"">반 다이크에게 일침 가한 판 할 “전술은 감독이 결정한다”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Goal.com</font>","OrderedDict([('@url', 'https://www.goal.com'), ('#text', 'Goal.com')])"
[단독] 댄서판 '비긴어게인' 나온다…아이키·리아킴·리정 등 뉴욕 촬영 - 조선비즈 - 조선비즈,https://biz.chosun.com/entertainment/tv/2022/03/29/F6SPAGSQNQX52IL26A3EYU77P4/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiTmh0dHBzOi8vYml6LmNob3N1bi5jb20vZW50ZXJ0YWlubWVudC90di8yMDIyLzAzLzI5L0Y2U1BBR1NRTlFYNTJJTDI2QTNFWVU3N1A0L9IBXWh0dHBzOi8vYml6LmNob3N1bi5jb20vZW50ZXJ0YWlubWVudC90di8yMDIyLzAzLzI5L0Y2U1BBR1NRTlFYNTJJTDI2QTNFWVU3N1A0Lz9vdXRwdXRUeXBlPWFtcA')])","Tue, 29 Mar 2022 06:13:00 GMT","<a href=""https://biz.chosun.com/entertainment/tv/2022/03/29/F6SPAGSQNQX52IL26A3EYU77P4/"" target=""_blank"">[단독] 댄서판 '비긴어게인' 나온다…아이키·리아킴·리정 등 뉴욕 촬영 - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font>","OrderedDict([('@url', 'https://biz.chosun.com'), ('#text', '조선비즈')])"
"아워홈, 요리에 진심인...'판아워홈-마스터즈 1기' 모집 - 조세일보",http://www.joseilbo.com/news/htmls/2022/03/20220329450302.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPmh0dHA6Ly93d3cuam9zZWlsYm8uY29tL25ld3MvaHRtbHMvMjAyMi8wMy8yMDIyMDMyOTQ1MDMwMi5odG1s0gEA')])","Tue, 29 Mar 2022 07:22:21 GMT","<a href=""http://www.joseilbo.com/news/htmls/2022/03/20220329450302.html"" target=""_blank"">아워홈, 요리에 진심인...'판아워홈-마스터즈 1기' 모집</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조세일보</font>","OrderedDict([('@url', 'http://www.joseilbo.com'), ('#text', '조세일보')])"
