title,link,guid,pubDate,description,source
"'미스트롯' 선후배 홍자vs양지은, 시즌 명예 건 빅매치 - 여성조선",http://woman.chosun.com/news/articleView.html?idxno=96345,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1357315449')])","Tue, 29 Mar 2022 04:52:19 GMT","<ol><li><a href=""http://woman.chosun.com/news/articleView.html?idxno=96345"" target=""_blank"">'미스트롯' 선후배 홍자vs양지은, 시즌 명예 건 빅매치</a>&nbsp;&nbsp;<font color=""#6f6f6f"">여성조선</font></li><li><a href=""https://www.gukjenews.com/news/articleView.html?idxno=2436355"" target=""_blank"">'화요일은 밤이 좋아' 미스트롯 홍자VS양지은 맞대결 예고...나이 프로필 화제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">국제뉴스</font></li><li><a href=""http://enter.etoday.co.kr/view/news_view.php?varAtcId=222352"" target=""_blank"">김용임ㆍ홍자ㆍ김나희ㆍ김다나ㆍ류원정ㆍ조정민, 나이 초월 승부욕 '화밤' 전유진ㆍ양지은ㆍ홍지윤 등과 맞대결</a>&nbsp;&nbsp;<font color=""#6f6f6f"">비즈엔터</font></li><li><a href=""http://www.slist.kr/news/articleView.html?idxno=342248"" target=""_blank"">조정민VS별사랑⟶별사랑 ‘비나리’ 승...홍자 기립박수</a>&nbsp;&nbsp;<font color=""#6f6f6f"">싱글리스트</font></li><li><a href=""http://m.theceluv.com/article.php?aid=1648558800417731010"" target=""_blank"">'화밤' 홍자 vs 양지은 '미스트롯' 시즌 명예 건 빅매치 결과는</a>&nbsp;&nbsp;<font color=""#6f6f6f"">더셀럽</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o1LXB1SEJSR3JSQTZ6bE0tRjNpZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'http://woman.chosun.com'), ('#text', '여성조선')])"
"`주접이 풍년` 홍자, 팬사랑 장인 등극…데뷔 10주년 깜짝 이벤트 `감동` - 매일경제",https://www.mk.co.kr/star/broadcasting-service/view/2022/03/271161/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQ2h0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvYnJvYWRjYXN0aW5nLXNlcnZpY2Uvdmlldy8yMDIyLzAzLzI3MTE2MS_SAUVodHRwczovL20ubWsuY28ua3Ivc3Rhci9icm9hZGNhc3Rpbmctc2VydmljZS92aWV3LWFtcC8yMDIyLzAzLzI3MTE2MS8')])","Fri, 25 Mar 2022 00:04:28 GMT","<a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/271161/"" target=""_blank"">`주접이 풍년` 홍자, 팬사랑 장인 등극…데뷔 10주년 깜짝 이벤트 `감동`</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"가수 홍자 나이 들수록 느끼는 엄마의 사랑 ""무명시절 엄마가 출연료 몰래 입금"" - 비즈엔터",http://enter.etoday.co.kr/view/news_view.php?varAtcId=221345,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPGh0dHA6Ly9lbnRlci5ldG9kYXkuY28ua3Ivdmlldy9uZXdzX3ZpZXcucGhwP3ZhckF0Y0lkPTIyMTM0NdIBAA')])","Sat, 12 Mar 2022 08:00:00 GMT","<a href=""http://enter.etoday.co.kr/view/news_view.php?varAtcId=221345"" target=""_blank"">가수 홍자 나이 들수록 느끼는 엄마의 사랑 ""무명시절 엄마가 출연료 몰래 입금""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">비즈엔터</font>","OrderedDict([('@url', 'http://enter.etoday.co.kr'), ('#text', '비즈엔터')])"
"“뇌수막염 투병”…홍자, 여동생 향한 애틋한 감정? - 이은혜 기자 - 방탄소년단 (BTS) TOPSTARNEWS(톱스타뉴스)",http://www.topstarnews.net/news/articleView.html?idxno=14677256,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiP2h0dHA6Ly93d3cudG9wc3Rhcm5ld3MubmV0L25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xNDY3NzI1NtIBAA')])","Sun, 13 Mar 2022 08:00:00 GMT","<a href=""http://www.topstarnews.net/news/articleView.html?idxno=14677256"" target=""_blank"">“뇌수막염 투병”…홍자, 여동생 향한 애틋한 감정? - 이은혜 기자</a>&nbsp;&nbsp;<font color=""#6f6f6f"">방탄소년단 (BTS) TOPSTARNEWS(톱스타뉴스)</font>","OrderedDict([('@url', 'http://www.topstarnews.net'), ('#text', '방탄소년단 (BTS) TOPSTARNEWS(톱스타뉴스)')])"
"임영웅, 트로트 가수 브랜드평판 1위…2위 박군·3위 이찬원 - 매일경제",https://www.mk.co.kr/star/hot-issues/view/2022/03/276680/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvaG90LWlzc3Vlcy92aWV3LzIwMjIvMDMvMjc2NjgwL9IBO2h0dHBzOi8vbS5tay5jby5rci9zdGFyL2hvdC1pc3N1ZXMvdmlldy1hbXAvMjAyMi8wMy8yNzY2ODAv')])","Sun, 27 Mar 2022 10:31:52 GMT","<a href=""https://www.mk.co.kr/star/hot-issues/view/2022/03/276680/"" target=""_blank"">임영웅, 트로트 가수 브랜드평판 1위…2위 박군·3위 이찬원</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"[인터뷰②]홍자 ""데뷔 10주년 감개무량…진심으로 노래할래요"" - 매일경제",https://www.mk.co.kr/star/musics/view/2022/02/162963/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvbXVzaWNzL3ZpZXcvMjAyMi8wMi8xNjI5NjMv0gE3aHR0cHM6Ly9tLm1rLmNvLmtyL3N0YXIvbXVzaWNzL3ZpZXctYW1wLzIwMjIvMDIvMTYyOTYzLw')])","Mon, 21 Feb 2022 08:00:00 GMT","<a href=""https://www.mk.co.kr/star/musics/view/2022/02/162963/"" target=""_blank"">[인터뷰②]홍자 ""데뷔 10주년 감개무량…진심으로 노래할래요""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"송가인, 트롯스타 30주 연속 1위… 2위 전유진‧3위 홍자 - 코리아데일리",http://www.ikoreadaily.co.kr/news/articleView.html?idxno=800474,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiP2h0dHA6Ly93d3cuaWtvcmVhZGFpbHkuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTgwMDQ3NNIBAA')])","Fri, 11 Mar 2022 08:00:00 GMT","<a href=""http://www.ikoreadaily.co.kr/news/articleView.html?idxno=800474"" target=""_blank"">송가인, 트롯스타 30주 연속 1위… 2위 전유진‧3위 홍자</a>&nbsp;&nbsp;<font color=""#6f6f6f"">코리아데일리</font>","OrderedDict([('@url', 'http://www.ikoreadaily.co.kr'), ('#text', '코리아데일리')])"
"홍자, 1월 26일 신곡 화양연화 발매 확정 - 아주경제",https://www.ajunews.com/view/20220118084026596,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiLmh0dHBzOi8vd3d3LmFqdW5ld3MuY29tL3ZpZXcvMjAyMjAxMTgwODQwMjY1OTbSAStodHRwczovL20uYWp1bmV3cy5jb20vYW1wLzIwMjIwMTE4MDg0MDI2NTk2')])","Tue, 18 Jan 2022 08:00:00 GMT","<a href=""https://www.ajunews.com/view/20220118084026596"" target=""_blank"">홍자, 1월 26일 신곡 화양연화 발매 확정</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아주경제</font>","OrderedDict([('@url', 'https://www.ajunews.com'), ('#text', '아주경제')])"
'푹 우려낸 곰탕 목소리' 가수 홍자 오늘 데뷔 10년...'홍자옵서예'로 라이브방송 - 뉴스핌,https://m.newspim.com/news/view/20220112000340,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiLmh0dHBzOi8vbS5uZXdzcGltLmNvbS9uZXdzL3ZpZXcvMjAyMjAxMTIwMDAzNDDSATFodHRwczovL20ubmV3c3BpbS5jb20vbmV3c2FtcC92aWV3LzIwMjIwMTEyMDAwMzQw')])","Wed, 12 Jan 2022 08:00:00 GMT","<a href=""https://m.newspim.com/news/view/20220112000340"" target=""_blank"">'푹 우려낸 곰탕 목소리' 가수 홍자 오늘 데뷔 10년...'홍자옵서예'로 라이브방송</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스핌</font>","OrderedDict([('@url', 'https://m.newspim.com'), ('#text', '뉴스핌')])"
"홍자 ""술잔에는 희로애락 담겨…마음을 정화하는 노래 되길"" - 연합뉴스",https://www.yna.co.kr/view/AKR20210429155700005,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjEwNDI5MTU1NzAwMDA10gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIxMDQyOTE1NTcwMDAwNQ')])","Thu, 29 Apr 2021 07:00:00 GMT","<a href=""https://www.yna.co.kr/view/AKR20210429155700005"" target=""_blank"">홍자 ""술잔에는 희로애락 담겨…마음을 정화하는 노래 되길""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>","OrderedDict([('@url', 'https://www.yna.co.kr'), ('#text', '연합뉴스')])"
나태주 “휴 잭맨과 영화 촬영? 사실이다” (화밤) - iMBC연예,http://enews.imbc.com/News/RetrieveNewsInfo/342438,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiMmh0dHA6Ly9lbmV3cy5pbWJjLmNvbS9OZXdzL1JldHJpZXZlTmV3c0luZm8vMzQyNDM40gEA')])","Tue, 29 Mar 2022 14:57:00 GMT","<a href=""http://enews.imbc.com/News/RetrieveNewsInfo/342438"" target=""_blank"">나태주 “휴 잭맨과 영화 촬영? 사실이다” (화밤)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">iMBC연예</font>","OrderedDict([('@url', 'http://enews.imbc.com'), ('#text', 'iMBC연예')])"
