title,link,guid,pubDate,description,source
"방탄소년단 제이홉, 코로나19 완치→격리 해제…""절차 맞춰 금방 합류할게요""(전문) | 방송 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220330n00410,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzMwbjAwNDEw0gEA')])","Tue, 29 Mar 2022 15:37:00 GMT","<a href=""https://news.nate.com/view/20220330n00410"" target=""_blank"">방탄소년단 제이홉, 코로나19 완치→격리 해제…""절차 맞춰 금방 합류할게요""(전문) | 방송 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"못 알아볼 정도로 달라진 대성, 탑은 언제 공개 되나요? | 연예가화제 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220328n04504,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI4bjA0NTA00gEA')])","Sun, 27 Mar 2022 22:58:00 GMT","<a href=""https://news.nate.com/view/20220328n04504"" target=""_blank"">못 알아볼 정도로 달라진 대성, 탑은 언제 공개 되나요? | 연예가화제 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"""호텔서 사랑 나누는데 외부인 불쑥…보상으로 콜라 한 캔 받았다"" - 네이트 뉴스",https://news.nate.com/view/20220329n12632,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjEyNjMy0gEA')])","Tue, 29 Mar 2022 01:46:00 GMT","<a href=""https://news.nate.com/view/20220329n12632"" target=""_blank"">""호텔서 사랑 나누는데 외부인 불쑥…보상으로 콜라 한 캔 받았다""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"한국 우크라 의용군 ""히어로 판타지물 아냐, 더는 지원 말라"" - 네이트 뉴스",https://news.nate.com/view/20220329n00603,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjAwNjAz0gEA')])","Mon, 28 Mar 2022 16:19:00 GMT","<a href=""https://news.nate.com/view/20220329n00603"" target=""_blank"">한국 우크라 의용군 ""히어로 판타지물 아냐, 더는 지원 말라""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"[단독] ""시신 계속 받아 상온 부패…냄새 지우려 탈취제"" - 네이트 뉴스",https://news.nate.com/view/20220329n38110,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjM4MTEw0gEA')])","Tue, 29 Mar 2022 11:29:00 GMT","<a href=""https://news.nate.com/view/20220329n38110"" target=""_blank"">[단독] ""시신 계속 받아 상온 부패…냄새 지우려 탈취제""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
세상에서 가장 끔찍한 '3D'…그곳에선 고문·성폭행 판쳤다 - 네이트 뉴스,https://news.nate.com/view/20220329n31937,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjMxOTM30gEA')])","Tue, 29 Mar 2022 07:57:00 GMT","<a href=""https://news.nate.com/view/20220329n31937"" target=""_blank"">세상에서 가장 끔찍한 '3D'…그곳에선 고문·성폭행 판쳤다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"""아기부터 구해야 해"" 청주 산부인과 화재 다급했던 5분 - 네이트 뉴스",https://news.nate.com/view/20220329n33878,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjMzODc40gEA')])","Tue, 29 Mar 2022 08:40:00 GMT","<a href=""https://news.nate.com/view/20220329n33878"" target=""_blank"">""아기부터 구해야 해"" 청주 산부인과 화재 다급했던 5분</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"최태준, 임신 중인 박신혜와 카페 데이트? 캠핑 분위기 물씬 | 방송 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220329n30967,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjMwOTY30gEA')])","Tue, 29 Mar 2022 07:38:00 GMT","<a href=""https://news.nate.com/view/20220329n30967"" target=""_blank"">최태준, 임신 중인 박신혜와 카페 데이트? 캠핑 분위기 물씬 | 방송 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
"""김정숙 여사님 사랑합니다"" '옷값 논란' 속 靑청원 등장 - 네이트 뉴스",https://news.nate.com/view/20220329n22075,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjIyMDc10gEA')])","Tue, 29 Mar 2022 05:11:00 GMT","<a href=""https://news.nate.com/view/20220329n22075"" target=""_blank"">""김정숙 여사님 사랑합니다"" '옷값 논란' 속 靑청원 등장</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
체지방 태우는 뜻밖의 음식 5 - 네이트 뉴스,https://news.nate.com/view/20220329n24910,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjI0OTEw0gEA')])","Tue, 29 Mar 2022 06:01:00 GMT","<a href=""https://news.nate.com/view/20220329n24910"" target=""_blank"">체지방 태우는 뜻밖의 음식 5</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
