sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,date
7:28:45 AM,5:13:58 PM,12:21:22 PM,09:45:13,7:01:31 AM,5:41:12 PM,6:29:13 AM,6:13:31 PM,5:57:46 AM,6:44:57 PM,2021-01-01
7:28:53 AM,5:14:46 PM,12:21:50 PM,09:45:53,7:01:41 AM,5:41:58 PM,6:29:24 AM,6:14:15 PM,5:57:59 AM,6:45:40 PM,2021-01-02
7:29:00 AM,5:15:35 PM,12:22:17 PM,09:46:35,7:01:49 AM,5:42:45 PM,6:29:34 AM,6:15:01 PM,5:58:10 AM,6:46:24 PM,2021-01-03
7:29:04 AM,5:16:25 PM,12:22:44 PM,09:47:21,7:01:55 AM,5:43:34 PM,6:29:42 AM,6:15:47 PM,5:58:20 AM,6:47:09 PM,2021-01-04
7:29:06 AM,5:17:16 PM,12:23:11 PM,09:48:10,7:02:00 AM,5:44:23 PM,6:29:48 AM,6:16:34 PM,5:58:27 AM,6:47:55 PM,2021-01-05
7:29:07 AM,5:18:08 PM,12:23:38 PM,09:49:01,7:02:02 AM,5:45:13 PM,6:29:53 AM,6:17:22 PM,5:58:33 AM,6:48:42 PM,2021-01-06
7:29:05 AM,5:19:02 PM,12:24:03 PM,09:49:57,7:02:03 AM,5:46:04 PM,6:29:55 AM,6:18:12 PM,5:58:38 AM,6:49:29 PM,2021-01-07
7:29:02 AM,5:19:56 PM,12:24:29 PM,09:50:54,7:02:01 AM,5:46:56 PM,6:29:56 AM,6:19:01 PM,5:58:40 AM,6:50:18 PM,2021-01-08
7:28:56 AM,5:20:51 PM,12:24:54 PM,09:51:55,7:01:58 AM,5:47:49 PM,6:29:55 AM,6:19:52 PM,5:58:41 AM,6:51:06 PM,2021-01-09
7:28:48 AM,5:21:48 PM,12:25:18 PM,09:53:00,7:01:53 AM,5:48:43 PM,6:29:53 AM,6:20:43 PM,5:58:40 AM,6:51:56 PM,2021-01-10
7:28:39 AM,5:22:45 PM,12:25:42 PM,09:54:06,7:01:46 AM,5:49:37 PM,6:29:48 AM,6:21:35 PM,5:58:37 AM,6:52:46 PM,2021-01-11
7:28:27 AM,5:23:42 PM,12:26:05 PM,09:55:15,7:01:37 AM,5:50:32 PM,6:29:42 AM,6:22:28 PM,5:58:33 AM,6:53:37 PM,2021-01-12
7:28:13 AM,5:24:41 PM,12:26:27 PM,09:56:28,7:01:26 AM,5:51:28 PM,6:29:33 AM,6:23:21 PM,5:58:26 AM,6:54:28 PM,2021-01-13
7:27:58 AM,5:25:40 PM,12:26:49 PM,09:57:42,7:01:13 AM,5:52:25 PM,6:29:23 AM,6:24:15 PM,5:58:18 AM,6:55:20 PM,2021-01-14
7:27:40 AM,5:26:40 PM,12:27:10 PM,09:59:00,7:00:59 AM,5:53:22 PM,6:29:11 AM,6:25:09 PM,5:58:08 AM,6:56:12 PM,2021-01-15
7:27:21 AM,5:27:41 PM,12:27:31 PM,10:00:20,7:00:42 AM,5:54:19 PM,6:28:58 AM,6:26:04 PM,5:57:57 AM,6:57:05 PM,2021-01-16
7:26:59 AM,5:28:42 PM,12:27:51 PM,10:01:43,7:00:24 AM,5:55:17 PM,6:28:42 AM,6:26:59 PM,5:57:43 AM,6:57:58 PM,2021-01-17
7:26:36 AM,5:29:44 PM,12:28:10 PM,10:03:08,7:00:03 AM,5:56:16 PM,6:28:25 AM,6:27:55 PM,5:57:28 AM,6:58:51 PM,2021-01-18
7:26:10 AM,5:30:46 PM,12:28:28 PM,10:04:36,6:59:41 AM,5:57:15 PM,6:28:05 AM,6:28:51 PM,5:57:11 AM,6:59:45 PM,2021-01-19
7:25:43 AM,5:31:48 PM,12:28:46 PM,10:06:05,6:59:17 AM,5:58:14 PM,6:27:44 AM,6:29:47 PM,5:56:52 AM,7:00:39 PM,2021-01-20
7:25:14 AM,5:32:51 PM,12:29:03 PM,10:07:37,6:58:51 AM,5:59:14 PM,6:27:21 AM,6:30:44 PM,5:56:31 AM,7:01:34 PM,2021-01-21
7:24:43 AM,5:33:54 PM,12:29:19 PM,10:09:11,6:58:23 AM,6:00:14 PM,6:26:57 AM,6:31:41 PM,5:56:09 AM,7:02:28 PM,2021-01-22
7:24:10 AM,5:34:58 PM,12:29:34 PM,10:10:48,6:57:54 AM,6:01:14 PM,6:26:30 AM,6:32:38 PM,5:55:45 AM,7:03:23 PM,2021-01-23
7:23:36 AM,5:36:02 PM,12:29:49 PM,10:12:26,6:57:22 AM,6:02:15 PM,6:26:02 AM,6:33:35 PM,5:55:19 AM,7:04:18 PM,2021-01-24
7:22:59 AM,5:37:06 PM,12:30:02 PM,10:14:07,6:56:49 AM,6:03:15 PM,6:25:32 AM,6:34:33 PM,5:54:51 AM,7:05:14 PM,2021-01-25
