title,link,guid,pubDate,description,source
"""코로나로 경남 경제 고용지표 악화…취업률 낮고 실업률 증가"" - 매일경제",https://www.mk.co.kr/news/society/view/2022/03/283763/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvc29jaWV0eS92aWV3LzIwMjIvMDMvMjgzNzYzL9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL3NvY2lldHkvdmlldy1hbXAvMjAyMi8wMy8yODM3NjMv')])","Tue, 29 Mar 2022 07:08:46 GMT","<a href=""https://www.mk.co.kr/news/society/view/2022/03/283763/"" target=""_blank"">""코로나로 경남 경제 고용지표 악화…취업률 낮고 실업률 증가""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
울산 3월 소비자 경제상황 인식 '긍정 수준' 유지…지수는 하락 - 매일경제,https://www.mk.co.kr/news/economy/view/2022/03/283902/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvZWNvbm9teS92aWV3LzIwMjIvMDMvMjgzOTAyL9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL2Vjb25vbXkvdmlldy1hbXAvMjAyMi8wMy8yODM5MDIv')])","Tue, 29 Mar 2022 07:31:47 GMT","<a href=""https://www.mk.co.kr/news/economy/view/2022/03/283902/"" target=""_blank"">울산 3월 소비자 경제상황 인식 '긍정 수준' 유지…지수는 하락</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"이창용 한은총재 후보 귀국길 올라…""거시경제 안정 노력하겠다"" - 매일경제",https://www.mk.co.kr/news/economy/view/2022/03/284741/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvZWNvbm9teS92aWV3LzIwMjIvMDMvMjg0NzQxL9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL2Vjb25vbXkvdmlldy1hbXAvMjAyMi8wMy8yODQ3NDEv')])","Tue, 29 Mar 2022 16:58:52 GMT","<a href=""https://www.mk.co.kr/news/economy/view/2022/03/284741/"" target=""_blank"">이창용 한은총재 후보 귀국길 올라…""거시경제 안정 노력하겠다""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
경제 쪽 무게 실린 첫 총리 인선…“경제원팀 만들 최적임자 찾는 중” - 한겨레,https://www.hani.co.kr/arti/politics/politics_general/1036570.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9wb2xpdGljcy9wb2xpdGljc19nZW5lcmFsLzEwMzY1NzAuaHRtbNIBAA')])","Mon, 28 Mar 2022 08:33:21 GMT","<a href=""https://www.hani.co.kr/arti/politics/politics_general/1036570.html"" target=""_blank"">경제 쪽 무게 실린 첫 총리 인선…“경제원팀 만들 최적임자 찾는 중”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
"경실련 ""경제 부처 퇴직자 10명 중 8명 재취업… 관피아 우려"" - 한국일보",https://www.hankookilbo.com/News/Read/A2022032915400005267,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjIwMzI5MTU0MDAwMDUyNjfSAQA')])","Tue, 29 Mar 2022 07:20:00 GMT","<a href=""https://www.hankookilbo.com/News/Read/A2022032915400005267"" target=""_blank"">경실련 ""경제 부처 퇴직자 10명 중 8명 재취업… 관피아 우려""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국일보</font>","OrderedDict([('@url', 'https://www.hankookilbo.com'), ('#text', '한국일보')])"
"정부, IPEF 참여 “긍정 검토 중”…미국 주도 경제·안보 협력체 - 한겨레",https://www.hani.co.kr/arti/economy/global/1036623.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiN2h0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9lY29ub215L2dsb2JhbC8xMDM2NjIzLmh0bWzSAQA')])","Mon, 28 Mar 2022 23:29:09 GMT","<a href=""https://www.hani.co.kr/arti/economy/global/1036623.html"" target=""_blank"">정부, IPEF 참여 “긍정 검토 중”…미국 주도 경제·안보 협력체</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
"인수위 ""외교·경제 함께 가야…경제부총리 중심 '경제원팀'으로"" - 머니투데이",https://news.mt.co.kr/mtview.php?no=2022032916290287090,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiN2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjIwMzI5MTYyOTAyODcwOTDSAQA')])","Tue, 29 Mar 2022 08:01:32 GMT","<a href=""https://news.mt.co.kr/mtview.php?no=2022032916290287090"" target=""_blank"">인수위 ""외교·경제 함께 가야…경제부총리 중심 '경제원팀'으로""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">머니투데이</font>","OrderedDict([('@url', 'https://news.mt.co.kr'), ('#text', '머니투데이')])"
IMF “보유세 높이고 대출 조여야” 윤 주택공약과 다른 처방 - 한겨레,https://www.hani.co.kr/arti/economy/economy_general/1036753.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQGh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9lY29ub215L2Vjb25vbXlfZ2VuZXJhbC8xMDM2NzUzLmh0bWzSAQA')])","Tue, 29 Mar 2022 11:27:01 GMT","<a href=""https://www.hani.co.kr/arti/economy/economy_general/1036753.html"" target=""_blank"">IMF “보유세 높이고 대출 조여야” 윤 주택공약과 다른 처방</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
'총체적 난국' 전북경제 전망 어둡다 - 전북도민일보,http://www.domin.co.kr/news/articleView.html?idxno=1376464,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOmh0dHA6Ly93d3cuZG9taW4uY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTEzNzY0NjTSAQA')])","Tue, 29 Mar 2022 11:00:00 GMT","<a href=""http://www.domin.co.kr/news/articleView.html?idxno=1376464"" target=""_blank"">'총체적 난국' 전북경제 전망 어둡다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">전북도민일보</font>","OrderedDict([('@url', 'http://www.domin.co.kr'), ('#text', '전북도민일보')])"
"홍남기, 여야 원내대표에 경제동향 보고…추경엔 난색 - 뉴시스",https://newsis.com/view/?id=NISX20220329_0001812602,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEIN-rMILWMDmfvRXX_02DVsqGQgEKhAIACoHCAowl7jyCjCTjNECMJqFpAM')])","Tue, 29 Mar 2022 09:29:08 GMT","<a href=""https://newsis.com/view/?id=NISX20220329_0001812602"" target=""_blank"">홍남기, 여야 원내대표에 경제동향 보고…추경엔 난색</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
‘靑 개방시 연 2000억 경제효과’ 분석에…황희 “면밀검토 필요” - 게임동아,https://www.donga.com/news/Politics/article/all/20220329/112587749/2,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiRGh0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1BvbGl0aWNzL2FydGljbGUvYWxsLzIwMjIwMzI5LzExMjU4Nzc0OS8y0gE3aHR0cHM6Ly93d3cuZG9uZ2EuY29tL25ld3MvYW1wL2FsbC8yMDIyMDMyOS8xMTI1ODc3NDkvMg')])","Tue, 29 Mar 2022 04:38:00 GMT","<a href=""https://www.donga.com/news/Politics/article/all/20220329/112587749/2"" target=""_blank"">‘靑 개방시 연 2000억 경제효과’ 분석에…황희 “면밀검토 필요”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font>","OrderedDict([('@url', 'https://www.donga.com'), ('#text', '게임동아')])"
