title,link,guid,pubDate,description,source
"김재원 “용산 집무실, 선거 땐 논란 될까봐 광화문 시대라 표현” - 한겨레",https://www.hani.co.kr/arti/politics/politics_general/1035593.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1334896745')])","Mon, 21 Mar 2022 07:00:00 GMT","<ol><li><a href=""https://www.hani.co.kr/arti/politics/politics_general/1035593.html"" target=""_blank"">김재원 “용산 집무실, 선거 땐 논란 될까봐 광화문 시대라 표현”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font></li><li><a href=""https://m.hankookilbo.com/News/Read/A2022032111350001789"" target=""_blank"">김재원 ""용산 집무실, 논란될까봐 선거 때 광화문 시대라 표현""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국일보</font></li><li><a href=""https://www.hankyung.com/politics/article/2022032344767"" target=""_blank"">김재원 ""文, 집무실 이전 일부러 막아""…김어준 ""그건 억지""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font></li><li><a href=""https://m.inews24.com/v/1462229"" target=""_blank"">김재원 ""선거 때 '靑 용산 이전' 검토…논란될까봐 '광화문 시대'라 표현""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아이뉴스24</font></li><li><a href=""https://cm.asiae.co.kr/article/2022032114025082789"" target=""_blank"">김재원 '용산 집무실 검토, 선거 땐 논란될까봐 광화문 시대라 표현한 것'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아시아경제</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pwME1QOEJCRm0zMEI3bVdlMjhTZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
"김재원 “김정숙 여사 옷값, 형사처벌 문제…안보 사안 아냐” - 조선일보 - The Chosunilbo",https://www.chosun.com/politics/politics_general/2022/03/29/63R5PEGJVRGJFCTWZQCW3TJXYU/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1290118589')])","Tue, 29 Mar 2022 01:53:00 GMT","<ol><li><a href=""https://www.chosun.com/politics/politics_general/2022/03/29/63R5PEGJVRGJFCTWZQCW3TJXYU/"" target=""_blank"">김재원 “김정숙 여사 옷값, 형사처벌 문제…안보 사안 아냐” - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""http://www.kbmaeil.com/news/articleView.html?idxno=925206"" target=""_blank"">김재원 “靑, 특수활동비 공개해야”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">경북매일신문</font></li><li><a href=""https://www.donga.com/news/Politics/article/all/20220329/112582347/1"" target=""_blank"">김재원 “김정숙 여사 옷값, 형사처벌 야기…특활비 공개해야”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><a href=""https://biz.chosun.com/policy/politics/2022/03/29/JPOJVGITUREFZEYTLG2USHQGAY/"" target=""_blank"">김재원, 김정숙 여사 옷값 논란에 “특활비 공개해야…형사처벌 문제도” - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font></li><li><a href=""https://www.inews24.com/view/1464940"" target=""_blank"">김재원 ""김정숙 여사 옷값, 형사처벌 야기…文 재임 중 공개해야""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아이뉴스24</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k5eTVibkJCR1hteG1UM1dPZzF5Z0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"김재원 ""영부인 옷값? 형사책임 포함…특활비 공개하길"" - 노컷뉴스",https://www.nocutnews.co.kr/news/5730574,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKGh0dHBzOi8vd3d3Lm5vY3V0bmV3cy5jby5rci9uZXdzLzU3MzA1NzTSAQA')])","Tue, 29 Mar 2022 00:13:00 GMT","<a href=""https://www.nocutnews.co.kr/news/5730574"" target=""_blank"">김재원 ""영부인 옷값? 형사책임 포함…특활비 공개하길""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">노컷뉴스</font>","OrderedDict([('@url', 'https://www.nocutnews.co.kr'), ('#text', '노컷뉴스')])"
"김재원 “공천룰 갈등, 다 내가 정리할 문제…방법 찾겠다” - 게임동아",https://www.donga.com/news/Politics/article/all/20220328/112564929/2,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiRGh0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1BvbGl0aWNzL2FydGljbGUvYWxsLzIwMjIwMzI4LzExMjU2NDkyOS8y0gE3aHR0cHM6Ly93d3cuZG9uZ2EuY29tL25ld3MvYW1wL2FsbC8yMDIyMDMyOC8xMTI1NjQ5MjkvMg')])","Mon, 28 Mar 2022 02:45:00 GMT","<a href=""https://www.donga.com/news/Politics/article/all/20220328/112564929/2"" target=""_blank"">김재원 “공천룰 갈등, 다 내가 정리할 문제…방법 찾겠다”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font>","OrderedDict([('@url', 'https://www.donga.com'), ('#text', '게임동아')])"
홍준표·김재원 대구시장 출마에…권영진 “당선자 '깐부' 뽑자” - 한겨레,https://www.hani.co.kr/arti/area/yeongnam/1035974.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9hcmVhL3llb25nbmFtLzEwMzU5NzQuaHRtbNIBAA')])","Wed, 23 Mar 2022 07:38:53 GMT","<a href=""https://www.hani.co.kr/arti/area/yeongnam/1035974.html"" target=""_blank"">홍준표·김재원 대구시장 출마에…권영진 “당선자 '깐부' 뽑자”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
이준석 “날 물고 늘어지면…” vs 김재원 “오해 있었다” - 게임동아,https://www.donga.com/news/Politics/article/all/20220325/112527260/2,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiRGh0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1BvbGl0aWNzL2FydGljbGUvYWxsLzIwMjIwMzI1LzExMjUyNzI2MC8y0gE3aHR0cHM6Ly93d3cuZG9uZ2EuY29tL25ld3MvYW1wL2FsbC8yMDIyMDMyNS8xMTI1MjcyNjAvMg')])","Fri, 25 Mar 2022 01:03:00 GMT","<a href=""https://www.donga.com/news/Politics/article/all/20220325/112527260/2"" target=""_blank"">이준석 “날 물고 늘어지면…” vs 김재원 “오해 있었다”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font>","OrderedDict([('@url', 'https://www.donga.com'), ('#text', '게임동아')])"
"홍의락,대구 정치판은 시궁창...홍준표는 두더지 ·김재원은 날파리 - 내외뉴스통신",http://www.nbnnews.co.kr/news/articleView.html?idxno=665851,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEEBiFtA8Rj6xcKvJ94eaNMsqMwgEKioIACIQiWDEesahDldtH3N_vL1MWSoUCAoiEIlgxHrGoQ5XbR9zf7y9TFkwyKyzBw')])","Tue, 29 Mar 2022 06:46:14 GMT","<a href=""http://www.nbnnews.co.kr/news/articleView.html?idxno=665851"" target=""_blank"">홍의락,대구 정치판은 시궁창...홍준표는 두더지 ·김재원은 날파리</a>&nbsp;&nbsp;<font color=""#6f6f6f"">내외뉴스통신</font>","OrderedDict([('@url', 'http://www.nbnnews.co.kr'), ('#text', '내외뉴스통신')])"
"김재원 ""방 뺄 때 됐다"" VS 김어준 ""20년 더 할 생각"" 티격태격 - 한국일보",https://m.hankookilbo.com/News/Read/A2022031612060003580,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOGh0dHBzOi8vbS5oYW5rb29raWxiby5jb20vTmV3cy9SZWFkL0EyMDIyMDMxNjEyMDYwMDAzNTgw0gEA')])","Wed, 16 Mar 2022 07:00:00 GMT","<a href=""https://m.hankookilbo.com/News/Read/A2022031612060003580"" target=""_blank"">김재원 ""방 뺄 때 됐다"" VS 김어준 ""20년 더 할 생각"" 티격태격</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국일보</font>","OrderedDict([('@url', 'https://m.hankookilbo.com'), ('#text', '한국일보')])"
"김재원 ""윤석열과 호흡""·권용범 ""웅대한 대구""…대구시장 출마 - 한국경제",https://www.hankyung.com/politics/article/202203286252Y,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEDJChhfrfjxIizKvLjfRc64qGQgEKhAIACoHCAow0__cCjDUitABMPnLjQY')])","Mon, 28 Mar 2022 07:27:26 GMT","<a href=""https://www.hankyung.com/politics/article/202203286252Y"" target=""_blank"">김재원 ""윤석열과 호흡""·권용범 ""웅대한 대구""…대구시장 출마</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font>","OrderedDict([('@url', 'https://www.hankyung.com'), ('#text', '한국경제')])"
"김재원, 대구시장 출마선언…최고위원직 사퇴 - 뉴시스",https://newsis.com/view/?id=NISX20220328_0001810336,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMjhfMDAwMTgxMDMzNtIBAA')])","Mon, 28 Mar 2022 05:47:54 GMT","<a href=""https://newsis.com/view/?id=NISX20220328_0001810336"" target=""_blank"">김재원, 대구시장 출마선언…최고위원직 사퇴</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
"김재원 ""尹 당선인 朴 방문은 '역사와의 화해'…국민 안심할 것"" - 한국경제",https://www.hankyung.com/politics/article/2022032511787,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEIAuxbYs-Cz9Y0ZjQPLcCFoqGQgEKhAIACoHCAow0__cCjDUitABMPnLjQY')])","Fri, 25 Mar 2022 06:05:50 GMT","<a href=""https://www.hankyung.com/politics/article/2022032511787"" target=""_blank"">김재원 ""尹 당선인 朴 방문은 '역사와의 화해'…국민 안심할 것""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font>","OrderedDict([('@url', 'https://www.hankyung.com'), ('#text', '한국경제')])"
"""콕 찍어 페널티"" 홍준표, 공천룰 반발…김재원에 ""협잡 정치"" - 연합뉴스",https://m.yna.co.kr/amp/view/AKR20220328151900001,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiMWh0dHBzOi8vbS55bmEuY28ua3IvYW1wL3ZpZXcvQUtSMjAyMjAzMjgxNTE5MDAwMDHSATFodHRwczovL20ueW5hLmNvLmtyL2FtcC92aWV3L0FLUjIwMjIwMzI4MTUxOTAwMDAx')])","Mon, 28 Mar 2022 09:54:00 GMT","<a href=""https://m.yna.co.kr/amp/view/AKR20220328151900001"" target=""_blank"">""콕 찍어 페널티"" 홍준표, 공천룰 반발…김재원에 ""협잡 정치""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>","OrderedDict([('@url', 'https://m.yna.co.kr'), ('#text', '연합뉴스')])"
