title,link,guid,pubDate,description,source
"휴전 협상에도 러 국방부 ""우크라 군사작전 지속"" - MBC뉴스",https://imnews.imbc.com/news/2022/world/article/6354512_35680.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQmh0dHBzOi8vaW1uZXdzLmltYmMuY29tL25ld3MvMjAyMi93b3JsZC9hcnRpY2xlLzYzNTQ1MTJfMzU2ODAuaHRtbNIBQmh0dHBzOi8vaW1uZXdzLmltYmMuY29tL25ld3MvMjAyMi93b3JsZC9hcnRpY2xlLzYzNTQ1MTJfMzU2ODEuaHRtbA')])","Tue, 29 Mar 2022 14:20:57 GMT","<a href=""https://imnews.imbc.com/news/2022/world/article/6354512_35680.html"" target=""_blank"">휴전 협상에도 러 국방부 ""우크라 군사작전 지속""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MBC뉴스</font>","OrderedDict([('@url', 'https://imnews.imbc.com'), ('#text', 'MBC뉴스')])"
안철수 “총리 안 맡겠다”...尹당선인과 40분 독대 - 조선일보 - The Chosunilbo,https://www.chosun.com/politics/politics_general/2022/03/29/JATTYDNKJNBKRMU4ZQMTNBK5NQ/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1333251667')])","Tue, 29 Mar 2022 13:27:00 GMT","<ol><li><a href=""https://www.chosun.com/politics/politics_general/2022/03/29/JATTYDNKJNBKRMU4ZQMTNBK5NQ/"" target=""_blank"">안철수 “총리 안 맡겠다”...尹당선인과 40분 독대 - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""https://www.newdaily.co.kr/site/data/html/2022/03/29/2022032900076.html"" target=""_blank"">윤석열 측 ""4월 초 총리후보자 지명""… 김부겸 유임설엔 선 그어</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴데일리</font></li><li><a href=""https://www.donga.com/news/Politics/article/all/20220329/112596506/1"" target=""_blank"">尹, 내달초 총리 지명…‘단독 면담’ 安, 막판 변수로 떠올라</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><a href=""https://news.jtbc.joins.com/html/051/NB12053051.html"" target=""_blank"">새 정부 초대 총리 후보자, 이르면 일요일 발표…5배수 압축</a>&nbsp;&nbsp;<font color=""#6f6f6f"">JTBC</font></li><li><a href=""https://www.mk.co.kr/news/politics/view/2022/03/284665/"" target=""_blank"">安, 尹당선인과 독대…""총리 안 맡고 인수위 집중""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pUbk5fN0JCRXB3bnRnQ2NjLXVpZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"고민정, 김정숙 여사 옷값 논란에 ""실소 금할 수 없다"" - 이데일리",https://www.edaily.co.kr/news/read?newsId=04464086632268240&mediaCodeNo=257,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1290118589')])","Tue, 29 Mar 2022 13:14:23 GMT","<ol><li><a href=""https://www.edaily.co.kr/news/read?newsId=04464086632268240&mediaCodeNo=257"" target=""_blank"">고민정, 김정숙 여사 옷값 논란에 ""실소 금할 수 없다""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이데일리</font></li><li><a href=""https://www.donga.com/news/Society/article/all/20220329/112580186/1"" target=""_blank"">김정숙 옷값만 부각되는 ‘靑 특활비’ 논란…속사정 따로 있나</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><a href=""https://www.chosun.com/politics/politics_general/2022/03/29/4WNUF3MXERBTFNYZSGCDLQQHTU/"" target=""_blank"">靑 “김정숙 여사 옷값, 사비로 부담… 특활비 쓴 적 없다” - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""https://www.edaily.co.kr/news/read?newsId=04204966632268240&mediaCodeNo=257"" target=""_blank"">(영상)황급히 진주반지 감춘 김정숙, '옷값 논란' 미리 짐작했나</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이데일리</font></li><li><a href=""https://www.donga.com/news/Politics/article/all/20220329/112582347/1"" target=""_blank"">김재원 “김정숙 여사 옷값, 형사처벌 야기…특활비 공개해야”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k5eTVibkJCR1FBNnZkeGRsdHl5Z0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.edaily.co.kr'), ('#text', '이데일리')])"
[경제읽기] 문대통령·윤 당선인 첫 회동…추경 필요성 공감 - 연합뉴스TV,https://www.yonhapnewstv.co.kr/news/MYH20220329010500038,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1334909647')])","Tue, 29 Mar 2022 04:57:34 GMT","<ol><li><a href=""https://www.yonhapnewstv.co.kr/news/MYH20220329010500038"" target=""_blank"">[경제읽기] 문대통령·윤 당선인 첫 회동…추경 필요성 공감</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스TV</font></li><li><a href=""https://www.donga.com/news/Politics/article/all/20220329/112590195/2"" target=""_blank"">MB 사면에 말 아끼는 尹측 “대통령 고유 권한, 조율할 문제 아냐”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><a href=""https://www.chosun.com/politics/politics_general/2022/03/29/U3KQARBL5JDQLARPECTHJKLIMY/"" target=""_blank"">文·尹 회동, 盧·MB때와 판박이?… 한식·와인·선물, 대접 똑같았다 - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""https://imnews.imbc.com/replay/2022/nw1700/article/6354439_35729.html"" target=""_blank"">인수위 ""인수인계 탄력""‥민주 ""공통공약 추진하자""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MBC뉴스</font></li><li><a href=""https://www.nocutnews.co.kr/news/5731257"" target=""_blank"">文‧尹 갈등 해소한 인수위, 총리 인선‧코로나 보상 속도전</a>&nbsp;&nbsp;<font color=""#6f6f6f"">노컷뉴스</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pQdGNUOEJCRTNjS0hJZXRCb1hpZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.yonhapnewstv.co.kr'), ('#text', '연합뉴스TV')])"
오후 9시 41만명 확진… '수요일 확진자' 감소하나 - 한국일보,https://www.hankookilbo.com/News/Read/A2022032922360000275,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1354245213')])","Tue, 29 Mar 2022 13:48:00 GMT","<ol><li><a href=""https://www.hankookilbo.com/News/Read/A2022032922360000275"" target=""_blank"">오후 9시 41만명 확진… '수요일 확진자' 감소하나</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국일보</font></li><li><a href=""https://www.youtube.com/watch?v=A9Vc0LtfzIk"" target=""_blank"">확진 34만 명대로 급증…""거리두기 단계적 완화"" / 연합뉴스TV (YonhapnewsTV)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스TV</font></li><li><a href=""https://www.hani.co.kr/arti/society/health/1036628.html"" target=""_blank"">[속보] 신규 확진 다시 30만명대…전날보다 16만명↑</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font></li><li><a href=""https://news.jtbc.joins.com/html/880/NB12052880.html"" target=""_blank"">신규확진 34만7554명…하루새 16만 명 증가 | 모바일 JTBC뉴스</a>&nbsp;&nbsp;<font color=""#6f6f6f"">JTBC</font></li><li><a href=""https://www.nocutnews.co.kr/news/5730762"" target=""_blank"">서울 신규 확진 3만→6만명대로…""투석병상 127개로 확충""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">노컷뉴스</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pkeU9DRkJSRUdqenZqMi04UFd5Z0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.hankookilbo.com'), ('#text', '한국일보')])"
상하이 봉쇄에… “물동량 세계1위 항구 멈추면 물류대란” - 게임동아,https://www.donga.com/news/Inter/article/all/20220330/112597658/1,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1349412779')])","Tue, 29 Mar 2022 18:00:00 GMT","<ol><li><a href=""https://www.donga.com/news/Inter/article/all/20220330/112597658/1"" target=""_blank"">상하이 봉쇄에… “물동량 세계1위 항구 멈추면 물류대란”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><a href=""https://www.youtube.com/watch?v=E57cEHGrljI"" target=""_blank"">중, 상하이 봉쇄 파장 최소화 안간힘…확산세는 계속 / 연합뉴스TV (YonhapnewsTV)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스TV</font></li><li><a href=""https://www.mk.co.kr/today-paper/view/2022/5125564/"" target=""_blank"">2500만명 전수검사 한다고? 중국 상하이 `코로나 셧다운`</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""https://www.donga.com/news/Opinion/article/all/20220329/112578244/1"" target=""_blank"">상하이 봉쇄[횡설수설/이진영]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><a href=""https://www.hankyung.com/life/article/202203298340Y"" target=""_blank"">전세계 공급망 교란 요인 상하이 양산항은 정상 운영</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lyejdtREJSR1MwQl93YmpaTlVpZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.donga.com'), ('#text', '게임동아')])"
"민주당 ""임대차 3법 지키는게 원칙"" 시장왜곡 봤다면 못할 말 [사설] - 매일경제",https://www.mk.co.kr/opinion/editorial/view/2022/03/284693/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1343341760')])","Tue, 29 Mar 2022 15:02:01 GMT","<ol><li><a href=""https://www.mk.co.kr/opinion/editorial/view/2022/03/284693/"" target=""_blank"">민주당 ""임대차 3법 지키는게 원칙"" 시장왜곡 봤다면 못할 말 [사설]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""https://www.nocutnews.co.kr/news/5730742"" target=""_blank"">[투표]임대차3법 수술? 여러분 생각은 어떠신가요[이슈시개]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">노컷뉴스</font></li><li><a href=""https://imnews.imbc.com/replay/2022/nwtoday/article/6354201_35752.html"" target=""_blank"">""임대차 3법 폐지·축소 검토""‥여소야대 벽 넘을까</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MBC뉴스</font></li><li><a href=""https://www.donga.com/news/Economy/article/all/20220329/112578649/1"" target=""_blank"">“임대차법 단계적 폐지”… 재건축 안전진단, 규제완화 1호 될듯</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><a href=""https://www.nocutnews.co.kr/news/5731078"" target=""_blank"">인수위 ""임대차3법 개정 추진"" vs 민주당 ""받아들일 수 없어""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">노컷뉴스</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pBaWNlQUJSSGdiQnl2WGZqTk1TZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
내일부터 확진자 대면진료 병·의원 늘어난다…한의원도 포함 - 한겨레,https://www.hani.co.kr/arti/society/health/1036748.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1359188176')])","Tue, 29 Mar 2022 10:14:45 GMT","<ol><li><a href=""https://www.hani.co.kr/arti/society/health/1036748.html"" target=""_blank"">내일부터 확진자 대면진료 병·의원 늘어난다…한의원도 포함</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font></li><li><a href=""https://news.jtbc.joins.com/html/903/NB12052903.html"" target=""_blank"">내일부터 확진자 동네 병원서 대면 진료…""거리두기 1일 발표 목표""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">JTBC</font></li><li><a href=""https://www.chosun.com/national/welfare-medical/2022/03/29/BU2WQK6AOBF7FGLKH7NUEQHWJY/"" target=""_blank"">30일부터 동네 병의원에서 재택 치료자 대면 진료한다 - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""https://www.youtube.com/watch?v=tFvKTznDAPE"" target=""_blank"">[뉴스포커스] 신규확진 34만7554명…""확진자 대면진료 확대"" / 연합뉴스TV (YonhapnewsTV)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스TV</font></li><li><a href=""https://www.donga.com/news/Society/article/all/20220329/112586772/2"" target=""_blank"">확진자도 동네 병원서 대면진료 가능…한의원 포함</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pRb1k2SUJSRmg0TlNPQVl2YTdTZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
"고민정, '장애인 시위 비판' 이준석 맹폭 'SNS 자판만 두드려' - 서울경제 - 서울경제신문",https://www.sedaily.com/NewsVIew/263LV1WREP,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1350502109')])","Tue, 29 Mar 2022 11:42:20 GMT","<ol><li><a href=""https://www.sedaily.com/NewsVIew/263LV1WREP"" target=""_blank"">고민정, '장애인 시위 비판' 이준석 맹폭 'SNS 자판만 두드려' - 서울경제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">서울경제신문</font></li><li><a href=""https://www.youtube.com/watch?v=TLyfGCowrsw"" target=""_blank"">인수위, 이동권 시위 장애인 면담…이준석 비판 고조 / 연합뉴스TV (YonhapnewsTV)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스TV</font></li><li><a href=""https://news.jtbc.joins.com/html/937/NB12052937.html"" target=""_blank"">[3시 썰전라이브] 박경석 전장연 대표 ""모든 버스 탈 수 있는 환경 만들어져야""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">JTBC</font></li><li><a href=""https://www.chosun.com/politics/politics_general/2022/03/29/ZPWENCY7OJC4PEYJXIADPFUNIE/"" target=""_blank"">장애인 시위 비판 이준석, 고민정이 공격하자 “이재명에게 말하라” - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""https://www.donga.com/news/Politics/article/all/20220329/112584230/2"" target=""_blank"">장애 딸 둔 나경원, 이준석 겨냥 “폄훼·조롱 미성숙”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">게임동아</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pkamZ5REJSRlpkaEU4RjhTb3JTZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.sedaily.com'), ('#text', '서울경제신문')])"
광주전남 코로나19 정점 '아직'·· 29일 2만8천 명에 육박 - 노컷뉴스,https://www.nocutnews.co.kr/news/5731214,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKGh0dHBzOi8vd3d3Lm5vY3V0bmV3cy5jby5rci9uZXdzLzU3MzEyMTTSASpodHRwczovL20ubm9jdXRuZXdzLmNvLmtyL25ld3MvYW1wLzU3MzEyMTQ')])","Tue, 29 Mar 2022 09:28:00 GMT","<a href=""https://www.nocutnews.co.kr/news/5731214"" target=""_blank"">광주전남 코로나19 정점 '아직'·· 29일 2만8천 명에 육박</a>&nbsp;&nbsp;<font color=""#6f6f6f"">노컷뉴스</font>","OrderedDict([('@url', 'https://www.nocutnews.co.kr'), ('#text', '노컷뉴스')])"
