title,link,guid,pubDate,description,source
"'사내맞선', 시청률 11% 넘겼다…또 자체 기록 경신 - 한국일보",https://www.hankookilbo.com/News/Read/A2022032908330005481,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1314458124')])","Mon, 28 Mar 2022 23:56:00 GMT","<ol><li><a href=""https://www.hankookilbo.com/News/Read/A2022032908330005481"" target=""_blank"">'사내맞선', 시청률 11% 넘겼다…또 자체 기록 경신</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국일보</font></li><li><a href=""http://www.entermedia.co.kr/news/articleView.html?idxno=28731"" target=""_blank"">예능보다 웃긴 ‘사내맞선’, 안효섭·김세정·김민규·설인아 인생캐 획득</a>&nbsp;&nbsp;<font color=""#6f6f6f"">EnterMedia</font></li><li><a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284650/"" target=""_blank"">`사내맞선` 김세정♥안효섭, 이덕화에 연애 발각 위기... ""곧 소개하겠다""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""https://biz.chosun.com/entertainment/tv/2022/03/29/MRQQCAZ2P2UYSGSZTDSLJZJNBA/"" target=""_blank"">'사내맞선' 안효섭, 이덕화에 ""만나는 여자친구 곧 소개시켜드리겠다"" - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font></li><li><a href=""https://www.asiatoday.co.kr/view.php?key=20220329010016324"" target=""_blank"">'사내맞선' 안효섭·김세정 짜릿한 비밀 연애, 이덕화에 발각 위기?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아시아투데이</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lNbE9UeUJCR0xUem1lZjViZGFpZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.hankookilbo.com'), ('#text', '한국일보')])"
‘파오차이’에 분노한 대중…SBS ‘사내맞선’ 김치 PPL에 위로받다 - 조선일보 - The Chosunilbo,https://www.chosun.com/culture-life/broadcast-media/2022/03/22/443FQF6YMZGLZD7XBGKKJ3BAS4/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiWmh0dHBzOi8vd3d3LmNob3N1bi5jb20vY3VsdHVyZS1saWZlL2Jyb2FkY2FzdC1tZWRpYS8yMDIyLzAzLzIyLzQ0M0ZRRjZZTVpHTFpEN1hCR0tLSjNCQVM0L9IBaWh0dHBzOi8vd3d3LmNob3N1bi5jb20vY3VsdHVyZS1saWZlL2Jyb2FkY2FzdC1tZWRpYS8yMDIyLzAzLzIyLzQ0M0ZRRjZZTVpHTFpEN1hCR0tLSjNCQVM0Lz9vdXRwdXRUeXBlPWFtcA')])","Tue, 22 Mar 2022 04:58:00 GMT","<a href=""https://www.chosun.com/culture-life/broadcast-media/2022/03/22/443FQF6YMZGLZD7XBGKKJ3BAS4/"" target=""_blank"">‘파오차이’에 분노한 대중…SBS ‘사내맞선’ 김치 PPL에 위로받다 - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"'사내맞선' 설인아, 비하인드 영상 공개…김세정·김민규와 훈훈한 모습 - 뉴스웍스",https://www.newsworks.co.kr/news/articleView.html?idxno=594325,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEFR9xOaWXrdEVoO_Tu2uFTsqGQgEKhAIACoHCAow1P2YCzDkh7EDMOHe0gY')])","Tue, 29 Mar 2022 07:14:22 GMT","<a href=""https://www.newsworks.co.kr/news/articleView.html?idxno=594325"" target=""_blank"">'사내맞선' 설인아, 비하인드 영상 공개…김세정·김민규와 훈훈한 모습</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스웍스</font>","OrderedDict([('@url', 'https://www.newsworks.co.kr'), ('#text', '뉴스웍스')])"
자체 최고 '사내맞선'-지지부진 '크레이지 러브'…희비 교차 - 쿠키뉴스,https://www.kukinews.com/newsView/kuk202203290033,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEDdOKyN2XTZPIe2WYjz4_EoqGQgEKhAIACoHCAow_rDdCjDAy9EBMJezjQI')])","Tue, 29 Mar 2022 01:10:08 GMT","<a href=""https://www.kukinews.com/newsView/kuk202203290033"" target=""_blank"">자체 최고 '사내맞선'-지지부진 '크레이지 러브'…희비 교차</a>&nbsp;&nbsp;<font color=""#6f6f6f"">쿠키뉴스</font>","OrderedDict([('@url', 'https://www.kukinews.com'), ('#text', '쿠키뉴스')])"
"'사내맞선' OST, 북릿·포토카드 포함 앨범으로 제작 - 문화일보",http://www.munhwa.com/news/view.html?no=20220329MW142244815338,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPmh0dHA6Ly93d3cubXVuaHdhLmNvbS9uZXdzL3ZpZXcuaHRtbD9ubz0yMDIyMDMyOU1XMTQyMjQ0ODE1MzM40gEA')])","Tue, 29 Mar 2022 05:27:41 GMT","<a href=""http://www.munhwa.com/news/view.html?no=20220329MW142244815338"" target=""_blank"">'사내맞선' OST, 북릿·포토카드 포함 앨범으로 제작</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화일보</font>","OrderedDict([('@url', 'http://www.munhwa.com'), ('#text', '문화일보')])"
[방송소식] SBS '사내맞선' 19일 스페셜 방송 - 매일경제,https://www.mk.co.kr/news/culture/view/2022/03/248293/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEHQygegBgG-3G44rW9LEhFEqGQgEKhAIACoHCAow2t-aCDDArqABMKWPxwY')])","Thu, 17 Mar 2022 07:00:00 GMT","<a href=""https://www.mk.co.kr/news/culture/view/2022/03/248293/"" target=""_blank"">[방송소식] SBS '사내맞선' 19일 스페셜 방송</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"월화 드라마 '사내맞선' 조용히 입소문 타고 인기 상승, 종영 3회 남겨두고 자체 최고 시청률 기록 - FT스포츠",http://www.ftimes.kr/news/articleView.html?idxno=17320,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHA6Ly93d3cuZnRpbWVzLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xNzMyMNIBOWh0dHA6Ly93d3cuZnRpbWVzLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz0xNzMyMA')])","Tue, 29 Mar 2022 10:18:36 GMT","<a href=""http://www.ftimes.kr/news/articleView.html?idxno=17320"" target=""_blank"">월화 드라마 '사내맞선' 조용히 입소문 타고 인기 상승, 종영 3회 남겨두고 자체 최고 시청률 기록</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FT스포츠</font>","OrderedDict([('@url', 'http://www.ftimes.kr'), ('#text', 'FT스포츠')])"
"'사내맞선' 이덕화, 김세정에 ""안효섭과 만나지 말라"" 경고 [RE:TV] - 뉴스1",https://www.news1.kr/articles/?4631474,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiJmh0dHBzOi8vd3d3Lm5ld3MxLmtyL2FydGljbGVzLz80NjMxNDc00gEqaHR0cHM6Ly93d3cubmV3czEua3IvYW1wL2FydGljbGVzLz80NjMxNDc0')])","Tue, 29 Mar 2022 19:50:00 GMT","<a href=""https://www.news1.kr/articles/?4631474"" target=""_blank"">'사내맞선' 이덕화, 김세정에 ""안효섭과 만나지 말라"" 경고 [RE:TV]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font>","OrderedDict([('@url', 'https://www.news1.kr'), ('#text', '뉴스1')])"
"더보이즈 뉴, '사내맞선' OST '봄바람처럼 날 찾아와' 발표 - 연합뉴스",https://m.yna.co.kr/amp/view/AKR20220329027500005,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiMWh0dHBzOi8vbS55bmEuY28ua3IvYW1wL3ZpZXcvQUtSMjAyMjAzMjkwMjc1MDAwMDXSATFodHRwczovL20ueW5hLmNvLmtyL2FtcC92aWV3L0FLUjIwMjIwMzI5MDI3NTAwMDA1')])","Mon, 28 Mar 2022 23:29:00 GMT","<a href=""https://m.yna.co.kr/amp/view/AKR20220329027500005"" target=""_blank"">더보이즈 뉴, '사내맞선' OST '봄바람처럼 날 찾아와' 발표</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>","OrderedDict([('@url', 'https://m.yna.co.kr'), ('#text', '연합뉴스')])"
"‘장르물’만 인기?… ‘사내맞선’ 등 K-로맨스, 넷플릭스 순위권 등극 - 조선비즈 - 조선비즈",https://biz.chosun.com/it-science/ict/2022/03/04/QUYT4SS5L5EM7JFXBZVWICPPXU/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiTGh0dHBzOi8vYml6LmNob3N1bi5jb20vaXQtc2NpZW5jZS9pY3QvMjAyMi8wMy8wNC9RVVlUNFNTNUw1RU03SkZYQlpWV0lDUFBYVS_SAVtodHRwczovL2Jpei5jaG9zdW4uY29tL2l0LXNjaWVuY2UvaWN0LzIwMjIvMDMvMDQvUVVZVDRTUzVMNUVNN0pGWEJaVldJQ1BQWFUvP291dHB1dFR5cGU9YW1w')])","Fri, 04 Mar 2022 08:00:00 GMT","<a href=""https://biz.chosun.com/it-science/ict/2022/03/04/QUYT4SS5L5EM7JFXBZVWICPPXU/"" target=""_blank"">‘장르물’만 인기?… ‘사내맞선’ 등 K-로맨스, 넷플릭스 순위권 등극 - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font>","OrderedDict([('@url', 'https://biz.chosun.com'), ('#text', '조선비즈')])"
"뉴, '사내맞선' OST '봄바람처럼 날 찾아와' 발매 - 파이낸셜뉴스",https://www.fnnews.com/news/202203290907150262,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiLmh0dHBzOi8vd3d3LmZubmV3cy5jb20vbmV3cy8yMDIyMDMyOTA5MDcxNTAyNjLSATFodHRwczovL3d3dy5mbm5ld3MuY29tL2FtcE5ld3MvMjAyMjAzMjkwOTA3MTUwMjYy')])","Tue, 29 Mar 2022 00:07:00 GMT","<a href=""https://www.fnnews.com/news/202203290907150262"" target=""_blank"">뉴, '사내맞선' OST '봄바람처럼 날 찾아와' 발매</a>&nbsp;&nbsp;<font color=""#6f6f6f"">파이낸셜뉴스</font>","OrderedDict([('@url', 'https://www.fnnews.com'), ('#text', '파이낸셜뉴스')])"
