title,link,guid,pubDate,description,source
"'사랑의 꽈배기' 함은정 ""뭐가 달라지는데""…김진엽과 서로 원망 - 조선비즈 - 조선비즈",https://biz.chosun.com/entertainment/tv/2022/03/29/JTRSAKFTEVVDVFSZO7KRG7L7GA/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1356162625')])","Tue, 29 Mar 2022 11:01:00 GMT","<ol><li><a href=""https://biz.chosun.com/entertainment/tv/2022/03/29/JTRSAKFTEVVDVFSZO7KRG7L7GA/"" target=""_blank"">'사랑의 꽈배기' 함은정 ""뭐가 달라지는데""…김진엽과 서로 원망 - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font></li><li><a href=""https://www.news1.kr/articles/?4631405"" target=""_blank"">'사랑의 꽈배기' 함은정, 시부모에 子 출생의 비밀 고백…무릎 꿇고 눈물(종합)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font></li><li><a href=""http://www.koreatimes.com/article/20220329/1408643"" target=""_blank"">'사랑의 꽈배기' 함은정, 또다시 김진엽 밀어냈다… “달라지는 거 없어” - 미주 한국일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">미주 한국일보</font></li><li><a href=""https://tenasia.hankyung.com/tv-drama/article/2022032998394"" target=""_blank"">김진엽, 샛별이 친부 존재 속인 손성윤에 분노...""진짜 큰 잘못은 네가 날 속였다는 거야""('사랑의 꽈배기')</a>&nbsp;&nbsp;<font color=""#6f6f6f"">텐아시아</font></li><li><a href=""https://news.nate.com/view/20220329n38491?mid=n1101"" target=""_blank"">'사랑의 꽈배기' 김진엽, 손성윤의 비밀 고백에 분노…""왜 다 거짓말만"" [별별TV] | 방송 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pCek5XR0JSRzlXamZ3RkRaZTlTZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://biz.chosun.com'), ('#text', '조선비즈')])"
사랑의 꽈배기 인물관계도·몇부작·줄거리 한 눈에 - 금강일보,http://www.ggilbo.com/news/articleView.html?idxno=901734,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOGh0dHA6Ly93d3cuZ2dpbGJvLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89OTAxNzM00gE7aHR0cDovL3d3dy5nZ2lsYm8uY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz05MDE3MzQ')])","Fri, 18 Mar 2022 07:00:00 GMT","<a href=""http://www.ggilbo.com/news/articleView.html?idxno=901734"" target=""_blank"">사랑의 꽈배기 인물관계도·몇부작·줄거리 한 눈에</a>&nbsp;&nbsp;<font color=""#6f6f6f"">금강일보</font>","OrderedDict([('@url', 'http://www.ggilbo.com'), ('#text', '금강일보')])"
"드라마 '사랑의 꽈배기' 장세현, 동방 회장 자리 위해 ""함은정 이혼 불가"" - 국제뉴스",https://www.gukjenews.com/news/articleView.html?idxno=2435361,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEJsTlQwAviXnHU5V4Mf-gQkqMwgEKioIACIQaQG9W1X4_0OL9OcKDPkNVSoUCAoiEGkBvVtV-P9Di_TnCgz5DVUwlr3NBg')])","Mon, 28 Mar 2022 10:53:30 GMT","<a href=""https://www.gukjenews.com/news/articleView.html?idxno=2435361"" target=""_blank"">드라마 '사랑의 꽈배기' 장세현, 동방 회장 자리 위해 ""함은정 이혼 불가""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">국제뉴스</font>","OrderedDict([('@url', 'https://www.gukjenews.com'), ('#text', '국제뉴스')])"
"'사랑의 꽈배기' 심혜진, 황신혜에 ""나 변했다고 했잖아...조심해라"" - 시사매거진",http://www.sisamagazine.co.kr/news/articleView.html?idxno=432844,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQGh0dHA6Ly93d3cuc2lzYW1hZ2F6aW5lLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz00MzI4NDTSAQA')])","Tue, 08 Mar 2022 08:00:00 GMT","<a href=""http://www.sisamagazine.co.kr/news/articleView.html?idxno=432844"" target=""_blank"">'사랑의 꽈배기' 심혜진, 황신혜에 ""나 변했다고 했잖아...조심해라""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">시사매거진</font>","OrderedDict([('@url', 'http://www.sisamagazine.co.kr'), ('#text', '시사매거진')])"
"'사랑의 꽈배기' 이수용, 손성윤 딸과 친자 검사 일치에 '충격' - 뉴스1",https://www.news1.kr/articles/?4624091,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEI6xJWWHTnvL91mzYdyRStYqGQgEKhAIACoHCAow3tTdCjDn49MBMKaakAI')])","Tue, 22 Mar 2022 11:04:41 GMT","<a href=""https://www.news1.kr/articles/?4624091"" target=""_blank"">'사랑의 꽈배기' 이수용, 손성윤 딸과 친자 검사 일치에 '충격'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font>","OrderedDict([('@url', 'https://www.news1.kr'), ('#text', '뉴스1')])"
"'사랑의 꽈배기' 장세현, 김주리 압박에 ""나 좀 그만 괴롭혀"" 사정 - 뉴스1",https://m.news1.kr/articles/?4609719,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiJGh0dHBzOi8vbS5uZXdzMS5rci9hcnRpY2xlcy8_NDYwOTcxOdIBKmh0dHBzOi8vd3d3Lm5ld3MxLmtyL2FtcC9hcnRpY2xlcy8_NDYwOTcxOQ')])","Tue, 08 Mar 2022 08:00:00 GMT","<a href=""https://m.news1.kr/articles/?4609719"" target=""_blank"">'사랑의 꽈배기' 장세현, 김주리 압박에 ""나 좀 그만 괴롭혀"" 사정</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font>","OrderedDict([('@url', 'https://m.news1.kr'), ('#text', '뉴스1')])"
"[비즈 포토] '사랑의 꽈봬기' 함은정 ""마스크로도 가리지 못한 예쁨"" - 비즈엔터",http://enter.etoday.co.kr/view/news_view.php?varAtcId=221070,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPGh0dHA6Ly9lbnRlci5ldG9kYXkuY28ua3Ivdmlldy9uZXdzX3ZpZXcucGhwP3ZhckF0Y0lkPTIyMTA3MNIBAA')])","Tue, 08 Mar 2022 08:00:00 GMT","<a href=""http://enter.etoday.co.kr/view/news_view.php?varAtcId=221070"" target=""_blank"">[비즈 포토] '사랑의 꽈봬기' 함은정 ""마스크로도 가리지 못한 예쁨""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">비즈엔터</font>","OrderedDict([('@url', 'http://enter.etoday.co.kr'), ('#text', '비즈엔터')])"
"[포토] 순정미 넘치는 함은정, '사랑의 꽈배기' 출근 - 서울와이어",https://www.seoulwire.com/news/articleView.html?idxno=464100,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPGh0dHBzOi8vd3d3LnNlb3Vsd2lyZS5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTQ2NDEwMNIBAA')])","Tue, 08 Mar 2022 08:00:00 GMT","<a href=""https://www.seoulwire.com/news/articleView.html?idxno=464100"" target=""_blank"">[포토] 순정미 넘치는 함은정, '사랑의 꽈배기' 출근</a>&nbsp;&nbsp;<font color=""#6f6f6f"">서울와이어</font>","OrderedDict([('@url', 'https://www.seoulwire.com'), ('#text', '서울와이어')])"
"'사랑의 꽈배기' 김주리, 사랑스러운 매력 [포토엔HD] - 뉴스엔",https://m.newsen.com/news_view.php?uid=202203081545221510,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOWh0dHBzOi8vbS5uZXdzZW4uY29tL25ld3Nfdmlldy5waHA_dWlkPTIwMjIwMzA4MTU0NTIyMTUxMNIBAA')])","Tue, 08 Mar 2022 08:00:00 GMT","<a href=""https://m.newsen.com/news_view.php?uid=202203081545221510"" target=""_blank"">'사랑의 꽈배기' 김주리, 사랑스러운 매력 [포토엔HD]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스엔</font>","OrderedDict([('@url', 'https://m.newsen.com'), ('#text', '뉴스엔')])"
"‘봄날의 달콤함’ 가수 문송희, ‘사랑의 꽈배기’ OST ‘너만 보여’ 발매 - 한국경제",https://www.hankyung.com/entertainment/article/202202284619k,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiENNXrfGdKv90Q0kQ80gNdkcqGQgEKhAIACoHCAow0__cCjDUitABMLDAjQY')])","Mon, 28 Feb 2022 08:00:00 GMT","<a href=""https://www.hankyung.com/entertainment/article/202202284619k"" target=""_blank"">‘봄날의 달콤함’ 가수 문송희, ‘사랑의 꽈배기’ OST ‘너만 보여’ 발매</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font>","OrderedDict([('@url', 'https://www.hankyung.com'), ('#text', '한국경제')])"
"'사랑의 꽈배기' 황신혜, 장세현 비밀 캐묻는 함은정에 '시치미' [별별TV] - 축구 전문 미디어 스포탈코리아",https://m.sportalkorea.com/news/n_news_view.php?gisa_uniq=2022032819364247134,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiTWh0dHBzOi8vbS5zcG9ydGFsa29yZWEuY29tL25ld3Mvbl9uZXdzX3ZpZXcucGhwP2dpc2FfdW5pcT0yMDIyMDMyODE5MzY0MjQ3MTM00gEA')])","Mon, 28 Mar 2022 13:00:01 GMT","<a href=""https://m.sportalkorea.com/news/n_news_view.php?gisa_uniq=2022032819364247134"" target=""_blank"">'사랑의 꽈배기' 황신혜, 장세현 비밀 캐묻는 함은정에 '시치미' [별별TV]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">축구 전문 미디어 스포탈코리아</font>","OrderedDict([('@url', 'https://m.sportalkorea.com'), ('#text', '축구 전문 미디어 스포탈코리아')])"
