title,link,guid,pubDate,description,source
"우크라이나 맵 사이트, 디도스 공격 받아 18시간 마비 - ZD넷 코리아",https://zdnet.co.kr/view/?no=20220302083404,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiK2h0dHBzOi8vemRuZXQuY28ua3Ivdmlldy8_bm89MjAyMjAzMDIwODM0MDTSAQA')])","Wed, 02 Mar 2022 08:00:00 GMT","<a href=""https://zdnet.co.kr/view/?no=20220302083404"" target=""_blank"">우크라이나 맵 사이트, 디도스 공격 받아 18시간 마비</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ZD넷 코리아</font>","OrderedDict([('@url', 'https://zdnet.co.kr'), ('#text', 'ZD넷 코리아')])"
재난보도 준칙 < 윤리강령 - kbc광주방송,http://www.ikbc.co.kr/kor/menu?menuId=777_783,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiLWh0dHA6Ly93d3cuaWtiYy5jby5rci9rb3IvbWVudT9tZW51SWQ9Nzc3Xzc4M9IBAA')])","Mon, 07 Feb 2022 05:12:19 GMT","<a href=""http://www.ikbc.co.kr/kor/menu?menuId=777_783"" target=""_blank"">재난보도 준칙 < 윤리강령</a>&nbsp;&nbsp;<font color=""#6f6f6f"">kbc광주방송</font>","OrderedDict([('@url', 'http://www.ikbc.co.kr'), ('#text', 'kbc광주방송')])"
영상편집보도 준칙 < 윤리강령 - kbc광주방송,http://www.ikbc.co.kr/kor/menu?menuId=777_789,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiLWh0dHA6Ly93d3cuaWtiYy5jby5rci9rb3IvbWVudT9tZW51SWQ9Nzc3Xzc4OdIBAA')])","Mon, 07 Feb 2022 05:12:47 GMT","<a href=""http://www.ikbc.co.kr/kor/menu?menuId=777_789"" target=""_blank"">영상편집보도 준칙 < 윤리강령</a>&nbsp;&nbsp;<font color=""#6f6f6f"">kbc광주방송</font>","OrderedDict([('@url', 'http://www.ikbc.co.kr'), ('#text', 'kbc광주방송')])"
[김동완의 오늘의 운세] 2022년 3월 30일 - 서울신문,https://www.seoul.co.kr/news/newsView.php?id=20220330022008,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHBzOi8vd3d3LnNlb3VsLmNvLmtyL25ld3MvbmV3c1ZpZXcucGhwP2lkPTIwMjIwMzMwMDIyMDA40gEA')])","Tue, 29 Mar 2022 17:36:00 GMT","<a href=""https://www.seoul.co.kr/news/newsView.php?id=20220330022008"" target=""_blank"">[김동완의 오늘의 운세] 2022년 3월 30일</a>&nbsp;&nbsp;<font color=""#6f6f6f"">서울신문</font>","OrderedDict([('@url', 'https://www.seoul.co.kr'), ('#text', '서울신문')])"
윤리강령 < 윤리강령 - kbc광주방송,http://www.ikbc.co.kr/kor/menu?menuId=777_784,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiLWh0dHA6Ly93d3cuaWtiYy5jby5rci9rb3IvbWVudT9tZW51SWQ9Nzc3Xzc4NNIBAA')])","Mon, 07 Feb 2022 05:12:24 GMT","<a href=""http://www.ikbc.co.kr/kor/menu?menuId=777_784"" target=""_blank"">윤리강령 < 윤리강령</a>&nbsp;&nbsp;<font color=""#6f6f6f"">kbc광주방송</font>","OrderedDict([('@url', 'http://www.ikbc.co.kr'), ('#text', 'kbc광주방송')])"
[단독] 지도 반출 포기한 구글...5년 만에 최신 한국 지도로 바꿨다 - 아주경제,https://www.ajunews.com/view/20211208001837135,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEON5svjDiFEB2MYlUhn-364qFwgEKg8IACoHCAowooqjAjD-pEAwj-NL')])","Wed, 08 Dec 2021 08:00:00 GMT","<a href=""https://www.ajunews.com/view/20211208001837135"" target=""_blank"">[단독] 지도 반출 포기한 구글...5년 만에 최신 한국 지도로 바꿨다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아주경제</font>","OrderedDict([('@url', 'https://www.ajunews.com'), ('#text', '아주경제')])"
"개인정보위 카카오맵, 즐겨찾기 공개…사생활 침해 우려 - 아주경제",https://www.ajunews.com/view/20220223135542421,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEAFsCjlIPrBNglOmxGUiVDcqGAgEKg8IACoHCAowooqjAjD-pEAwhKm4Bw')])","Wed, 23 Feb 2022 08:00:00 GMT","<a href=""https://www.ajunews.com/view/20220223135542421"" target=""_blank"">개인정보위 카카오맵, 즐겨찾기 공개…사생활 침해 우려</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아주경제</font>","OrderedDict([('@url', 'https://www.ajunews.com'), ('#text', '아주경제')])"
"국제 마피아파 이준석, 불법 도박사이트 운영 혐의 2심서도 실형 - 아주경제",https://www.ajunews.com/view/20220211162849570,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEOGy5pCgZiQr0HnTpZQp5a8qFwgEKg8IACoHCAowooqjAjD-pEAwj-NL')])","Fri, 11 Feb 2022 08:00:00 GMT","<a href=""https://www.ajunews.com/view/20220211162849570"" target=""_blank"">국제 마피아파 이준석, 불법 도박사이트 운영 혐의 2심서도 실형</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아주경제</font>","OrderedDict([('@url', 'https://www.ajunews.com'), ('#text', '아주경제')])"
"[오늘날씨] 서울 영하 10도, 올 겨울 가장 추운 날...오후에는 함박눈 - 아주경제",https://www.ajunews.com/view/20211218081748295,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiLmh0dHBzOi8vd3d3LmFqdW5ld3MuY29tL3ZpZXcvMjAyMTEyMTgwODE3NDgyOTXSAStodHRwczovL20uYWp1bmV3cy5jb20vYW1wLzIwMjExMjE4MDgxNzQ4Mjk1')])","Sat, 18 Dec 2021 08:00:00 GMT","<a href=""https://www.ajunews.com/view/20211218081748295"" target=""_blank"">[오늘날씨] 서울 영하 10도, 올 겨울 가장 추운 날...오후에는 함박눈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아주경제</font>","OrderedDict([('@url', 'https://www.ajunews.com'), ('#text', '아주경제')])"
[포토] 포즈 취하는 양한나 - 아주경제,https://m.ajunews.com/view/20220210191022975,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiLGh0dHBzOi8vbS5hanVuZXdzLmNvbS92aWV3LzIwMjIwMjEwMTkxMDIyOTc10gEraHR0cHM6Ly9tLmFqdW5ld3MuY29tL2FtcC8yMDIyMDIxMDE5MTAyMjk3NQ')])","Thu, 10 Feb 2022 08:00:00 GMT","<a href=""https://m.ajunews.com/view/20220210191022975"" target=""_blank"">[포토] 포즈 취하는 양한나</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아주경제</font>","OrderedDict([('@url', 'https://m.ajunews.com'), ('#text', '아주경제')])"
