title,link,guid,pubDate,description,source
사회 배려 계층에 ‘쿨루프’ 무료 시공… 에너지 복지 실현 - 조선일보 - The Chosunilbo,https://www.chosun.com/economy/industry-company/2022/03/30/X2AVJUSL4VGF5C7CY4IF7Y6IDQ/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiVmh0dHBzOi8vd3d3LmNob3N1bi5jb20vZWNvbm9teS9pbmR1c3RyeS1jb21wYW55LzIwMjIvMDMvMzAvWDJBVkpVU0w0VkdGNUM3Q1k0SUY3WTZJRFEv0gFlaHR0cHM6Ly93d3cuY2hvc3VuLmNvbS9lY29ub215L2luZHVzdHJ5LWNvbXBhbnkvMjAyMi8wMy8zMC9YMkFWSlVTTDRWR0Y1QzdDWTRJRjdZNklEUS8_b3V0cHV0VHlwZT1hbXA')])","Tue, 29 Mar 2022 18:01:00 GMT","<a href=""https://www.chosun.com/economy/industry-company/2022/03/30/X2AVJUSL4VGF5C7CY4IF7Y6IDQ/"" target=""_blank"">사회 배려 계층에 ‘쿨루프’ 무료 시공… 에너지 복지 실현 - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"현대사회 지배자 `여론`, 옛 철인들도 두려워했다 - 매일경제",https://www.mk.co.kr/news/culture/view/2022/03/284053/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEKTwzWhEdnFC5M41ebP3h48qGQgEKhAIACoHCAow2t-aCDDArqABMKWPxwY')])","Tue, 29 Mar 2022 08:01:56 GMT","<a href=""https://www.mk.co.kr/news/culture/view/2022/03/284053/"" target=""_blank"">현대사회 지배자 `여론`, 옛 철인들도 두려워했다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"""홍콩행정장관, 중국-국제사회 사이서 방역 딜레마 토로"" - 매일경제",https://www.mk.co.kr/news/world/view/2022/03/281871/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNGh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvd29ybGQvdmlldy8yMDIyLzAzLzI4MTg3MS_SATZodHRwczovL20ubWsuY28ua3IvbmV3cy93b3JsZC92aWV3LWFtcC8yMDIyLzAzLzI4MTg3MS8')])","Tue, 29 Mar 2022 01:52:02 GMT","<a href=""https://www.mk.co.kr/news/world/view/2022/03/281871/"" target=""_blank"">""홍콩행정장관, 중국-국제사회 사이서 방역 딜레마 토로""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
“억울해서 창원에서 왔습니다”… 인수위 앞에 몰리는 시민·사회단체들 - 조선비즈 - 조선비즈,https://biz.chosun.com/topics/topics_social/2022/03/29/DTCZRZ4V6RD6XKMUH552W2C554/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiUmh0dHBzOi8vYml6LmNob3N1bi5jb20vdG9waWNzL3RvcGljc19zb2NpYWwvMjAyMi8wMy8yOS9EVENaUlo0VjZSRDZYS01VSDU1MlcyQzU1NC_SAWFodHRwczovL2Jpei5jaG9zdW4uY29tL3RvcGljcy90b3BpY3Nfc29jaWFsLzIwMjIvMDMvMjkvRFRDWlJaNFY2UkQ2WEtNVUg1NTJXMkM1NTQvP291dHB1dFR5cGU9YW1w')])","Tue, 29 Mar 2022 08:03:00 GMT","<a href=""https://biz.chosun.com/topics/topics_social/2022/03/29/DTCZRZ4V6RD6XKMUH552W2C554/"" target=""_blank"">“억울해서 창원에서 왔습니다”… 인수위 앞에 몰리는 시민·사회단체들 - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font>","OrderedDict([('@url', 'https://biz.chosun.com'), ('#text', '조선비즈')])"
시도의사회들 “간호법 저지에 총력” - 청년의사,https://www.docdocdoc.co.kr/news/articleView.html?idxno=2021218,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEBVffosON0KV7_GGWqpxLWQqGQgEKhAIACoHCAowzqafCzDbsLcDMK2u7wY')])","Mon, 28 Mar 2022 03:24:55 GMT","<a href=""https://www.docdocdoc.co.kr/news/articleView.html?idxno=2021218"" target=""_blank"">시도의사회들 “간호법 저지에 총력”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">청년의사</font>","OrderedDict([('@url', 'https://www.docdocdoc.co.kr'), ('#text', '청년의사')])"
통계청 “사회·복지 통계 개선…증거 기반 정책 수립 지원” - 조선비즈 - 조선비즈,https://biz.chosun.com/policy/policy_sub/2022/03/29/GH43JRESKBDCJADGIGGDCXVFOI/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiT2h0dHBzOi8vYml6LmNob3N1bi5jb20vcG9saWN5L3BvbGljeV9zdWIvMjAyMi8wMy8yOS9HSDQzSlJFU0tCRENKQURHSUdHRENYVkZPSS_SAV5odHRwczovL2Jpei5jaG9zdW4uY29tL3BvbGljeS9wb2xpY3lfc3ViLzIwMjIvMDMvMjkvR0g0M0pSRVNLQkRDSkFER0lHR0RDWFZGT0kvP291dHB1dFR5cGU9YW1w')])","Tue, 29 Mar 2022 09:25:00 GMT","<a href=""https://biz.chosun.com/policy/policy_sub/2022/03/29/GH43JRESKBDCJADGIGGDCXVFOI/"" target=""_blank"">통계청 “사회·복지 통계 개선…증거 기반 정책 수립 지원” - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font>","OrderedDict([('@url', 'https://biz.chosun.com'), ('#text', '조선비즈')])"
"통계청, '통계와 사회' 교과서 개발…""문제해결 능력 키우자"" - 매일경제",https://www.mk.co.kr/news/economy/view/2022/03/281505/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvZWNvbm9teS92aWV3LzIwMjIvMDMvMjgxNTA1L9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL2Vjb25vbXkvdmlldy1hbXAvMjAyMi8wMy8yODE1MDUv')])","Tue, 29 Mar 2022 01:00:04 GMT","<a href=""https://www.mk.co.kr/news/economy/view/2022/03/281505/"" target=""_blank"">통계청, '통계와 사회' 교과서 개발…""문제해결 능력 키우자""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
‘같이 짓는 가치’ 슬로건… ‘도시혁신스쿨’ 등 다양한 사회공헌활동 - 조선일보 - The Chosunilbo,https://www.chosun.com/special/special_section/2022/03/30/D667ADQSIND4FNPVMCXDGHVB2Y/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiVWh0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BlY2lhbC9zcGVjaWFsX3NlY3Rpb24vMjAyMi8wMy8zMC9ENjY3QURRU0lORDRGTlBWTUNYREdIVkIyWS_SAWRodHRwczovL3d3dy5jaG9zdW4uY29tL3NwZWNpYWwvc3BlY2lhbF9zZWN0aW9uLzIwMjIvMDMvMzAvRDY2N0FEUVNJTkQ0Rk5QVk1DWERHSFZCMlkvP291dHB1dFR5cGU9YW1w')])","Tue, 29 Mar 2022 18:01:00 GMT","<a href=""https://www.chosun.com/special/special_section/2022/03/30/D667ADQSIND4FNPVMCXDGHVB2Y/"" target=""_blank"">‘같이 짓는 가치’ 슬로건… ‘도시혁신스쿨’ 등 다양한 사회공헌활동 - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
日고교 사회과목 교과서 81%에 '독도=일본 땅' 기술 - 매일경제,https://www.mk.co.kr/news/politics/view/2022/03/283689/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiN2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvcG9saXRpY3Mvdmlldy8yMDIyLzAzLzI4MzY4OS_SATlodHRwczovL20ubWsuY28ua3IvbmV3cy9wb2xpdGljcy92aWV3LWFtcC8yMDIyLzAzLzI4MzY4OS8')])","Tue, 29 Mar 2022 06:57:32 GMT","<a href=""https://www.mk.co.kr/news/politics/view/2022/03/283689/"" target=""_blank"">日고교 사회과목 교과서 81%에 '독도=일본 땅' 기술</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"대전대, '2022년 청년사회서비스사업단 운영기관' 선정 - 머니투데이",https://news.mt.co.kr/mtview.php?no=2022032915537453729,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiN2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjIwMzI5MTU1Mzc0NTM3MjnSAQA')])","Tue, 29 Mar 2022 07:02:53 GMT","<a href=""https://news.mt.co.kr/mtview.php?no=2022032915537453729"" target=""_blank"">대전대, '2022년 청년사회서비스사업단 운영기관' 선정</a>&nbsp;&nbsp;<font color=""#6f6f6f"">머니투데이</font>","OrderedDict([('@url', 'https://news.mt.co.kr'), ('#text', '머니투데이')])"
