title,link,guid,pubDate,description,source
창업 아이템을 보유한 스포츠산업 기업이라면? - 대한민국정책포털 korea.kr,https://www.korea.kr/news/visualNewsView.do?newsId=148900227&pWise=sub&pWiseSub=B2,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiUmh0dHBzOi8vd3d3LmtvcmVhLmtyL25ld3MvdmlzdWFsTmV3c1ZpZXcuZG8_bmV3c0lkPTE0ODkwMDIyNyZwV2lzZT1zdWImcFdpc2VTdWI9QjLSAQA')])","Tue, 29 Mar 2022 07:34:00 GMT","<a href=""https://www.korea.kr/news/visualNewsView.do?newsId=148900227&pWise=sub&pWiseSub=B2"" target=""_blank"">창업 아이템을 보유한 스포츠산업 기업이라면?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">대한민국정책포털 korea.kr</font>","OrderedDict([('@url', 'https://www.korea.kr'), ('#text', '대한민국정책포털 korea.kr')])"
"[트렌드] ""스포츠중계 품질 높였더니…남성 가입 쑥"" - 매일경제",https://www.mk.co.kr/news/it/view/2022/03/284769/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiMWh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvaXQvdmlldy8yMDIyLzAzLzI4NDc2OS_SATNodHRwczovL20ubWsuY28ua3IvbmV3cy9pdC92aWV3LWFtcC8yMDIyLzAzLzI4NDc2OS8')])","Tue, 29 Mar 2022 19:01:02 GMT","<a href=""https://www.mk.co.kr/news/it/view/2022/03/284769/"" target=""_blank"">[트렌드] ""스포츠중계 품질 높였더니…남성 가입 쑥""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"우리금융, 항저우 아시안게임 e스포츠 국가대표팀 공식 후원 - 매일경제",https://www.mk.co.kr/news/economy/view/2022/03/281798/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvZWNvbm9teS92aWV3LzIwMjIvMDMvMjgxNzk4L9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL2Vjb25vbXkvdmlldy1hbXAvMjAyMi8wMy8yODE3OTgv')])","Tue, 29 Mar 2022 01:41:50 GMT","<a href=""https://www.mk.co.kr/news/economy/view/2022/03/281798/"" target=""_blank"">우리금융, 항저우 아시안게임 e스포츠 국가대표팀 공식 후원</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"당구, 학교스포츠 공식 편입 쾌거.. '유·청소년클럽리그종목 선정' - 조선일보 - The Chosunilbo",https://www.chosun.com/sports/sports_photo/2022/03/28/W5F5AKQQTL5Y2WIKRAMUCSYYPI/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiUWh0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BvcnRzL3Nwb3J0c19waG90by8yMDIyLzAzLzI4L1c1RjVBS1FRVEw1WTJXSUtSQU1VQ1NZWVBJL9IBYGh0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BvcnRzL3Nwb3J0c19waG90by8yMDIyLzAzLzI4L1c1RjVBS1FRVEw1WTJXSUtSQU1VQ1NZWVBJLz9vdXRwdXRUeXBlPWFtcA')])","Mon, 28 Mar 2022 08:19:00 GMT","<a href=""https://www.chosun.com/sports/sports_photo/2022/03/28/W5F5AKQQTL5Y2WIKRAMUCSYYPI/"" target=""_blank"">당구, 학교스포츠 공식 편입 쾌거.. '유·청소년클럽리그종목 선정' - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"[스포츠의학] 운동 후 앞 무릎 '시큰', 의심 질환은? - 헬스조선",https://m.health.chosun.com/svc/news_view.html?contid=2022032901734,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQ2h0dHBzOi8vbS5oZWFsdGguY2hvc3VuLmNvbS9zdmMvbmV3c192aWV3Lmh0bWw_Y29udGlkPTIwMjIwMzI5MDE3MzTSAQA')])","Tue, 29 Mar 2022 06:00:00 GMT","<a href=""https://m.health.chosun.com/svc/news_view.html?contid=2022032901734"" target=""_blank"">[스포츠의학] 운동 후 앞 무릎 '시큰', 의심 질환은?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">헬스조선</font>","OrderedDict([('@url', 'https://m.health.chosun.com'), ('#text', '헬스조선')])"
축구 헤딩 이후에 어지럼증 심하다면? [스포츠 부상주의보] - 하이닥,https://www.hidoc.co.kr/healthstory/news/C0000682728,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNGh0dHBzOi8vd3d3LmhpZG9jLmNvLmtyL2hlYWx0aHN0b3J5L25ld3MvQzAwMDA2ODI3MjjSAQA')])","Tue, 29 Mar 2022 09:00:00 GMT","<a href=""https://www.hidoc.co.kr/healthstory/news/C0000682728"" target=""_blank"">축구 헤딩 이후에 어지럼증 심하다면? [스포츠 부상주의보]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">하이닥</font>","OrderedDict([('@url', 'https://www.hidoc.co.kr'), ('#text', '하이닥')])"
"라이징윙스, 블록체인 기반 이스포츠 서비스 ‘컴피츠’ 페이지 개설 - 매일경제",https://www.mk.co.kr/news/it/view/2022/03/281980/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEJ09AEugIFD5nwWNBlhUogUqGQgEKhAIACoHCAow2t-aCDDArqABMKaPxwY')])","Tue, 29 Mar 2022 02:05:02 GMT","<a href=""https://www.mk.co.kr/news/it/view/2022/03/281980/"" target=""_blank"">라이징윙스, 블록체인 기반 이스포츠 서비스 ‘컴피츠’ 페이지 개설</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
월드컵경기장 가득 채운 6만명…스포츠 '100% 관중 시대' 돌아오나 - 한겨레,https://www.hani.co.kr/arti/society/society_general/1036295.html,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQGh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9zb2NpZXR5L3NvY2lldHlfZ2VuZXJhbC8xMDM2Mjk1Lmh0bWzSAQA')])","Fri, 25 Mar 2022 06:07:55 GMT","<a href=""https://www.hani.co.kr/arti/society/society_general/1036295.html"" target=""_blank"">월드컵경기장 가득 채운 6만명…스포츠 '100% 관중 시대' 돌아오나</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한겨레</font>","OrderedDict([('@url', 'https://www.hani.co.kr'), ('#text', '한겨레')])"
"기장군, 스포츠 힐링 파크 조성 사업 다음 달 착공 - 노컷뉴스",https://www.nocutnews.co.kr/news/5731087,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKGh0dHBzOi8vd3d3Lm5vY3V0bmV3cy5jby5rci9uZXdzLzU3MzEwODfSASpodHRwczovL20ubm9jdXRuZXdzLmNvLmtyL25ld3MvYW1wLzU3MzEwODc')])","Tue, 29 Mar 2022 07:19:43 GMT","<a href=""https://www.nocutnews.co.kr/news/5731087"" target=""_blank"">기장군, 스포츠 힐링 파크 조성 사업 다음 달 착공</a>&nbsp;&nbsp;<font color=""#6f6f6f"">노컷뉴스</font>","OrderedDict([('@url', 'https://www.nocutnews.co.kr'), ('#text', '노컷뉴스')])"
롤챔스 스프링 결승전 D-2...식품업체 농심 'e스포츠 사업'에 뛰어든 이유 - 뉴스워치,https://www.newswatch.kr/news/articleView.html?idxno=58685,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOmh0dHBzOi8vd3d3Lm5ld3N3YXRjaC5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NTg2ODXSAQA')])","Tue, 29 Mar 2022 10:00:23 GMT","<a href=""https://www.newswatch.kr/news/articleView.html?idxno=58685"" target=""_blank"">롤챔스 스프링 결승전 D-2...식품업체 농심 'e스포츠 사업'에 뛰어든 이유</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스워치</font>","OrderedDict([('@url', 'https://www.newswatch.kr'), ('#text', '뉴스워치')])"
"[스포츠 브리핑] 이승우, K리그 6라운드 MVP로 - 조선일보 - The Chosunilbo",https://www.chosun.com/sports/sports_general/2022/03/30/L6IWXDEI6VCMNEDHGAMTIXAXFY/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiU2h0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BvcnRzL3Nwb3J0c19nZW5lcmFsLzIwMjIvMDMvMzAvTDZJV1hERUk2VkNNTkVESEdBTVRJWEFYRlkv0gFiaHR0cHM6Ly93d3cuY2hvc3VuLmNvbS9zcG9ydHMvc3BvcnRzX2dlbmVyYWwvMjAyMi8wMy8zMC9MNklXWERFSTZWQ01ORURIR0FNVElYQVhGWS8_b3V0cHV0VHlwZT1hbXA')])","Tue, 29 Mar 2022 18:05:00 GMT","<a href=""https://www.chosun.com/sports/sports_general/2022/03/30/L6IWXDEI6VCMNEDHGAMTIXAXFY/"" target=""_blank"">[스포츠 브리핑] 이승우, K리그 6라운드 MVP로 - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"스카이스포츠, 韓-인도네시아 U-19 친선경기 생중계…김은중VS신태용 관심 - 조선일보 - The Chosunilbo",https://www.chosun.com/sports/sports_photo/2022/03/29/EPXIUCXHETIVROJ2FKGCIE2OAA/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiUWh0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BvcnRzL3Nwb3J0c19waG90by8yMDIyLzAzLzI5L0VQWElVQ1hIRVRJVlJPSjJGS0dDSUUyT0FBL9IBYGh0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BvcnRzL3Nwb3J0c19waG90by8yMDIyLzAzLzI5L0VQWElVQ1hIRVRJVlJPSjJGS0dDSUUyT0FBLz9vdXRwdXRUeXBlPWFtcA')])","Tue, 29 Mar 2022 02:05:00 GMT","<a href=""https://www.chosun.com/sports/sports_photo/2022/03/29/EPXIUCXHETIVROJ2FKGCIE2OAA/"" target=""_blank"">스카이스포츠, 韓-인도네시아 U-19 친선경기 생중계…김은중VS신태용 관심 - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"스포츠('격리 해제' 이동욱 감독 ""나성범 경기 봤…) - 한국경제",https://www.hankyung.com/sports/article/202203298860Y,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNWh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9zcG9ydHMvYXJ0aWNsZS8yMDIyMDMyOTg4NjBZ0gExaHR0cHM6Ly93d3cuaGFua3l1bmcuY29tL3Nwb3J0cy9hbXAvMjAyMjAzMjk4ODYwWQ')])","Tue, 29 Mar 2022 06:01:01 GMT","<a href=""https://www.hankyung.com/sports/article/202203298860Y"" target=""_blank"">스포츠('격리 해제' 이동욱 감독 ""나성범 경기 봤…)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제</font>","OrderedDict([('@url', 'https://www.hankyung.com'), ('#text', '한국경제')])"
