title,link,guid,pubDate,description,source
"[종합] 임창정 ""♥서하얀, 운영하던 가게에서 첫 만남... 가슴 계속 뛰었다"" (`동상이몽2`) - 매일경제",https://www.mk.co.kr/star/broadcasting-service/view/2022/03/280772/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1343804044')])","Mon, 28 Mar 2022 15:56:39 GMT","<ol><li><a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/280772/"" target=""_blank"">[종합] 임창정 ""♥서하얀, 운영하던 가게에서 첫 만남... 가슴 계속 뛰었다"" (`동상이몽2`)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""https://www.chosun.com/entertainments/entertain_photo/2022/03/29/KSSRBUDDSAVG73PYYC7P3DE4QE/"" target=""_blank"">‘동상이몽2′ 서하얀 “임창정 이혼·아들들 뒤늦게 알고 막막”…“매일 아침 7첩반상” - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font></li><li><a href=""https://www.gukjenews.com/news/articleView.html?idxno=2435439"" target=""_blank"">가수 임창정 아내 서하얀 결혼 생활 공개...자녀·아들·나이·프로필·이혼 화제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">국제뉴스</font></li><li><a href=""https://newsis.com/view/?id=NISX20220328_0001810395"" target=""_blank"">'임창정과 재혼' 18세 연하 아내, 남편 이혼·세 아이 존재 '막막'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font></li><li><a href=""https://tenasia.hankyung.com/tv-drama/article/2022032971394"" target=""_blank"">임창정, 18살 연하 ♥서하얀과 재혼 이유…""첫 만남에 화장실까지 따라가"" ('동상이몽2')</a>&nbsp;&nbsp;<font color=""#6f6f6f"">텐아시아</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lNcGVPQUJSR2N6bGt4ejlSOTdTZ0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"'임창정♥' 서하얀 ""삼형제 막막했는데, 지금은 듬직""…'동상이몽2' 분당 최고 7.2% - 조선일보 - The Chosunilbo",https://www.chosun.com/entertainments/entertain_photo/2022/03/29/OTP7M2HDXUV7COMB47QVQAQMOY/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiXGh0dHBzOi8vd3d3LmNob3N1bi5jb20vZW50ZXJ0YWlubWVudHMvZW50ZXJ0YWluX3Bob3RvLzIwMjIvMDMvMjkvT1RQN00ySERYVVY3Q09NQjQ3UVZRQVFNT1kv0gFraHR0cHM6Ly93d3cuY2hvc3VuLmNvbS9lbnRlcnRhaW5tZW50cy9lbnRlcnRhaW5fcGhvdG8vMjAyMi8wMy8yOS9PVFA3TTJIRFhVVjdDT01CNDdRVlFBUU1PWS8_b3V0cHV0VHlwZT1hbXA')])","Tue, 29 Mar 2022 03:53:40 GMT","<a href=""https://www.chosun.com/entertainments/entertain_photo/2022/03/29/OTP7M2HDXUV7COMB47QVQAQMOY/"" target=""_blank"">'임창정♥' 서하얀 ""삼형제 막막했는데, 지금은 듬직""…'동상이몽2' 분당 최고 7.2% - 조선일보</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Chosunilbo</font>","OrderedDict([('@url', 'https://www.chosun.com'), ('#text', 'The Chosunilbo')])"
"`너목보9` 임창정, 알고보면 허당? ""연예계 생활 30년 건다"" - 매일경제",https://www.mk.co.kr/star/hot-issues/view/2022/03/275582/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvaG90LWlzc3Vlcy92aWV3LzIwMjIvMDMvMjc1NTgyL9IBO2h0dHBzOi8vbS5tay5jby5rci9zdGFyL2hvdC1pc3N1ZXMvdmlldy1hbXAvMjAyMi8wMy8yNzU1ODIv')])","Sun, 27 Mar 2022 02:17:23 GMT","<a href=""https://www.mk.co.kr/star/hot-issues/view/2022/03/275582/"" target=""_blank"">`너목보9` 임창정, 알고보면 허당? ""연예계 생활 30년 건다""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"'승무원 출신' 임창정 18세 연하 아내 ""매일 아침 7첩반상 준비"" - 뉴시스",https://newsis.com/view/?id=NISX20220329_0001811062,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMjlfMDAwMTgxMTA2MtIBAA')])","Mon, 28 Mar 2022 23:48:51 GMT","<a href=""https://newsis.com/view/?id=NISX20220329_0001811062"" target=""_blank"">'승무원 출신' 임창정 18세 연하 아내 ""매일 아침 7첩반상 준비""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
"임창정, ""18세 연하 아내와 재혼, 욕 많이 먹어"" - KizMom",https://kizmom.hankyung.com/news/view.html?aid=202203297813o&cid=3004,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiRWh0dHBzOi8va2l6bW9tLmhhbmt5dW5nLmNvbS9uZXdzL3ZpZXcuaHRtbD9haWQ9MjAyMjAzMjk3ODEzbyZjaWQ9MzAwNNIBAA')])","Tue, 29 Mar 2022 01:07:03 GMT","<a href=""https://kizmom.hankyung.com/news/view.html?aid=202203297813o&cid=3004"" target=""_blank"">임창정, ""18세 연하 아내와 재혼, 욕 많이 먹어""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KizMom</font>","OrderedDict([('@url', 'https://kizmom.hankyung.com'), ('#text', 'KizMom')])"
"'임창정 18세 연하 아내' 서하얀, 직업·키·나이차 화제 - 전국매일신문",http://www.jeonmae.co.kr/news/articleView.html?idxno=880310,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHA6Ly93d3cuamVvbm1hZS5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODgwMzEw0gE-aHR0cDovL3d3dy5qZW9ubWFlLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz04ODAzMTA')])","Tue, 29 Mar 2022 01:54:45 GMT","<a href=""http://www.jeonmae.co.kr/news/articleView.html?idxno=880310"" target=""_blank"">'임창정 18세 연하 아내' 서하얀, 직업·키·나이차 화제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">전국매일신문</font>","OrderedDict([('@url', 'http://www.jeonmae.co.kr'), ('#text', '전국매일신문')])"
"임창정, 18세 연하 아내 공개…""아침부터 7첩 반상에 다섯아들 육아""(종합) - 뉴시스",https://newsis.com/view/?id=NISX20220322_0001803260,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMjJfMDAwMTgwMzI2MNIBAA')])","Tue, 22 Mar 2022 15:28:46 GMT","<a href=""https://newsis.com/view/?id=NISX20220322_0001803260"" target=""_blank"">임창정, 18세 연하 아내 공개…""아침부터 7첩 반상에 다섯아들 육아""(종합)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
"'동상이몽2' 임창정 서하얀, 18살 차이 뛰어넘은 러브스토리 최초 공개…""키가 몇이에요?"" | 방송 : 네이트 연예 - 네이트 뉴스",https://m.news.nate.com/view/20220328n42093,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiK2h0dHBzOi8vbS5uZXdzLm5hdGUuY29tL3ZpZXcvMjAyMjAzMjhuNDIwOTPSAQA')])","Mon, 28 Mar 2022 14:59:00 GMT","<a href=""https://m.news.nate.com/view/20220328n42093"" target=""_blank"">'동상이몽2' 임창정 서하얀, 18살 차이 뛰어넘은 러브스토리 최초 공개…""키가 몇이에요?"" | 방송 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://m.news.nate.com'), ('#text', '네이트 뉴스')])"
'국가가 부른다' 레전드 가수 특집…임창정 눈물 흘린 사연은 - 한국일보,https://www.hankookilbo.com/News/Read/A2022030209490003913,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjIwMzAyMDk0OTAwMDM5MTPSAQA')])","Wed, 02 Mar 2022 08:00:00 GMT","<a href=""https://www.hankookilbo.com/News/Read/A2022030209490003913"" target=""_blank"">'국가가 부른다' 레전드 가수 특집…임창정 눈물 흘린 사연은</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국일보</font>","OrderedDict([('@url', 'https://www.hankookilbo.com'), ('#text', '한국일보')])"
가수 임창정 나이부터 결혼·와이프·자녀까지 화제인 이유 - 시사매거진,http://www.sisamagazine.co.kr/news/articleView.html?idxno=435379,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQGh0dHA6Ly93d3cuc2lzYW1hZ2F6aW5lLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz00MzUzNznSAUNodHRwOi8vd3d3LnNpc2FtYWdhemluZS5jby5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NDM1Mzc5')])","Mon, 21 Mar 2022 13:27:34 GMT","<a href=""http://www.sisamagazine.co.kr/news/articleView.html?idxno=435379"" target=""_blank"">가수 임창정 나이부터 결혼·와이프·자녀까지 화제인 이유</a>&nbsp;&nbsp;<font color=""#6f6f6f"">시사매거진</font>","OrderedDict([('@url', 'http://www.sisamagazine.co.kr'), ('#text', '시사매거진')])"
"""아내 서하얀 욕 많이먹어"" 임창정, 재혼 후 '동상이몽2' 출연한 이유 (ft.첫만남) [종합] | 방송 : 네이트 연예 - 네이트 뉴스",https://news.nate.com/view/20220329n00526?mid=n1101,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjIwMzI5bjAwNTI2P21pZD1uMTEwMdIBAA')])","Mon, 28 Mar 2022 16:06:00 GMT","<a href=""https://news.nate.com/view/20220329n00526?mid=n1101"" target=""_blank"">""아내 서하얀 욕 많이먹어"" 임창정, 재혼 후 '동상이몽2' 출연한 이유 (ft.첫만남) [종합] | 방송 : 네이트 연예</a>&nbsp;&nbsp;<font color=""#6f6f6f"">네이트 뉴스</font>","OrderedDict([('@url', 'https://news.nate.com'), ('#text', '네이트 뉴스')])"
