title,link,guid,pubDate,description,source
"[종합]`크레이지러브` 김재욱, 유인영 앞에서 정수정과 키스…약혼 연기도 계속 - 매일경제",https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284655/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQ2h0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvYnJvYWRjYXN0aW5nLXNlcnZpY2Uvdmlldy8yMDIyLzAzLzI4NDY1NS_SAUVodHRwczovL20ubWsuY28ua3Ivc3Rhci9icm9hZGNhc3Rpbmctc2VydmljZS92aWV3LWFtcC8yMDIyLzAzLzI4NDY1NS8')])","Tue, 29 Mar 2022 13:38:59 GMT","<a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284655/"" target=""_blank"">[종합]`크레이지러브` 김재욱, 유인영 앞에서 정수정과 키스…약혼 연기도 계속</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"러 단장 ""우크라 협상 건설적…중립국화·비핵화 등 제안받아""(종합) - 매일경제",https://www.mk.co.kr/news/world/view/2022/03/284662/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1327163476')])","Tue, 29 Mar 2022 14:01:50 GMT","<ol><li><a href=""https://www.mk.co.kr/news/world/view/2022/03/284662/"" target=""_blank"">러 단장 ""우크라 협상 건설적…중립국화·비핵화 등 제안받아""(종합)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""https://newsis.com/view/?id=NISX20220329_0001812686"" target=""_blank"">러-우크라 협상 큰 진전 보여…러, ""군사행동 줄인다""(종합)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font></li><li><a href=""https://www.seoul.co.kr/news/newsView.php?id=20220329500232"" target=""_blank"">러시아 “군사활동 대폭 줄일 것…즉각 실시”(종합)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">서울신문</font></li><li><a href=""https://www.etoday.co.kr/news/view/2118796"" target=""_blank"">[종합] 러·우크라 5차 평화협상 4시간 만에 종료</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이투데이</font></li><li><a href=""https://news.mt.co.kr/mtview.php?no=2022032922134257027"" target=""_blank"">러시아 ""군사행동 줄인다...젤린스키와 푸틴 만날 수 있어""(종합)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">머니투데이</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pVME92NEJCSGJ0ZEprbTlQbjN5Z0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
포항 화장 적체 심화… 종합시설 건립 서둘러야 - 경북매일신문,http://www.kbmaeil.com/news/articleView.html?idxno=925237,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOWh0dHA6Ly93d3cua2JtYWVpbC5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTkyNTIzN9IBPGh0dHA6Ly93d3cua2JtYWVpbC5jb20vbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTkyNTIzNw')])","Tue, 29 Mar 2022 12:07:00 GMT","<a href=""http://www.kbmaeil.com/news/articleView.html?idxno=925237"" target=""_blank"">포항 화장 적체 심화… 종합시설 건립 서둘러야</a>&nbsp;&nbsp;<font color=""#6f6f6f"">경북매일신문</font>","OrderedDict([('@url', 'http://www.kbmaeil.com'), ('#text', '경북매일신문')])"
"매년 늘어나는 다중사기범죄 피해…경찰, 대응 종합계획 마련 - 대한민국정책포털 korea.kr",https://www.korea.kr/news/policyNewsView.do?newsId=148900312&pWise=sub&pWiseSub=B2,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiUmh0dHBzOi8vd3d3LmtvcmVhLmtyL25ld3MvcG9saWN5TmV3c1ZpZXcuZG8_bmV3c0lkPTE0ODkwMDMxMiZwV2lzZT1zdWImcFdpc2VTdWI9QjLSAQA')])","Tue, 29 Mar 2022 07:58:00 GMT","<a href=""https://www.korea.kr/news/policyNewsView.do?newsId=148900312&pWise=sub&pWiseSub=B2"" target=""_blank"">매년 늘어나는 다중사기범죄 피해…경찰, 대응 종합계획 마련</a>&nbsp;&nbsp;<font color=""#6f6f6f"">대한민국정책포털 korea.kr</font>","OrderedDict([('@url', 'https://www.korea.kr'), ('#text', '대한민국정책포털 korea.kr')])"
"[종합] `돌싱포맨` 심진화X소유진X홍현희, 사랑꾼 남편 언급하며 `극과 극 케미` - 매일경제",https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284719/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiQ2h0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvYnJvYWRjYXN0aW5nLXNlcnZpY2Uvdmlldy8yMDIyLzAzLzI4NDcxOS_SAUVodHRwczovL20ubWsuY28ua3Ivc3Rhci9icm9hZGNhc3Rpbmctc2VydmljZS92aWV3LWFtcC8yMDIyLzAzLzI4NDcxOS8')])","Tue, 29 Mar 2022 15:38:33 GMT","<a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/284719/"" target=""_blank"">[종합] `돌싱포맨` 심진화X소유진X홍현희, 사랑꾼 남편 언급하며 `극과 극 케미`</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"포천시, 농산물종합가공센터 준공 < 사람들 < 기사본문 - 한국농어민신문",http://www.agrinet.co.kr/news/articleView.html?idxno=308237,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiO2h0dHA6Ly93d3cuYWdyaW5ldC5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MzA4MjM30gEA')])","Tue, 29 Mar 2022 09:37:43 GMT","<a href=""http://www.agrinet.co.kr/news/articleView.html?idxno=308237"" target=""_blank"">포천시, 농산물종합가공센터 준공 < 사람들 < 기사본문</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국농어민신문</font>","OrderedDict([('@url', 'http://www.agrinet.co.kr'), ('#text', '한국농어민신문')])"
[부고종합] 홍경진 경향신문 편집부 차장 부친상 - 세이프타임즈,http://www.safetimes.co.kr/news/articleView.html?idxno=109394,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEKkw7GJ0lWbNvsAdbTkGgaoqGQgEKhAIACoHCAowuoj7CjCPiPMCMP-x8AY')])","Tue, 29 Mar 2022 07:49:00 GMT","<a href=""http://www.safetimes.co.kr/news/articleView.html?idxno=109394"" target=""_blank"">[부고종합] 홍경진 경향신문 편집부 차장 부친상</a>&nbsp;&nbsp;<font color=""#6f6f6f"">세이프타임즈</font>","OrderedDict([('@url', 'http://www.safetimes.co.kr'), ('#text', '세이프타임즈')])"
서울교육감 중도·보수 단일화 내홍 심화…박선영 예비후보 사퇴(종합) - 매일경제,https://www.mk.co.kr/news/society/view/2022/03/284428/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvc29jaWV0eS92aWV3LzIwMjIvMDMvMjg0NDI4L9IBOGh0dHBzOi8vbS5tay5jby5rci9uZXdzL3NvY2lldHkvdmlldy1hbXAvMjAyMi8wMy8yODQ0Mjgv')])","Tue, 29 Mar 2022 09:30:03 GMT","<a href=""https://www.mk.co.kr/news/society/view/2022/03/284428/"" target=""_blank"">서울교육감 중도·보수 단일화 내홍 심화…박선영 예비후보 사퇴(종합)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
[인사종합] 교육부·울산시·KBS미디어 등 - 세이프타임즈,http://www.safetimes.co.kr/news/articleView.html?idxno=109393,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEFo5SkxhTJeTsO19gtyPrQYqGQgEKhAIACoHCAowuoj7CjCPiPMCMP-x8AY')])","Tue, 29 Mar 2022 07:49:02 GMT","<a href=""http://www.safetimes.co.kr/news/articleView.html?idxno=109393"" target=""_blank"">[인사종합] 교육부·울산시·KBS미디어 등</a>&nbsp;&nbsp;<font color=""#6f6f6f"">세이프타임즈</font>","OrderedDict([('@url', 'http://www.safetimes.co.kr'), ('#text', '세이프타임즈')])"
2분기 연료비 조정단가 동결... 한전 대규모 적자 불가피 (종합) - 조선비즈 - 조선비즈,https://biz.chosun.com/industry/company/2022/03/29/BFZ7RNISFNH5BLYK2J6645IIKA/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiTmh0dHBzOi8vYml6LmNob3N1bi5jb20vaW5kdXN0cnkvY29tcGFueS8yMDIyLzAzLzI5L0JGWjdSTklTRk5INUJMWUsySjY2NDVJSUtBL9IBXWh0dHBzOi8vYml6LmNob3N1bi5jb20vaW5kdXN0cnkvY29tcGFueS8yMDIyLzAzLzI5L0JGWjdSTklTRk5INUJMWUsySjY2NDVJSUtBLz9vdXRwdXRUeXBlPWFtcA')])","Mon, 28 Mar 2022 23:00:00 GMT","<a href=""https://biz.chosun.com/industry/company/2022/03/29/BFZ7RNISFNH5BLYK2J6645IIKA/"" target=""_blank"">2분기 연료비 조정단가 동결... 한전 대규모 적자 불가피 (종합) - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선비즈</font>","OrderedDict([('@url', 'https://biz.chosun.com'), ('#text', '조선비즈')])"
